// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a7382ace-c8ea-441e-acbe-d51b1bd1f23d
// command took 1.37s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a7382ace-c8ea-441e-acbe-d51b1bd1f23d
// command took 2.29s and exited with 0
// ***** Done, took 00:00:03 (3.78 sec)   *****
// Found 3 benchmarks:
//   GetMostActiveVisistors.NestedLoop: Job-APAOWX(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop1: Job-APAOWX(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop2: Job-APAOWX(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-APAOWX(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "a7382ace-c8ea-441e-acbe-d51b1bd1f23d.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a7382ace-c8ea-441e-acbe-d51b1bd1f23d/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-UOCGDW(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadWarmup   6: 4194304 op, 7584995.00 ns, 1.8084 ns/op

OverheadActual   1: 4194304 op, 7631098.00 ns, 1.8194 ns/op
OverheadActual   2: 4194304 op, 7583639.00 ns, 1.8081 ns/op
OverheadActual   3: 4194304 op, 7860937.00 ns, 1.8742 ns/op
OverheadActual   4: 4194304 op, 7482153.00 ns, 1.7839 ns/op
OverheadActual   5: 4194304 op, 7512019.00 ns, 1.7910 ns/op
OverheadActual   6: 4194304 op, 8154381.00 ns, 1.9442 ns/op
OverheadActual   7: 4194304 op, 7629016.00 ns, 1.8189 ns/op
OverheadActual   8: 4194304 op, 7504034.00 ns, 1.7891 ns/op
OverheadActual   9: 4194304 op, 8138790.00 ns, 1.9404 ns/op
OverheadActual  10: 4194304 op, 7695390.00 ns, 1.8347 ns/op
OverheadActual  11: 4194304 op, 8070400.00 ns, 1.9241 ns/op
OverheadActual  12: 4194304 op, 7702794.00 ns, 1.8365 ns/op
OverheadActual  13: 4194304 op, 8155114.00 ns, 1.9443 ns/op
OverheadActual  14: 4194304 op, 8997353.00 ns, 2.1451 ns/op
OverheadActual  15: 4194304 op, 8003453.00 ns, 1.9082 ns/op

WorkloadWarmup   1: 4194304 op, 750780253.00 ns, 179.0000 ns/op

// BeforeActualRun
WorkloadActual   1: 4194304 op, 746015718.00 ns, 177.8640 ns/op
WorkloadActual   2: 4194304 op, 816621986.00 ns, 194.6979 ns/op
WorkloadActual   3: 4194304 op, 767186735.00 ns, 182.9116 ns/op

// AfterActualRun
WorkloadResult   1: 4194304 op, 738312924.00 ns, 176.0275 ns/op
WorkloadResult   2: 4194304 op, 808919192.00 ns, 192.8614 ns/op
WorkloadResult   3: 4194304 op, 759483941.00 ns, 181.0751 ns/op

// AfterAll
// Benchmark Process 12339 has exited with code 0

Mean = 183.321 ns, StdErr = 4.988 ns (2.72%), N = 3, StdDev = 8.639 ns
Min = 176.028 ns, Q1 = 178.551 ns, Median = 181.075 ns, Q3 = 186.968 ns, Max = 192.861 ns
IQR = 8.417 ns, LowerFence = 165.926 ns, UpperFence = 199.594 ns
ConfidenceInterval = [25.718 ns; 340.925 ns] (CI 99.9%), Margin = 157.604 ns (85.97% of Mean)
Skewness = 0.24, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop1: Job-APAOWX(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "a7382ace-c8ea-441e-acbe-d51b1bd1f23d.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop1" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a7382ace-c8ea-441e-acbe-d51b1bd1f23d/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-EDGNCF(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 308556.00 ns, 308.5560 us/op
WorkloadJitting  1: 1 op, 1612492.00 ns, 1.6125 ms/op

OverheadJitting  2: 16 op, 325492.00 ns, 20.3433 us/op
WorkloadJitting  2: 16 op, 371666.00 ns, 23.2291 us/op

WorkloadPilot    1: 16 op, 2391.00 ns, 149.4375 ns/op
WorkloadPilot    2: 32 op, 2503.00 ns, 78.2188 ns/op
WorkloadPilot    3: 64 op, 3302.00 ns, 51.5938 ns/op
WorkloadPilot    4: 128 op, 5524.00 ns, 43.1562 ns/op
WorkloadPilot    5: 256 op, 9445.00 ns, 36.8945 ns/op
WorkloadPilot    6: 512 op, 18759.00 ns, 36.6387 ns/op
WorkloadPilot    7: 1024 op, 34998.00 ns, 34.1777 ns/op
WorkloadPilot    8: 2048 op, 68206.00 ns, 33.3037 ns/op
WorkloadPilot    9: 4096 op, 145288.00 ns, 35.4707 ns/op
WorkloadPilot   10: 8192 op, 279561.00 ns, 34.1261 ns/op
WorkloadPilot   11: 16384 op, 535817.00 ns, 32.7037 ns/op
WorkloadPilot   12: 32768 op, 1068449.00 ns, 32.6065 ns/op
WorkloadPilot   13: 65536 op, 2161376.00 ns, 32.9800 ns/op
WorkloadPilot   14: 131072 op, 4523891.00 ns, 34.5145 ns/op
WorkloadPilot   15: 262144 op, 8908185.00 ns, 33.9820 ns/op
WorkloadPilot   16: 524288 op, 16765962.00 ns, 31.9785 ns/op
WorkloadPilot   17: 1048576 op, 32128205.00 ns, 30.6398 ns/op
WorkloadPilot   18: 2097152 op, 64776292.00 ns, 30.8877 ns/op
WorkloadPilot   19: 4194304 op, 107932348.00 ns, 25.7331 ns/op
WorkloadPilot   20: 8388608 op, 215761883.00 ns, 25.7208 ns/op
WorkloadPilot   21: 16777216 op, 434450048.00 ns, 25.8952 ns/op
WorkloadPilot   22: 33554432 op, 866129707.00 ns, 25.8127 ns/op

OverheadWarmup   1: 33554432 op, 68779765.00 ns, 2.0498 ns/op
OverheadWarmup   2: 33554432 op, 68461746.00 ns, 2.0403 ns/op
OverheadWarmup   3: 33554432 op, 66821572.00 ns, 1.9914 ns/op
OverheadWarmup   4: 33554432 op, 60749014.00 ns, 1.8105 ns/op
OverheadWarmup   5: 33554432 op, 60115114.00 ns, 1.7916 ns/op
OverheadWarmup   6: 33554432 op, 60359385.00 ns, 1.7988 ns/op
OverheadWarmup   7: 33554432 op, 59078035.00 ns, 1.7607 ns/op
OverheadWarmup   8: 33554432 op, 60018844.00 ns, 1.7887 ns/op
OverheadWarmup   9: 33554432 op, 59933713.00 ns, 1.7862 ns/op

OverheadActual   1: 33554432 op, 60121261.00 ns, 1.7918 ns/op
OverheadActual   2: 33554432 op, 61308580.00 ns, 1.8271 ns/op
OverheadActual   3: 33554432 op, 60590084.00 ns, 1.8057 ns/op
OverheadActual   4: 33554432 op, 59482121.00 ns, 1.7727 ns/op
OverheadActual   5: 33554432 op, 60806526.00 ns, 1.8122 ns/op
OverheadActual   6: 33554432 op, 62120196.00 ns, 1.8513 ns/op
OverheadActual   7: 33554432 op, 59544032.00 ns, 1.7746 ns/op
OverheadActual   8: 33554432 op, 59746110.00 ns, 1.7806 ns/op
OverheadActual   9: 33554432 op, 59220453.00 ns, 1.7649 ns/op
OverheadActual  10: 33554432 op, 59035810.00 ns, 1.7594 ns/op
OverheadActual  11: 33554432 op, 59577414.00 ns, 1.7755 ns/op
OverheadActual  12: 33554432 op, 59152963.00 ns, 1.7629 ns/op
OverheadActual  13: 33554432 op, 60308496.00 ns, 1.7973 ns/op
OverheadActual  14: 33554432 op, 58800385.00 ns, 1.7524 ns/op
OverheadActual  15: 33554432 op, 59206414.00 ns, 1.7645 ns/op

WorkloadWarmup   1: 33554432 op, 870326597.00 ns, 25.9378 ns/op

// BeforeActualRun
WorkloadActual   1: 33554432 op, 875507425.00 ns, 26.0922 ns/op
WorkloadActual   2: 33554432 op, 878864102.00 ns, 26.1922 ns/op
WorkloadActual   3: 33554432 op, 864815478.00 ns, 25.7735 ns/op

// AfterActualRun
WorkloadResult   1: 33554432 op, 815930011.00 ns, 24.3166 ns/op
WorkloadResult   2: 33554432 op, 819286688.00 ns, 24.4166 ns/op
WorkloadResult   3: 33554432 op, 805238064.00 ns, 23.9980 ns/op

// AfterAll
// Benchmark Process 12354 has exited with code 0

Mean = 24.244 ns, StdErr = 0.126 ns (0.52%), N = 3, StdDev = 0.219 ns
Min = 23.998 ns, Q1 = 24.157 ns, Median = 24.317 ns, Q3 = 24.367 ns, Max = 24.417 ns
IQR = 0.209 ns, LowerFence = 23.843 ns, UpperFence = 24.681 ns
ConfidenceInterval = [20.255 ns; 28.233 ns] (CI 99.9%), Margin = 3.989 ns (16.45% of Mean)
Skewness = -0.3, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop2: Job-APAOWX(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "a7382ace-c8ea-441e-acbe-d51b1bd1f23d.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop2" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 2 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a7382ace-c8ea-441e-acbe-d51b1bd1f23d/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-DPAAHZ(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 322552.00 ns, 322.5520 us/op
WorkloadJitting  1: 1 op, 2272534.00 ns, 2.2725 ms/op

OverheadJitting  2: 16 op, 312576.00 ns, 19.5360 us/op
WorkloadJitting  2: 16 op, 511323.00 ns, 31.9577 us/op

WorkloadPilot    1: 16 op, 13629.00 ns, 851.8125 ns/op
WorkloadPilot    2: 32 op, 19479.00 ns, 608.7188 ns/op
WorkloadPilot    3: 64 op, 29176.00 ns, 455.8750 ns/op
WorkloadPilot    4: 128 op, 102178.00 ns, 798.2656 ns/op
WorkloadPilot    5: 256 op, 95630.00 ns, 373.5547 ns/op
WorkloadPilot    6: 512 op, 188546.00 ns, 368.2539 ns/op
WorkloadPilot    7: 1024 op, 385414.00 ns, 376.3809 ns/op
WorkloadPilot    8: 2048 op, 815359.00 ns, 398.1245 ns/op
WorkloadPilot    9: 4096 op, 1582672.00 ns, 386.3945 ns/op
WorkloadPilot   10: 8192 op, 3352216.00 ns, 409.2061 ns/op
WorkloadPilot   11: 16384 op, 6828606.00 ns, 416.7850 ns/op
WorkloadPilot   12: 32768 op, 11582877.00 ns, 353.4814 ns/op
WorkloadPilot   13: 65536 op, 21463997.00 ns, 327.5146 ns/op
WorkloadPilot   14: 131072 op, 43078241.00 ns, 328.6609 ns/op
WorkloadPilot   15: 262144 op, 63675682.00 ns, 242.9035 ns/op
WorkloadPilot   16: 524288 op, 84714548.00 ns, 161.5802 ns/op
WorkloadPilot   17: 1048576 op, 161922889.00 ns, 154.4217 ns/op
WorkloadPilot   18: 2097152 op, 330830301.00 ns, 157.7522 ns/op
WorkloadPilot   19: 4194304 op, 654881872.00 ns, 156.1360 ns/op

OverheadWarmup   1: 4194304 op, 9126296.00 ns, 2.1759 ns/op
OverheadWarmup   2: 4194304 op, 9126068.00 ns, 2.1758 ns/op
OverheadWarmup   3: 4194304 op, 8840193.00 ns, 2.1077 ns/op
OverheadWarmup   4: 4194304 op, 8389735.00 ns, 2.0003 ns/op
OverheadWarmup   5: 4194304 op, 8950065.00 ns, 2.1339 ns/op
OverheadWarmup   6: 4194304 op, 9181631.00 ns, 2.1891 ns/op
OverheadWarmup   7: 4194304 op, 9344951.00 ns, 2.2280 ns/op
OverheadWarmup   8: 4194304 op, 9118800.00 ns, 2.1741 ns/op
OverheadWarmup   9: 4194304 op, 8439616.00 ns, 2.0122 ns/op
OverheadWarmup  10: 4194304 op, 8015960.00 ns, 1.9112 ns/op

OverheadActual   1: 4194304 op, 8490925.00 ns, 2.0244 ns/op
OverheadActual   2: 4194304 op, 8176632.00 ns, 1.9495 ns/op
OverheadActual   3: 4194304 op, 7643090.00 ns, 1.8223 ns/op
OverheadActual   4: 4194304 op, 7485189.00 ns, 1.7846 ns/op
OverheadActual   5: 4194304 op, 7652061.00 ns, 1.8244 ns/op
OverheadActual   6: 4194304 op, 7438552.00 ns, 1.7735 ns/op
OverheadActual   7: 4194304 op, 7951473.00 ns, 1.8958 ns/op
OverheadActual   8: 4194304 op, 8194365.00 ns, 1.9537 ns/op
OverheadActual   9: 4194304 op, 8123111.00 ns, 1.9367 ns/op
OverheadActual  10: 4194304 op, 7625289.00 ns, 1.8180 ns/op
OverheadActual  11: 4194304 op, 7369221.00 ns, 1.7570 ns/op
OverheadActual  12: 4194304 op, 7443911.00 ns, 1.7748 ns/op
OverheadActual  13: 4194304 op, 7324889.00 ns, 1.7464 ns/op
OverheadActual  14: 4194304 op, 7261139.00 ns, 1.7312 ns/op
OverheadActual  15: 4194304 op, 7344068.00 ns, 1.7510 ns/op
OverheadActual  16: 4194304 op, 8604853.00 ns, 2.0516 ns/op
OverheadActual  17: 4194304 op, 7841177.00 ns, 1.8695 ns/op
OverheadActual  18: 4194304 op, 7652471.00 ns, 1.8245 ns/op

WorkloadWarmup   1: 4194304 op, 636553966.00 ns, 151.7663 ns/op

// BeforeActualRun
WorkloadActual   1: 4194304 op, 658445164.00 ns, 156.9856 ns/op
WorkloadActual   2: 4194304 op, 657953979.00 ns, 156.8685 ns/op
WorkloadActual   3: 4194304 op, 639249591.00 ns, 152.4090 ns/op

// AfterActualRun
WorkloadResult   1: 4194304 op, 650797588.50 ns, 155.1622 ns/op
WorkloadResult   2: 4194304 op, 650306403.50 ns, 155.0451 ns/op
WorkloadResult   3: 4194304 op, 631602015.50 ns, 150.5857 ns/op

// AfterAll
// Benchmark Process 12374 has exited with code 0

Mean = 153.598 ns, StdErr = 1.506 ns (0.98%), N = 3, StdDev = 2.609 ns
Min = 150.586 ns, Q1 = 152.815 ns, Median = 155.045 ns, Q3 = 155.104 ns, Max = 155.162 ns
IQR = 2.288 ns, LowerFence = 149.383 ns, UpperFence = 158.536 ns
ConfidenceInterval = [105.997 ns; 201.198 ns] (CI 99.9%), Margin = 47.600 ns (30.99% of Mean)
Skewness = -0.38, Kurtosis = 0.67, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.csv
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report-github.md
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.html

// * Detailed results *
GetMostActiveVisistors.NestedLoop: Job-APAOWX(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 183.321 ns, StdErr = 4.988 ns (2.72%), N = 3, StdDev = 8.639 ns
Min = 176.028 ns, Q1 = 178.551 ns, Median = 181.075 ns, Q3 = 186.968 ns, Max = 192.861 ns
IQR = 8.417 ns, LowerFence = 165.926 ns, UpperFence = 199.594 ns
ConfidenceInterval = [25.718 ns; 340.925 ns] (CI 99.9%), Margin = 157.604 ns (85.97% of Mean)
Skewness = 0.24, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[170.690 ns ; 186.413 ns) | @@
[186.413 ns ; 200.723 ns) | @
---------------------------------------------------

GetMostActiveVisistors.NestedLoop1: Job-APAOWX(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 24.244 ns, StdErr = 0.126 ns (0.52%), N = 3, StdDev = 0.219 ns
Min = 23.998 ns, Q1 = 24.157 ns, Median = 24.317 ns, Q3 = 24.367 ns, Max = 24.417 ns
IQR = 0.209 ns, LowerFence = 23.843 ns, UpperFence = 24.681 ns
ConfidenceInterval = [20.255 ns; 28.233 ns] (CI 99.9%), Margin = 3.989 ns (16.45% of Mean)
Skewness = -0.3, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[23.799 ns ; 24.616 ns) | @@@
---------------------------------------------------

GetMostActiveVisistors.NestedLoop2: Job-APAOWX(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 153.598 ns, StdErr = 1.506 ns (0.98%), N = 3, StdDev = 2.609 ns
Min = 150.586 ns, Q1 = 152.815 ns, Median = 155.045 ns, Q3 = 155.104 ns, Max = 155.162 ns
IQR = 2.288 ns, LowerFence = 149.383 ns, UpperFence = 158.536 ns
ConfidenceInterval = [105.997 ns; 201.198 ns] (CI 99.9%), Margin = 47.600 ns (30.99% of Mean)
Skewness = -0.38, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[150.499 ns ; 155.248 ns) | @@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.12.1, OS=ubuntu 20.04
Intel Core i5-6500 CPU 3.20GHz (Skylake), 1 CPU, 4 logical and 4 physical cores
.NET Core SDK=3.1.403
  [Host]     : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
  Job-APAOWX : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT

IterationCount=3  LaunchCount=1  WarmupCount=1  

|      Method |      Mean |      Error |   StdDev |
|------------ |----------:|-----------:|---------:|
|  NestedLoop | 183.32 ns | 157.604 ns | 8.639 ns |
| NestedLoop1 |  24.24 ns |   3.989 ns | 0.219 ns |
| NestedLoop2 | 153.60 ns |  47.600 ns | 2.609 ns |

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 ns   : 1 Nanosecond (0.000000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:16 (16.93 sec), executed benchmarks: 3

Global total time: 00:00:20 (20.72 sec), executed benchmarks: 3
// * Artifacts cleanup *
