// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/8247fdb7-b1cc-4230-89bb-7f8d03253ef4
// command took 1.39s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/8247fdb7-b1cc-4230-89bb-7f8d03253ef4
// command took 2.25s and exited with 0
// ***** Done, took 00:00:03 (3.78 sec)   *****
// Found 4 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-CMPGBU(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-CMPGBU(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-CMPGBU(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-CMPGBU(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-CMPGBU(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "8247fdb7-b1cc-4230-89bb-7f8d03253ef4.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/8247fdb7-b1cc-4230-89bb-7f8d03253ef4/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-TAEZMQ(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadActual   9: 16384 op, 30401.00 ns, 1.8555 ns/op
OverheadActual  10: 16384 op, 30645.00 ns, 1.8704 ns/op
OverheadActual  11: 16384 op, 30486.00 ns, 1.8607 ns/op
OverheadActual  12: 16384 op, 30324.00 ns, 1.8508 ns/op
OverheadActual  13: 16384 op, 31361.00 ns, 1.9141 ns/op
OverheadActual  14: 16384 op, 30974.00 ns, 1.8905 ns/op
OverheadActual  15: 16384 op, 31206.00 ns, 1.9047 ns/op

WorkloadWarmup   1: 16384 op, 966705200.00 ns, 59.0030 us/op

// BeforeActualRun
WorkloadActual   1: 16384 op, 940245306.00 ns, 57.3880 us/op
WorkloadActual   2: 16384 op, 940537114.00 ns, 57.4058 us/op
WorkloadActual   3: 16384 op, 931136611.00 ns, 56.8321 us/op

// AfterActualRun
WorkloadResult   1: 16384 op, 940214100.00 ns, 57.3861 us/op
WorkloadResult   2: 16384 op, 940505908.00 ns, 57.4039 us/op
WorkloadResult   3: 16384 op, 931105405.00 ns, 56.8302 us/op

// AfterAll
// Benchmark Process 180038 has exited with code 0

Mean = 57.207 μs, StdErr = 0.188 μs (0.33%), N = 3, StdDev = 0.326 μs
Min = 56.830 μs, Q1 = 57.108 μs, Median = 57.386 μs, Q3 = 57.395 μs, Max = 57.404 μs
IQR = 0.287 μs, LowerFence = 56.678 μs, UpperFence = 57.825 μs
ConfidenceInterval = [51.255 μs; 63.159 μs] (CI 99.9%), Margin = 5.952 μs (10.40% of Mean)
Skewness = -0.38, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.MergeJoin: Job-CMPGBU(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "8247fdb7-b1cc-4230-89bb-7f8d03253ef4.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.MergeJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/8247fdb7-b1cc-4230-89bb-7f8d03253ef4/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-IGAOPF(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 301775.00 ns, 301.7750 us/op
WorkloadJitting  1: 1 op, 1906143.00 ns, 1.9061 ms/op

OverheadJitting  2: 16 op, 266534.00 ns, 16.6584 us/op
WorkloadJitting  2: 16 op, 2464289.00 ns, 154.0181 us/op

WorkloadPilot    1: 16 op, 2148456.00 ns, 134.2785 us/op
WorkloadPilot    2: 32 op, 4196824.00 ns, 131.1507 us/op
WorkloadPilot    3: 64 op, 9505953.00 ns, 148.5305 us/op
WorkloadPilot    4: 128 op, 17273558.00 ns, 134.9497 us/op
WorkloadPilot    5: 256 op, 35256241.00 ns, 137.7197 us/op
WorkloadPilot    6: 512 op, 69372991.00 ns, 135.4941 us/op
WorkloadPilot    7: 1024 op, 66522437.00 ns, 64.9633 us/op
WorkloadPilot    8: 2048 op, 158545378.00 ns, 77.4147 us/op
WorkloadPilot    9: 4096 op, 221660707.00 ns, 54.1164 us/op
WorkloadPilot   10: 8192 op, 439164538.00 ns, 53.6090 us/op
WorkloadPilot   11: 16384 op, 878254718.00 ns, 53.6044 us/op

OverheadWarmup   1: 16384 op, 33245.00 ns, 2.0291 ns/op
OverheadWarmup   2: 16384 op, 45937.00 ns, 2.8038 ns/op
OverheadWarmup   3: 16384 op, 27899.00 ns, 1.7028 ns/op
OverheadWarmup   4: 16384 op, 27779.00 ns, 1.6955 ns/op
OverheadWarmup   5: 16384 op, 27541.00 ns, 1.6810 ns/op
OverheadWarmup   6: 16384 op, 54133.00 ns, 3.3040 ns/op
OverheadWarmup   7: 16384 op, 55291.00 ns, 3.3747 ns/op
OverheadWarmup   8: 16384 op, 28619.00 ns, 1.7468 ns/op

OverheadActual   1: 16384 op, 56803.00 ns, 3.4670 ns/op
OverheadActual   2: 16384 op, 30826.00 ns, 1.8815 ns/op
OverheadActual   3: 16384 op, 30800.00 ns, 1.8799 ns/op
OverheadActual   4: 16384 op, 30608.00 ns, 1.8682 ns/op
OverheadActual   5: 16384 op, 30559.00 ns, 1.8652 ns/op
OverheadActual   6: 16384 op, 58758.00 ns, 3.5863 ns/op
OverheadActual   7: 16384 op, 33190.00 ns, 2.0258 ns/op
OverheadActual   8: 16384 op, 32538.00 ns, 1.9860 ns/op
OverheadActual   9: 16384 op, 36552.00 ns, 2.2310 ns/op
OverheadActual  10: 16384 op, 35986.00 ns, 2.1964 ns/op
OverheadActual  11: 16384 op, 36064.00 ns, 2.2012 ns/op
OverheadActual  12: 16384 op, 35881.00 ns, 2.1900 ns/op
OverheadActual  13: 16384 op, 34806.00 ns, 2.1244 ns/op
OverheadActual  14: 16384 op, 34070.00 ns, 2.0795 ns/op
OverheadActual  15: 16384 op, 33758.00 ns, 2.0604 ns/op
OverheadActual  16: 16384 op, 33866.00 ns, 2.0670 ns/op
OverheadActual  17: 16384 op, 34905.00 ns, 2.1304 ns/op
OverheadActual  18: 16384 op, 33860.00 ns, 2.0667 ns/op
OverheadActual  19: 16384 op, 33602.00 ns, 2.0509 ns/op
OverheadActual  20: 16384 op, 32381.00 ns, 1.9764 ns/op

WorkloadWarmup   1: 16384 op, 893656508.00 ns, 54.5445 us/op

// BeforeActualRun
WorkloadActual   1: 16384 op, 875469106.00 ns, 53.4344 us/op
WorkloadActual   2: 16384 op, 874352688.00 ns, 53.3663 us/op
WorkloadActual   3: 16384 op, 888376600.00 ns, 54.2222 us/op

// AfterActualRun
WorkloadResult   1: 16384 op, 875435243.00 ns, 53.4323 us/op
WorkloadResult   2: 16384 op, 874318825.00 ns, 53.3642 us/op
WorkloadResult   3: 16384 op, 888342737.00 ns, 54.2201 us/op

// AfterAll
// Benchmark Process 180058 has exited with code 0

Mean = 53.672 μs, StdErr = 0.275 μs (0.51%), N = 3, StdDev = 0.476 μs
Min = 53.364 μs, Q1 = 53.398 μs, Median = 53.432 μs, Q3 = 53.826 μs, Max = 54.220 μs
IQR = 0.428 μs, LowerFence = 52.756 μs, UpperFence = 54.468 μs
ConfidenceInterval = [44.993 μs; 62.351 μs] (CI 99.9%), Margin = 8.679 μs (16.17% of Mean)
Skewness = 0.38, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-CMPGBU(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "8247fdb7-b1cc-4230-89bb-7f8d03253ef4.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 2 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/8247fdb7-b1cc-4230-89bb-7f8d03253ef4/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-LXFVWT(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 285495.00 ns, 285.4950 us/op
WorkloadJitting  1: 1 op, 780487.00 ns, 780.4870 us/op

OverheadJitting  2: 16 op, 332699.00 ns, 20.7937 us/op
WorkloadJitting  2: 16 op, 1720506.00 ns, 107.5316 us/op

WorkloadPilot    1: 16 op, 1422785.00 ns, 88.9241 us/op
WorkloadPilot    2: 32 op, 3290358.00 ns, 102.8237 us/op
WorkloadPilot    3: 64 op, 6032528.00 ns, 94.2583 us/op
WorkloadPilot    4: 128 op, 11649049.00 ns, 91.0082 us/op
WorkloadPilot    5: 256 op, 24414660.00 ns, 95.3698 us/op
WorkloadPilot    6: 512 op, 46434638.00 ns, 90.6927 us/op
WorkloadPilot    7: 1024 op, 89390723.00 ns, 87.2956 us/op
WorkloadPilot    8: 2048 op, 200102080.00 ns, 97.7061 us/op
WorkloadPilot    9: 4096 op, 344325449.00 ns, 84.0638 us/op
WorkloadPilot   10: 8192 op, 717160023.00 ns, 87.5439 us/op

OverheadWarmup   1: 8192 op, 19776.00 ns, 2.4141 ns/op
OverheadWarmup   2: 8192 op, 14989.00 ns, 1.8297 ns/op
OverheadWarmup   3: 8192 op, 14878.00 ns, 1.8162 ns/op
OverheadWarmup   4: 8192 op, 14851.00 ns, 1.8129 ns/op
OverheadWarmup   5: 8192 op, 15309.00 ns, 1.8688 ns/op
OverheadWarmup   6: 8192 op, 15227.00 ns, 1.8588 ns/op
OverheadWarmup   7: 8192 op, 15380.00 ns, 1.8774 ns/op
OverheadWarmup   8: 8192 op, 15203.00 ns, 1.8558 ns/op

OverheadActual   1: 8192 op, 15523.00 ns, 1.8949 ns/op
OverheadActual   2: 8192 op, 15456.00 ns, 1.8867 ns/op
OverheadActual   3: 8192 op, 16044.00 ns, 1.9585 ns/op
OverheadActual   4: 8192 op, 15526.00 ns, 1.8953 ns/op
OverheadActual   5: 8192 op, 16136.00 ns, 1.9697 ns/op
OverheadActual   6: 8192 op, 16802.00 ns, 2.0510 ns/op
OverheadActual   7: 8192 op, 17437.00 ns, 2.1285 ns/op
OverheadActual   8: 8192 op, 17008.00 ns, 2.0762 ns/op
OverheadActual   9: 8192 op, 16508.00 ns, 2.0151 ns/op
OverheadActual  10: 8192 op, 16338.00 ns, 1.9944 ns/op
OverheadActual  11: 8192 op, 16426.00 ns, 2.0051 ns/op
OverheadActual  12: 8192 op, 16365.00 ns, 1.9977 ns/op
OverheadActual  13: 8192 op, 16149.00 ns, 1.9713 ns/op
OverheadActual  14: 8192 op, 16518.00 ns, 2.0164 ns/op
OverheadActual  15: 8192 op, 16315.00 ns, 1.9916 ns/op

WorkloadWarmup   1: 8192 op, 692369351.00 ns, 84.5177 us/op

// BeforeActualRun
WorkloadActual   1: 8192 op, 747653885.00 ns, 91.2663 us/op
WorkloadActual   2: 8192 op, 701906367.00 ns, 85.6819 us/op
WorkloadActual   3: 8192 op, 677588204.00 ns, 82.7134 us/op

// AfterActualRun
WorkloadResult   1: 8192 op, 747637547.00 ns, 91.2643 us/op
WorkloadResult   2: 8192 op, 701890029.00 ns, 85.6799 us/op
WorkloadResult   3: 8192 op, 677571866.00 ns, 82.7114 us/op

// AfterAll
// Benchmark Process 180078 has exited with code 0

Mean = 86.552 μs, StdErr = 2.507 μs (2.90%), N = 3, StdDev = 4.343 μs
Min = 82.711 μs, Q1 = 84.196 μs, Median = 85.680 μs, Q3 = 88.472 μs, Max = 91.264 μs
IQR = 4.276 μs, LowerFence = 77.781 μs, UpperFence = 94.887 μs
ConfidenceInterval = [7.326 μs; 165.778 μs] (CI 99.9%), Margin = 79.226 μs (91.54% of Mean)
Skewness = 0.19, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.DataLoad: Job-CMPGBU(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "8247fdb7-b1cc-4230-89bb-7f8d03253ef4.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.DataLoad" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 3 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/8247fdb7-b1cc-4230-89bb-7f8d03253ef4/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-FFJGBK(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 270427.00 ns, 270.4270 us/op
WorkloadJitting  1: 1 op, 5614040.00 ns, 5.6140 ms/op

OverheadJitting  2: 16 op, 267059.00 ns, 16.6912 us/op
WorkloadJitting  2: 16 op, 81133974.00 ns, 5.0709 ms/op

WorkloadPilot    1: 16 op, 77651215.00 ns, 4.8532 ms/op
WorkloadPilot    2: 32 op, 151915761.00 ns, 4.7474 ms/op
WorkloadPilot    3: 64 op, 154473748.00 ns, 2.4137 ms/op
WorkloadPilot    4: 128 op, 188177038.00 ns, 1.4701 ms/op
WorkloadPilot    5: 256 op, 347490752.00 ns, 1.3574 ms/op
WorkloadPilot    6: 512 op, 748633194.00 ns, 1.4622 ms/op

OverheadWarmup   1: 512 op, 4682.00 ns, 9.1445 ns/op
OverheadWarmup   2: 512 op, 1366.00 ns, 2.6680 ns/op
OverheadWarmup   3: 512 op, 1304.00 ns, 2.5469 ns/op
OverheadWarmup   4: 512 op, 1327.00 ns, 2.5918 ns/op
OverheadWarmup   5: 512 op, 1398.00 ns, 2.7305 ns/op
OverheadWarmup   6: 512 op, 1316.00 ns, 2.5703 ns/op
OverheadWarmup   7: 512 op, 1250.00 ns, 2.4414 ns/op
OverheadWarmup   8: 512 op, 1204.00 ns, 2.3516 ns/op
OverheadWarmup   9: 512 op, 1950.00 ns, 3.8086 ns/op
OverheadWarmup  10: 512 op, 1959.00 ns, 3.8262 ns/op

OverheadActual   1: 512 op, 1646.00 ns, 3.2148 ns/op
OverheadActual   2: 512 op, 1689.00 ns, 3.2988 ns/op
OverheadActual   3: 512 op, 1570.00 ns, 3.0664 ns/op
OverheadActual   4: 512 op, 1694.00 ns, 3.3086 ns/op
OverheadActual   5: 512 op, 1602.00 ns, 3.1289 ns/op
OverheadActual   6: 512 op, 1861.00 ns, 3.6348 ns/op
OverheadActual   7: 512 op, 1421.00 ns, 2.7754 ns/op
OverheadActual   8: 512 op, 1424.00 ns, 2.7812 ns/op
OverheadActual   9: 512 op, 1373.00 ns, 2.6816 ns/op
OverheadActual  10: 512 op, 1905.00 ns, 3.7207 ns/op
OverheadActual  11: 512 op, 2322.00 ns, 4.5352 ns/op
OverheadActual  12: 512 op, 1585.00 ns, 3.0957 ns/op
OverheadActual  13: 512 op, 1539.00 ns, 3.0059 ns/op
OverheadActual  14: 512 op, 1925.00 ns, 3.7598 ns/op
OverheadActual  15: 512 op, 1418.00 ns, 2.7695 ns/op
OverheadActual  16: 512 op, 1497.00 ns, 2.9238 ns/op
OverheadActual  17: 512 op, 1456.00 ns, 2.8438 ns/op
OverheadActual  18: 512 op, 1537.00 ns, 3.0020 ns/op
OverheadActual  19: 512 op, 1469.00 ns, 2.8691 ns/op
OverheadActual  20: 512 op, 1636.00 ns, 3.1953 ns/op

WorkloadWarmup   1: 512 op, 726355726.00 ns, 1.4187 ms/op

// BeforeActualRun
WorkloadActual   1: 512 op, 702670545.00 ns, 1.3724 ms/op
WorkloadActual   2: 512 op, 756260181.00 ns, 1.4771 ms/op
WorkloadActual   3: 512 op, 733295736.00 ns, 1.4322 ms/op

// AfterActualRun
WorkloadResult   1: 512 op, 702668967.50 ns, 1.3724 ms/op
WorkloadResult   2: 512 op, 756258603.50 ns, 1.4771 ms/op
WorkloadResult   3: 512 op, 733294158.50 ns, 1.4322 ms/op

// AfterAll
// Benchmark Process 180101 has exited with code 0

Mean = 1.427 ms, StdErr = 0.030 ms (2.12%), N = 3, StdDev = 0.053 ms
Min = 1.372 ms, Q1 = 1.402 ms, Median = 1.432 ms, Q3 = 1.455 ms, Max = 1.477 ms
IQR = 0.052 ms, LowerFence = 1.324 ms, UpperFence = 1.533 ms
ConfidenceInterval = [0.469 ms; 2.385 ms] (CI 99.9%), Margin = 0.958 ms (67.12% of Mean)
Skewness = -0.09, Kurtosis = 0.67, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.csv
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report-github.md
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.html

// * Detailed results *
GetMostActiveVisistors.LinqJoin: Job-CMPGBU(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 57.207 μs, StdErr = 0.188 μs (0.33%), N = 3, StdDev = 0.326 μs
Min = 56.830 μs, Q1 = 57.108 μs, Median = 57.386 μs, Q3 = 57.395 μs, Max = 57.404 μs
IQR = 0.287 μs, LowerFence = 56.678 μs, UpperFence = 57.825 μs
ConfidenceInterval = [51.255 μs; 63.159 μs] (CI 99.9%), Margin = 5.952 μs (10.40% of Mean)
Skewness = -0.38, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[56.820 μs ; 57.414 μs) | @@@
---------------------------------------------------

GetMostActiveVisistors.MergeJoin: Job-CMPGBU(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 53.672 μs, StdErr = 0.275 μs (0.51%), N = 3, StdDev = 0.476 μs
Min = 53.364 μs, Q1 = 53.398 μs, Median = 53.432 μs, Q3 = 53.826 μs, Max = 54.220 μs
IQR = 0.428 μs, LowerFence = 52.756 μs, UpperFence = 54.468 μs
ConfidenceInterval = [44.993 μs; 62.351 μs] (CI 99.9%), Margin = 8.679 μs (16.17% of Mean)
Skewness = 0.38, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[53.359 μs ; 54.225 μs) | @@@
---------------------------------------------------

GetMostActiveVisistors.NestedLoop: Job-CMPGBU(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 86.552 μs, StdErr = 2.507 μs (2.90%), N = 3, StdDev = 4.343 μs
Min = 82.711 μs, Q1 = 84.196 μs, Median = 85.680 μs, Q3 = 88.472 μs, Max = 91.264 μs
IQR = 4.276 μs, LowerFence = 77.781 μs, UpperFence = 94.887 μs
ConfidenceInterval = [7.326 μs; 165.778 μs] (CI 99.9%), Margin = 79.226 μs (91.54% of Mean)
Skewness = 0.19, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[80.244 μs ; 88.148 μs) | @@
[88.148 μs ; 95.216 μs) | @
---------------------------------------------------

GetMostActiveVisistors.DataLoad: Job-CMPGBU(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 1.427 ms, StdErr = 0.030 ms (2.12%), N = 3, StdDev = 0.053 ms
Min = 1.372 ms, Q1 = 1.402 ms, Median = 1.432 ms, Q3 = 1.455 ms, Max = 1.477 ms
IQR = 0.052 ms, LowerFence = 1.324 ms, UpperFence = 1.533 ms
ConfidenceInterval = [0.469 ms; 2.385 ms] (CI 99.9%), Margin = 0.958 ms (67.12% of Mean)
Skewness = -0.09, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[1.325 ms ; 1.407 ms) | @
[1.407 ms ; 1.502 ms) | @@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.12.1, OS=ubuntu 20.04
Intel Core i5-6500 CPU 3.20GHz (Skylake), 1 CPU, 4 logical and 4 physical cores
.NET Core SDK=3.1.403
  [Host]     : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
  Job-CMPGBU : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT

IterationCount=3  LaunchCount=1  WarmupCount=1  

|     Method |        Mean |      Error |    StdDev |
|----------- |------------:|-----------:|----------:|
|   LinqJoin |    57.21 μs |   5.952 μs |  0.326 μs |
|  MergeJoin |    53.67 μs |   8.679 μs |  0.476 μs |
| NestedLoop |    86.55 μs |  79.226 μs |  4.343 μs |
|   DataLoad | 1,427.23 μs | 958.006 μs | 52.512 μs |

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 μs   : 1 Microsecond (0.000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:22 (22.86 sec), executed benchmarks: 4

Global total time: 00:00:26 (26.65 sec), executed benchmarks: 4
// * Artifacts cleanup *
