// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/37f8f514-3935-4286-a59b-3326ba506b83
// command took 1.36s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/37f8f514-3935-4286-a59b-3326ba506b83
// command took 2.03s and exited with 0
// ***** Done, took 00:00:03 (3.49 sec)   *****
// Found 3 benchmarks:
//   GetMostActiveVisistors.NestedLoop: Job-BSNRJV(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop1: Job-BSNRJV(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop2: Job-BSNRJV(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-BSNRJV(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "37f8f514-3935-4286-a59b-3326ba506b83.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/37f8f514-3935-4286-a59b-3326ba506b83/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-VKAJBF(IterationCount=3, LaunchCount=1, WarmupCount=1)

IQR = 0.037 ns, LowerFence = 23.591 ns, UpperFence = 23.739 ns
ConfidenceInterval = [22.985 ns; 24.342 ns] (CI 99.9%), Margin = 0.679 ns (2.87% of Mean)
Skewness = -0.16, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop2: Job-BSNRJV(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "37f8f514-3935-4286-a59b-3326ba506b83.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop2" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 2 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/37f8f514-3935-4286-a59b-3326ba506b83/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-XHGXZZ(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 269524.00 ns, 269.5240 us/op
WorkloadJitting  1: 1 op, 2147417.00 ns, 2.1474 ms/op

OverheadJitting  2: 16 op, 249016.00 ns, 15.5635 us/op
WorkloadJitting  2: 16 op, 415156.00 ns, 25.9473 us/op

WorkloadPilot    1: 16 op, 12444.00 ns, 777.7500 ns/op
WorkloadPilot    2: 32 op, 14298.00 ns, 446.8125 ns/op
WorkloadPilot    3: 64 op, 22844.00 ns, 356.9375 ns/op
WorkloadPilot    4: 128 op, 42102.00 ns, 328.9219 ns/op
WorkloadPilot    5: 256 op, 77319.00 ns, 302.0273 ns/op
WorkloadPilot    6: 512 op, 153170.00 ns, 299.1602 ns/op
WorkloadPilot    7: 1024 op, 323033.00 ns, 315.4619 ns/op
WorkloadPilot    8: 2048 op, 685053.00 ns, 334.4985 ns/op
WorkloadPilot    9: 4096 op, 1453944.00 ns, 354.9668 ns/op
WorkloadPilot   10: 8192 op, 2877744.00 ns, 351.2871 ns/op
WorkloadPilot   11: 16384 op, 6211559.00 ns, 379.1235 ns/op
WorkloadPilot   12: 32768 op, 10337981.00 ns, 315.4901 ns/op
WorkloadPilot   13: 65536 op, 21464344.00 ns, 327.5199 ns/op
WorkloadPilot   14: 131072 op, 43066603.00 ns, 328.5721 ns/op
WorkloadPilot   15: 262144 op, 75213945.00 ns, 286.9184 ns/op
WorkloadPilot   16: 524288 op, 76921905.00 ns, 146.7169 ns/op
WorkloadPilot   17: 1048576 op, 154471898.00 ns, 147.3159 ns/op
WorkloadPilot   18: 2097152 op, 306083835.00 ns, 145.9521 ns/op
WorkloadPilot   19: 4194304 op, 613131796.00 ns, 146.1820 ns/op

OverheadWarmup   1: 4194304 op, 7603011.00 ns, 1.8127 ns/op
OverheadWarmup   2: 4194304 op, 8152210.00 ns, 1.9436 ns/op
OverheadWarmup   3: 4194304 op, 8255434.00 ns, 1.9682 ns/op
OverheadWarmup   4: 4194304 op, 7411661.00 ns, 1.7671 ns/op
OverheadWarmup   5: 4194304 op, 7377503.00 ns, 1.7589 ns/op
OverheadWarmup   6: 4194304 op, 7569478.00 ns, 1.8047 ns/op
OverheadWarmup   7: 4194304 op, 7084792.00 ns, 1.6891 ns/op

OverheadActual   1: 4194304 op, 7613503.00 ns, 1.8152 ns/op
OverheadActual   2: 4194304 op, 7108641.00 ns, 1.6948 ns/op
OverheadActual   3: 4194304 op, 7649827.00 ns, 1.8239 ns/op
OverheadActual   4: 4194304 op, 7439226.00 ns, 1.7736 ns/op
OverheadActual   5: 4194304 op, 7173329.00 ns, 1.7103 ns/op
OverheadActual   6: 4194304 op, 7281905.00 ns, 1.7361 ns/op
OverheadActual   7: 4194304 op, 7528642.00 ns, 1.7950 ns/op
OverheadActual   8: 4194304 op, 7213021.00 ns, 1.7197 ns/op
OverheadActual   9: 4194304 op, 7471082.00 ns, 1.7812 ns/op
OverheadActual  10: 4194304 op, 7054485.00 ns, 1.6819 ns/op
OverheadActual  11: 4194304 op, 7554828.00 ns, 1.8012 ns/op
OverheadActual  12: 4194304 op, 7638924.00 ns, 1.8213 ns/op
OverheadActual  13: 4194304 op, 7685260.00 ns, 1.8323 ns/op
OverheadActual  14: 4194304 op, 7092709.00 ns, 1.6910 ns/op
OverheadActual  15: 4194304 op, 7635339.00 ns, 1.8204 ns/op

WorkloadWarmup   1: 4194304 op, 614990127.00 ns, 146.6251 ns/op

// BeforeActualRun
WorkloadActual   1: 4194304 op, 609854650.00 ns, 145.4007 ns/op
WorkloadActual   2: 4194304 op, 614059875.00 ns, 146.4033 ns/op
WorkloadActual   3: 4194304 op, 612012302.00 ns, 145.9151 ns/op

// AfterActualRun
WorkloadResult   1: 4194304 op, 602383568.00 ns, 143.6194 ns/op
WorkloadResult   2: 4194304 op, 606588793.00 ns, 144.6220 ns/op
WorkloadResult   3: 4194304 op, 604541220.00 ns, 144.1339 ns/op

// AfterAll
// Benchmark Process 13298 has exited with code 0

Mean = 144.125 ns, StdErr = 0.289 ns (0.20%), N = 3, StdDev = 0.501 ns
Min = 143.619 ns, Q1 = 143.877 ns, Median = 144.134 ns, Q3 = 144.378 ns, Max = 144.622 ns
IQR = 0.501 ns, LowerFence = 143.125 ns, UpperFence = 145.130 ns
ConfidenceInterval = [134.978 ns; 153.272 ns] (CI 99.9%), Margin = 9.147 ns (6.35% of Mean)
Skewness = -0.02, Kurtosis = 0.67, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.csv
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report-github.md
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.html

// * Detailed results *
GetMostActiveVisistors.NestedLoop: Job-BSNRJV(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 170.612 ns, StdErr = 0.276 ns (0.16%), N = 3, StdDev = 0.477 ns
Min = 170.165 ns, Q1 = 170.360 ns, Median = 170.556 ns, Q3 = 170.835 ns, Max = 171.114 ns
IQR = 0.475 ns, LowerFence = 169.648 ns, UpperFence = 171.548 ns
ConfidenceInterval = [161.905 ns; 179.319 ns] (CI 99.9%), Margin = 8.707 ns (5.10% of Mean)
Skewness = 0.11, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[169.730 ns ; 171.549 ns) | @@@
---------------------------------------------------

GetMostActiveVisistors.NestedLoop1: Job-BSNRJV(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 23.663 ns, StdErr = 0.021 ns (0.09%), N = 3, StdDev = 0.037 ns
Min = 23.624 ns, Q1 = 23.647 ns, Median = 23.670 ns, Q3 = 23.683 ns, Max = 23.697 ns
IQR = 0.037 ns, LowerFence = 23.591 ns, UpperFence = 23.739 ns
ConfidenceInterval = [22.985 ns; 24.342 ns] (CI 99.9%), Margin = 0.679 ns (2.87% of Mean)
Skewness = -0.16, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[23.590 ns ; 23.731 ns) | @@@
---------------------------------------------------

GetMostActiveVisistors.NestedLoop2: Job-BSNRJV(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 144.125 ns, StdErr = 0.289 ns (0.20%), N = 3, StdDev = 0.501 ns
Min = 143.619 ns, Q1 = 143.877 ns, Median = 144.134 ns, Q3 = 144.378 ns, Max = 144.622 ns
IQR = 0.501 ns, LowerFence = 143.125 ns, UpperFence = 145.130 ns
ConfidenceInterval = [134.978 ns; 153.272 ns] (CI 99.9%), Margin = 9.147 ns (6.35% of Mean)
Skewness = -0.02, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[143.163 ns ; 145.078 ns) | @@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.12.1, OS=ubuntu 20.04
Intel Core i5-6500 CPU 3.20GHz (Skylake), 1 CPU, 4 logical and 4 physical cores
.NET Core SDK=3.1.403
  [Host]     : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
  Job-BSNRJV : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT

IterationCount=3  LaunchCount=1  WarmupCount=1  

|      Method |      Mean |    Error |   StdDev |
|------------ |----------:|---------:|---------:|
|  NestedLoop | 170.61 ns | 8.707 ns | 0.477 ns |
| NestedLoop1 |  23.66 ns | 0.679 ns | 0.037 ns |
| NestedLoop2 | 144.13 ns | 9.147 ns | 0.501 ns |

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 ns   : 1 Nanosecond (0.000000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:16 (16.09 sec), executed benchmarks: 3

Global total time: 00:00:19 (19.59 sec), executed benchmarks: 3
// * Artifacts cleanup *
