// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/db10a0a6-d100-4fbf-97e0-6300492a8722
// command took 1.4s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/db10a0a6-d100-4fbf-97e0-6300492a8722
// command took 2.2s and exited with 0
// ***** Done, took 00:00:03 (3.7 sec)   *****
// Found 2 benchmarks:
//   GetMostActiveVisistors.NestedLoop: Job-KELTYE(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop_LinkedList: Job-KELTYE(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-KELTYE(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "db10a0a6-d100-4fbf-97e0-6300492a8722.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/db10a0a6-d100-4fbf-97e0-6300492a8722/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-MMDFNT(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadActual   6: 4096 op, 8439.00 ns, 2.0603 ns/op
OverheadActual   7: 4096 op, 8401.00 ns, 2.0510 ns/op
OverheadActual   8: 4096 op, 8382.00 ns, 2.0464 ns/op
OverheadActual   9: 4096 op, 8411.00 ns, 2.0535 ns/op
OverheadActual  10: 4096 op, 8135.00 ns, 1.9861 ns/op
OverheadActual  11: 4096 op, 8690.00 ns, 2.1216 ns/op
OverheadActual  12: 4096 op, 8351.00 ns, 2.0388 ns/op
OverheadActual  13: 4096 op, 8213.00 ns, 2.0051 ns/op
OverheadActual  14: 4096 op, 8134.00 ns, 1.9858 ns/op
OverheadActual  15: 4096 op, 7845.00 ns, 1.9153 ns/op

WorkloadWarmup   1: 4096 op, 810092905.00 ns, 197.7766 us/op

// BeforeActualRun
WorkloadActual   1: 4096 op, 812456512.00 ns, 198.3536 us/op
WorkloadActual   2: 4096 op, 798104476.00 ns, 194.8497 us/op
WorkloadActual   3: 4096 op, 801043198.00 ns, 195.5672 us/op

// AfterActualRun
WorkloadResult   1: 4096 op, 812448161.00 ns, 198.3516 us/op
WorkloadResult   2: 4096 op, 798096125.00 ns, 194.8477 us/op
WorkloadResult   3: 4096 op, 801034847.00 ns, 195.5651 us/op

// AfterAll
// Benchmark Process 589715 has exited with code 0

Mean = 196.255 μs, StdErr = 1.069 μs (0.54%), N = 3, StdDev = 1.851 μs
Min = 194.848 μs, Q1 = 195.206 μs, Median = 195.565 μs, Q3 = 196.958 μs, Max = 198.352 μs
IQR = 1.752 μs, LowerFence = 192.578 μs, UpperFence = 199.586 μs
ConfidenceInterval = [162.486 μs; 230.023 μs] (CI 99.9%), Margin = 33.769 μs (17.21% of Mean)
Skewness = 0.32, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop_LinkedList: Job-KELTYE(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "db10a0a6-d100-4fbf-97e0-6300492a8722.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop_LinkedList" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/db10a0a6-d100-4fbf-97e0-6300492a8722/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-KNVSQX(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 277446.00 ns, 277.4460 us/op
WorkloadJitting  1: 1 op, 1731939.00 ns, 1.7319 ms/op

OverheadJitting  2: 16 op, 263670.00 ns, 16.4794 us/op
WorkloadJitting  2: 16 op, 12493004.00 ns, 780.8128 us/op

WorkloadPilot    1: 16 op, 10937442.00 ns, 683.5901 us/op
WorkloadPilot    2: 32 op, 24197451.00 ns, 756.1703 us/op
WorkloadPilot    3: 64 op, 45225553.00 ns, 706.6493 us/op
WorkloadPilot    4: 128 op, 103062545.00 ns, 805.1761 us/op
WorkloadPilot    5: 256 op, 210733412.00 ns, 823.1774 us/op
WorkloadPilot    6: 512 op, 417651560.00 ns, 815.7257 us/op
WorkloadPilot    7: 1024 op, 830923059.00 ns, 811.4483 us/op

OverheadWarmup   1: 1024 op, 6862.00 ns, 6.7012 ns/op
OverheadWarmup   2: 1024 op, 2307.00 ns, 2.2529 ns/op
OverheadWarmup   3: 1024 op, 2180.00 ns, 2.1289 ns/op
OverheadWarmup   4: 1024 op, 2162.00 ns, 2.1113 ns/op
OverheadWarmup   5: 1024 op, 2470.00 ns, 2.4121 ns/op
OverheadWarmup   6: 1024 op, 2183.00 ns, 2.1318 ns/op
OverheadWarmup   7: 1024 op, 2246.00 ns, 2.1934 ns/op
OverheadWarmup   8: 1024 op, 2138.00 ns, 2.0879 ns/op

OverheadActual   1: 1024 op, 2221.00 ns, 2.1689 ns/op
OverheadActual   2: 1024 op, 2333.00 ns, 2.2783 ns/op
OverheadActual   3: 1024 op, 2281.00 ns, 2.2275 ns/op
OverheadActual   4: 1024 op, 2174.00 ns, 2.1230 ns/op
OverheadActual   5: 1024 op, 2283.00 ns, 2.2295 ns/op
OverheadActual   6: 1024 op, 2147.00 ns, 2.0967 ns/op
OverheadActual   7: 1024 op, 2400.00 ns, 2.3438 ns/op
OverheadActual   8: 1024 op, 19175.00 ns, 18.7256 ns/op
OverheadActual   9: 1024 op, 2452.00 ns, 2.3945 ns/op
OverheadActual  10: 1024 op, 2367.00 ns, 2.3115 ns/op
OverheadActual  11: 1024 op, 2398.00 ns, 2.3418 ns/op
OverheadActual  12: 1024 op, 2258.00 ns, 2.2051 ns/op
OverheadActual  13: 1024 op, 2236.00 ns, 2.1836 ns/op
OverheadActual  14: 1024 op, 2362.00 ns, 2.3066 ns/op
OverheadActual  15: 1024 op, 2304.00 ns, 2.2500 ns/op

WorkloadWarmup   1: 1024 op, 814494991.00 ns, 795.4053 us/op

// BeforeActualRun
WorkloadActual   1: 1024 op, 822944974.00 ns, 803.6572 us/op
WorkloadActual   2: 1024 op, 828869494.00 ns, 809.4429 us/op
WorkloadActual   3: 1024 op, 821653926.00 ns, 802.3964 us/op

// AfterActualRun
WorkloadResult   1: 1024 op, 822942670.00 ns, 803.6550 us/op
WorkloadResult   2: 1024 op, 828867190.00 ns, 809.4406 us/op
WorkloadResult   3: 1024 op, 821651622.00 ns, 802.3942 us/op

// AfterAll
// Benchmark Process 589734 has exited with code 0

Mean = 805.163 μs, StdErr = 2.169 μs (0.27%), N = 3, StdDev = 3.758 μs
Min = 802.394 μs, Q1 = 803.025 μs, Median = 803.655 μs, Q3 = 806.548 μs, Max = 809.441 μs
IQR = 3.523 μs, LowerFence = 797.740 μs, UpperFence = 811.833 μs
ConfidenceInterval = [736.611 μs; 873.715 μs] (CI 99.9%), Margin = 68.552 μs (8.51% of Mean)
Skewness = 0.34, Kurtosis = 0.67, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.csv
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report-github.md
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.html

// * Detailed results *
GetMostActiveVisistors.NestedLoop: Job-KELTYE(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 196.255 μs, StdErr = 1.069 μs (0.54%), N = 3, StdDev = 1.851 μs
Min = 194.848 μs, Q1 = 195.206 μs, Median = 195.565 μs, Q3 = 196.958 μs, Max = 198.352 μs
IQR = 1.752 μs, LowerFence = 192.578 μs, UpperFence = 199.586 μs
ConfidenceInterval = [162.486 μs; 230.023 μs] (CI 99.9%), Margin = 33.769 μs (17.21% of Mean)
Skewness = 0.32, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[193.163 μs ; 200.036 μs) | @@@
---------------------------------------------------

GetMostActiveVisistors.NestedLoop_LinkedList: Job-KELTYE(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 805.163 μs, StdErr = 2.169 μs (0.27%), N = 3, StdDev = 3.758 μs
Min = 802.394 μs, Q1 = 803.025 μs, Median = 803.655 μs, Q3 = 806.548 μs, Max = 809.441 μs
IQR = 3.523 μs, LowerFence = 797.740 μs, UpperFence = 811.833 μs
ConfidenceInterval = [736.611 μs; 873.715 μs] (CI 99.9%), Margin = 68.552 μs (8.51% of Mean)
Skewness = 0.34, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[798.975 μs ; 812.860 μs) | @@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.12.1, OS=ubuntu 20.04
Intel Core i5-6500 CPU 3.20GHz (Skylake), 1 CPU, 4 logical and 4 physical cores
.NET Core SDK=3.1.403
  [Host]     : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
  Job-KELTYE : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT

IterationCount=3  LaunchCount=1  WarmupCount=1  

|                Method |     Mean |    Error |  StdDev |
|---------------------- |---------:|---------:|--------:|
|            NestedLoop | 196.3 μs | 33.77 μs | 1.85 μs |
| NestedLoop_LinkedList | 805.2 μs | 68.55 μs | 3.76 μs |

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 μs   : 1 Microsecond (0.000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:11 (11.4 sec), executed benchmarks: 2

Global total time: 00:00:15 (15.11 sec), executed benchmarks: 2
// * Artifacts cleanup *
