// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/f03f4492-eb05-4dff-b8d5-34420fbc6e01
// command took 1.33s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/f03f4492-eb05-4dff-b8d5-34420fbc6e01
// command took 2.17s and exited with 0
// ***** Done, took 00:00:03 (3.6 sec)   *****
// Found 6 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.LinqJoin_LinkedList: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop_LinkedList: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "f03f4492-eb05-4dff-b8d5-34420fbc6e01.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/f03f4492-eb05-4dff-b8d5-34420fbc6e01/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-DYHPOY(IterationCount=3, LaunchCount=1, WarmupCount=1)

ConfidenceInterval = [323.571 μs; 411.826 μs] (CI 99.9%), Margin = 44.127 μs (12.00% of Mean)
Skewness = -0.02, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin_LinkedList: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "f03f4492-eb05-4dff-b8d5-34420fbc6e01.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin_LinkedList" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/f03f4492-eb05-4dff-b8d5-34420fbc6e01/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-MATULZ(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 274779.00 ns, 274.7790 us/op
WorkloadJitting  1: 1 op, 7115265.00 ns, 7.1153 ms/op

OverheadJitting  2: 16 op, 339744.00 ns, 21.2340 us/op
WorkloadJitting  2: 16 op, 10942711.00 ns, 683.9194 us/op

WorkloadPilot    1: 16 op, 10223575.00 ns, 638.9734 us/op
WorkloadPilot    2: 32 op, 21875646.00 ns, 683.6139 us/op
WorkloadPilot    3: 64 op, 42246980.00 ns, 660.1091 us/op
WorkloadPilot    4: 128 op, 72923401.00 ns, 569.7141 us/op
WorkloadPilot    5: 256 op, 122931547.00 ns, 480.2014 us/op
WorkloadPilot    6: 512 op, 242844702.00 ns, 474.3061 us/op
WorkloadPilot    7: 1024 op, 476427697.00 ns, 465.2614 us/op
WorkloadPilot    8: 2048 op, 980036957.00 ns, 478.5337 us/op

OverheadWarmup   1: 2048 op, 22746.00 ns, 11.1064 ns/op
OverheadWarmup   2: 2048 op, 4194.00 ns, 2.0479 ns/op
OverheadWarmup   3: 2048 op, 4027.00 ns, 1.9663 ns/op
OverheadWarmup   4: 2048 op, 3903.00 ns, 1.9058 ns/op
OverheadWarmup   5: 2048 op, 4100.00 ns, 2.0020 ns/op
OverheadWarmup   6: 2048 op, 3892.00 ns, 1.9004 ns/op
OverheadWarmup   7: 2048 op, 4194.00 ns, 2.0479 ns/op
OverheadWarmup   8: 2048 op, 4321.00 ns, 2.1099 ns/op
OverheadWarmup   9: 2048 op, 4298.00 ns, 2.0986 ns/op

OverheadActual   1: 2048 op, 4458.00 ns, 2.1768 ns/op
OverheadActual   2: 2048 op, 4449.00 ns, 2.1724 ns/op
OverheadActual   3: 2048 op, 4421.00 ns, 2.1587 ns/op
OverheadActual   4: 2048 op, 4307.00 ns, 2.1030 ns/op
OverheadActual   5: 2048 op, 4340.00 ns, 2.1191 ns/op
OverheadActual   6: 2048 op, 4412.00 ns, 2.1543 ns/op
OverheadActual   7: 2048 op, 4319.00 ns, 2.1089 ns/op
OverheadActual   8: 2048 op, 4069.00 ns, 1.9868 ns/op
OverheadActual   9: 2048 op, 4864.00 ns, 2.3750 ns/op
OverheadActual  10: 2048 op, 4654.00 ns, 2.2725 ns/op
OverheadActual  11: 2048 op, 4711.00 ns, 2.3003 ns/op
OverheadActual  12: 2048 op, 4594.00 ns, 2.2432 ns/op
OverheadActual  13: 2048 op, 4523.00 ns, 2.2085 ns/op
OverheadActual  14: 2048 op, 4359.00 ns, 2.1284 ns/op
OverheadActual  15: 2048 op, 4300.00 ns, 2.0996 ns/op

WorkloadWarmup   1: 2048 op, 951392994.00 ns, 464.5474 us/op

// BeforeActualRun
WorkloadActual   1: 2048 op, 952925082.00 ns, 465.2955 us/op
WorkloadActual   2: 2048 op, 961501491.00 ns, 469.4831 us/op
WorkloadActual   3: 2048 op, 949969297.00 ns, 463.8522 us/op

// AfterActualRun
WorkloadResult   1: 2048 op, 952920661.00 ns, 465.2933 us/op
WorkloadResult   2: 2048 op, 961497070.00 ns, 469.4810 us/op
WorkloadResult   3: 2048 op, 949964876.00 ns, 463.8500 us/op

// AfterAll
// Benchmark Process 581569 has exited with code 0

Mean = 466.208 μs, StdErr = 1.689 μs (0.36%), N = 3, StdDev = 2.925 μs
Min = 463.850 μs, Q1 = 464.572 μs, Median = 465.293 μs, Q3 = 467.387 μs, Max = 469.481 μs
IQR = 2.815 μs, LowerFence = 460.348 μs, UpperFence = 471.610 μs
ConfidenceInterval = [412.848 μs; 519.568 μs] (CI 99.9%), Margin = 53.360 μs (11.45% of Mean)
Skewness = 0.28, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.MergeJoin: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "f03f4492-eb05-4dff-b8d5-34420fbc6e01.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.MergeJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 2 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/f03f4492-eb05-4dff-b8d5-34420fbc6e01/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-CUIBPQ(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 307349.00 ns, 307.3490 us/op
WorkloadJitting  1: 1 op, 3119987.00 ns, 3.1200 ms/op

OverheadJitting  2: 16 op, 359795.00 ns, 22.4872 us/op
WorkloadJitting  2: 16 op, 18873453.00 ns, 1.1796 ms/op

WorkloadPilot    1: 16 op, 17106891.00 ns, 1.0692 ms/op
WorkloadPilot    2: 32 op, 35796256.00 ns, 1.1186 ms/op
WorkloadPilot    3: 64 op, 68583622.00 ns, 1.0716 ms/op
WorkloadPilot    4: 128 op, 136895149.00 ns, 1.0695 ms/op
WorkloadPilot    5: 256 op, 141447960.00 ns, 552.5311 us/op
WorkloadPilot    6: 512 op, 219526488.00 ns, 428.7627 us/op
WorkloadPilot    7: 1024 op, 454253251.00 ns, 443.6067 us/op
WorkloadPilot    8: 2048 op, 856145804.00 ns, 418.0399 us/op

OverheadWarmup   1: 2048 op, 8792.00 ns, 4.2930 ns/op
OverheadWarmup   2: 2048 op, 4196.00 ns, 2.0488 ns/op
OverheadWarmup   3: 2048 op, 4050.00 ns, 1.9775 ns/op
OverheadWarmup   4: 2048 op, 4243.00 ns, 2.0718 ns/op
OverheadWarmup   5: 2048 op, 4221.00 ns, 2.0610 ns/op
OverheadWarmup   6: 2048 op, 4333.00 ns, 2.1157 ns/op
OverheadWarmup   7: 2048 op, 4218.00 ns, 2.0596 ns/op

OverheadActual   1: 2048 op, 4750.00 ns, 2.3193 ns/op
OverheadActual   2: 2048 op, 5776.00 ns, 2.8203 ns/op
OverheadActual   3: 2048 op, 5163.00 ns, 2.5210 ns/op
OverheadActual   4: 2048 op, 5433.00 ns, 2.6528 ns/op
OverheadActual   5: 2048 op, 5192.00 ns, 2.5352 ns/op
OverheadActual   6: 2048 op, 4980.00 ns, 2.4316 ns/op
OverheadActual   7: 2048 op, 4746.00 ns, 2.3174 ns/op
OverheadActual   8: 2048 op, 4945.00 ns, 2.4146 ns/op
OverheadActual   9: 2048 op, 5147.00 ns, 2.5132 ns/op
OverheadActual  10: 2048 op, 4881.00 ns, 2.3833 ns/op
OverheadActual  11: 2048 op, 5606.00 ns, 2.7373 ns/op
OverheadActual  12: 2048 op, 4993.00 ns, 2.4380 ns/op
OverheadActual  13: 2048 op, 5053.00 ns, 2.4673 ns/op
OverheadActual  14: 2048 op, 5005.00 ns, 2.4438 ns/op
OverheadActual  15: 2048 op, 4962.00 ns, 2.4229 ns/op

WorkloadWarmup   1: 2048 op, 906216016.00 ns, 442.4883 us/op

// BeforeActualRun
WorkloadActual   1: 2048 op, 857372856.00 ns, 418.6391 us/op
WorkloadActual   2: 2048 op, 851130327.00 ns, 415.5910 us/op
WorkloadActual   3: 2048 op, 847328812.00 ns, 413.7348 us/op

// AfterActualRun
WorkloadResult   1: 2048 op, 857367851.00 ns, 418.6366 us/op
WorkloadResult   2: 2048 op, 851125322.00 ns, 415.5885 us/op
WorkloadResult   3: 2048 op, 847323807.00 ns, 413.7323 us/op

// AfterAll
// Benchmark Process 581595 has exited with code 0

Mean = 415.986 μs, StdErr = 1.430 μs (0.34%), N = 3, StdDev = 2.476 μs
Min = 413.732 μs, Q1 = 414.660 μs, Median = 415.589 μs, Q3 = 417.113 μs, Max = 418.637 μs
IQR = 2.452 μs, LowerFence = 410.982 μs, UpperFence = 420.791 μs
ConfidenceInterval = [370.811 μs; 461.161 μs] (CI 99.9%), Margin = 45.175 μs (10.86% of Mean)
Skewness = 0.16, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "f03f4492-eb05-4dff-b8d5-34420fbc6e01.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 3 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/f03f4492-eb05-4dff-b8d5-34420fbc6e01/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-HIXVYD(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 317457.00 ns, 317.4570 us/op
WorkloadJitting  1: 1 op, 2392025.00 ns, 2.3920 ms/op

OverheadJitting  2: 16 op, 369878.00 ns, 23.1174 us/op
WorkloadJitting  2: 16 op, 25258448.00 ns, 1.5787 ms/op

WorkloadPilot    1: 16 op, 24341994.00 ns, 1.5214 ms/op
WorkloadPilot    2: 32 op, 46761816.00 ns, 1.4613 ms/op
WorkloadPilot    3: 64 op, 91161781.00 ns, 1.4244 ms/op
WorkloadPilot    4: 128 op, 180043296.00 ns, 1.4066 ms/op
WorkloadPilot    5: 256 op, 354980498.00 ns, 1.3866 ms/op
WorkloadPilot    6: 512 op, 716006037.00 ns, 1.3984 ms/op

OverheadWarmup   1: 512 op, 19822.00 ns, 38.7148 ns/op
OverheadWarmup   2: 512 op, 1312.00 ns, 2.5625 ns/op
OverheadWarmup   3: 512 op, 1257.00 ns, 2.4551 ns/op
OverheadWarmup   4: 512 op, 1413.00 ns, 2.7598 ns/op
OverheadWarmup   5: 512 op, 1523.00 ns, 2.9746 ns/op
OverheadWarmup   6: 512 op, 1628.00 ns, 3.1797 ns/op
OverheadWarmup   7: 512 op, 1987.00 ns, 3.8809 ns/op
OverheadWarmup   8: 512 op, 1827.00 ns, 3.5684 ns/op
OverheadWarmup   9: 512 op, 2094.00 ns, 4.0898 ns/op
OverheadWarmup  10: 512 op, 1782.00 ns, 3.4805 ns/op

OverheadActual   1: 512 op, 1804.00 ns, 3.5234 ns/op
OverheadActual   2: 512 op, 1601.00 ns, 3.1270 ns/op
OverheadActual   3: 512 op, 1646.00 ns, 3.2148 ns/op
OverheadActual   4: 512 op, 1911.00 ns, 3.7324 ns/op
OverheadActual   5: 512 op, 1627.00 ns, 3.1777 ns/op
OverheadActual   6: 512 op, 1844.00 ns, 3.6016 ns/op
OverheadActual   7: 512 op, 2131.00 ns, 4.1621 ns/op
OverheadActual   8: 512 op, 1928.00 ns, 3.7656 ns/op
OverheadActual   9: 512 op, 1905.00 ns, 3.7207 ns/op
OverheadActual  10: 512 op, 1866.00 ns, 3.6445 ns/op
OverheadActual  11: 512 op, 1651.00 ns, 3.2246 ns/op
OverheadActual  12: 512 op, 1604.00 ns, 3.1328 ns/op
OverheadActual  13: 512 op, 1476.00 ns, 2.8828 ns/op
OverheadActual  14: 512 op, 1663.00 ns, 3.2480 ns/op
OverheadActual  15: 512 op, 2026.00 ns, 3.9570 ns/op
OverheadActual  16: 512 op, 1714.00 ns, 3.3477 ns/op
OverheadActual  17: 512 op, 1695.00 ns, 3.3105 ns/op
OverheadActual  18: 512 op, 1558.00 ns, 3.0430 ns/op
OverheadActual  19: 512 op, 1701.00 ns, 3.3223 ns/op
OverheadActual  20: 512 op, 1442.00 ns, 2.8164 ns/op

WorkloadWarmup   1: 512 op, 716954381.00 ns, 1.4003 ms/op

// BeforeActualRun
WorkloadActual   1: 512 op, 704063372.00 ns, 1.3751 ms/op
WorkloadActual   2: 512 op, 712313439.00 ns, 1.3912 ms/op
WorkloadActual   3: 512 op, 710592147.00 ns, 1.3879 ms/op

// AfterActualRun
WorkloadResult   1: 512 op, 704061674.00 ns, 1.3751 ms/op
WorkloadResult   2: 512 op, 712311741.00 ns, 1.3912 ms/op
WorkloadResult   3: 512 op, 710590449.00 ns, 1.3879 ms/op

// AfterAll
// Benchmark Process 581614 has exited with code 0

Mean = 1.385 ms, StdErr = 0.005 ms (0.35%), N = 3, StdDev = 0.009 ms
Min = 1.375 ms, Q1 = 1.381 ms, Median = 1.388 ms, Q3 = 1.390 ms, Max = 1.391 ms
IQR = 0.008 ms, LowerFence = 1.369 ms, UpperFence = 1.402 ms
ConfidenceInterval = [1.230 ms; 1.540 ms] (CI 99.9%), Margin = 0.155 ms (11.20% of Mean)
Skewness = -0.32, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop_LinkedList: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "f03f4492-eb05-4dff-b8d5-34420fbc6e01.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop_LinkedList" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 4 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/f03f4492-eb05-4dff-b8d5-34420fbc6e01/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-SSRGTB(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 268328.00 ns, 268.3280 us/op
WorkloadJitting  1: 1 op, 5855140.00 ns, 5.8551 ms/op

OverheadJitting  2: 16 op, 264951.00 ns, 16.5594 us/op
WorkloadJitting  2: 16 op, 81931425.00 ns, 5.1207 ms/op

WorkloadPilot    1: 16 op, 80102550.00 ns, 5.0064 ms/op
WorkloadPilot    2: 32 op, 158626076.00 ns, 4.9571 ms/op
WorkloadPilot    3: 64 op, 368093312.00 ns, 5.7515 ms/op
WorkloadPilot    4: 128 op, 765188136.00 ns, 5.9780 ms/op

OverheadWarmup   1: 128 op, 4418.00 ns, 34.5156 ns/op
OverheadWarmup   2: 128 op, 619.00 ns, 4.8359 ns/op
OverheadWarmup   3: 128 op, 538.00 ns, 4.2031 ns/op
OverheadWarmup   4: 128 op, 574.00 ns, 4.4844 ns/op
OverheadWarmup   5: 128 op, 564.00 ns, 4.4062 ns/op
OverheadWarmup   6: 128 op, 570.00 ns, 4.4531 ns/op
OverheadWarmup   7: 128 op, 888.00 ns, 6.9375 ns/op
OverheadWarmup   8: 128 op, 827.00 ns, 6.4609 ns/op

OverheadActual   1: 128 op, 866.00 ns, 6.7656 ns/op
OverheadActual   2: 128 op, 813.00 ns, 6.3516 ns/op
OverheadActual   3: 128 op, 720.00 ns, 5.6250 ns/op
OverheadActual   4: 128 op, 900.00 ns, 7.0312 ns/op
OverheadActual   5: 128 op, 705.00 ns, 5.5078 ns/op
OverheadActual   6: 128 op, 689.00 ns, 5.3828 ns/op
OverheadActual   7: 128 op, 537.00 ns, 4.1953 ns/op
OverheadActual   8: 128 op, 477.00 ns, 3.7266 ns/op
OverheadActual   9: 128 op, 628.00 ns, 4.9062 ns/op
OverheadActual  10: 128 op, 526.00 ns, 4.1094 ns/op
OverheadActual  11: 128 op, 878.00 ns, 6.8594 ns/op
OverheadActual  12: 128 op, 1041.00 ns, 8.1328 ns/op
OverheadActual  13: 128 op, 904.00 ns, 7.0625 ns/op
OverheadActual  14: 128 op, 779.00 ns, 6.0859 ns/op
OverheadActual  15: 128 op, 614.00 ns, 4.7969 ns/op
OverheadActual  16: 128 op, 655.00 ns, 5.1172 ns/op
OverheadActual  17: 128 op, 582.00 ns, 4.5469 ns/op
OverheadActual  18: 128 op, 950.00 ns, 7.4219 ns/op
OverheadActual  19: 128 op, 940.00 ns, 7.3438 ns/op
OverheadActual  20: 128 op, 3968.00 ns, 31.0000 ns/op

WorkloadWarmup   1: 128 op, 745583572.00 ns, 5.8249 ms/op

// BeforeActualRun
WorkloadActual   1: 128 op, 736743660.00 ns, 5.7558 ms/op
WorkloadActual   2: 128 op, 741435576.00 ns, 5.7925 ms/op
WorkloadActual   3: 128 op, 747092552.00 ns, 5.8367 ms/op

// AfterActualRun
WorkloadResult   1: 128 op, 736742910.50 ns, 5.7558 ms/op
WorkloadResult   2: 128 op, 741434826.50 ns, 5.7925 ms/op
WorkloadResult   3: 128 op, 747091802.50 ns, 5.8367 ms/op

// AfterAll
// Benchmark Process 581630 has exited with code 0

Mean = 5.795 ms, StdErr = 0.023 ms (0.40%), N = 3, StdDev = 0.040 ms
Min = 5.756 ms, Q1 = 5.774 ms, Median = 5.792 ms, Q3 = 5.815 ms, Max = 5.837 ms
IQR = 0.040 ms, LowerFence = 5.713 ms, UpperFence = 5.875 ms
ConfidenceInterval = [5.056 ms; 6.534 ms] (CI 99.9%), Margin = 0.739 ms (12.75% of Mean)
Skewness = 0.06, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.DataLoad: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "f03f4492-eb05-4dff-b8d5-34420fbc6e01.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.DataLoad" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 5 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/f03f4492-eb05-4dff-b8d5-34420fbc6e01/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
