// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/c134fd1a-83a1-4824-8afd-d7e7c2f768f3
// command took 1.4s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/c134fd1a-83a1-4824-8afd-d7e7c2f768f3
// command took 2.29s and exited with 0
// ***** Done, took 00:00:03 (3.79 sec)   *****
// Found 4 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-UHFZLF(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-UHFZLF(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-UHFZLF(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-UHFZLF(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-UHFZLF(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "c134fd1a-83a1-4824-8afd-d7e7c2f768f3.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/c134fd1a-83a1-4824-8afd-d7e7c2f768f3/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-ZHGJUO(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadActual   8: 65536 op, 131297.00 ns, 2.0034 ns/op
OverheadActual   9: 65536 op, 128358.00 ns, 1.9586 ns/op
OverheadActual  10: 65536 op, 128492.00 ns, 1.9606 ns/op
OverheadActual  11: 65536 op, 127052.00 ns, 1.9387 ns/op
OverheadActual  12: 65536 op, 122519.00 ns, 1.8695 ns/op
OverheadActual  13: 65536 op, 123075.00 ns, 1.8780 ns/op
OverheadActual  14: 65536 op, 123356.00 ns, 1.8823 ns/op
OverheadActual  15: 65536 op, 138979.00 ns, 2.1207 ns/op
OverheadActual  16: 65536 op, 122972.00 ns, 1.8764 ns/op
OverheadActual  17: 65536 op, 122938.00 ns, 1.8759 ns/op
OverheadActual  18: 65536 op, 124399.00 ns, 1.8982 ns/op
OverheadActual  19: 65536 op, 127086.00 ns, 1.9392 ns/op

WorkloadWarmup   1: 65536 op, 512563960.00 ns, 7.8211 us/op

// BeforeActualRun
WorkloadActual   1: 65536 op, 494544639.00 ns, 7.5462 us/op
WorkloadActual   2: 65536 op, 492963363.00 ns, 7.5220 us/op
WorkloadActual   3: 65536 op, 514588672.00 ns, 7.8520 us/op

// AfterActualRun
WorkloadResult   1: 65536 op, 494417587.00 ns, 7.5442 us/op
WorkloadResult   2: 65536 op, 492836311.00 ns, 7.5201 us/op
WorkloadResult   3: 65536 op, 514461620.00 ns, 7.8501 us/op

// AfterAll
// Benchmark Process 164301 has exited with code 0

Mean = 7.638 μs, StdErr = 0.106 μs (1.39%), N = 3, StdDev = 0.184 μs
Min = 7.520 μs, Q1 = 7.532 μs, Median = 7.544 μs, Q3 = 7.697 μs, Max = 7.850 μs
IQR = 0.165 μs, LowerFence = 7.285 μs, UpperFence = 7.945 μs
ConfidenceInterval = [4.282 μs; 10.994 μs] (CI 99.9%), Margin = 3.356 μs (43.93% of Mean)
Skewness = 0.38, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.MergeJoin: Job-UHFZLF(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "c134fd1a-83a1-4824-8afd-d7e7c2f768f3.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.MergeJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/c134fd1a-83a1-4824-8afd-d7e7c2f768f3/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-GWXQJV(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 373025.00 ns, 373.0250 us/op
WorkloadJitting  1: 1 op, 1669551.00 ns, 1.6696 ms/op

OverheadJitting  2: 16 op, 279890.00 ns, 17.4931 us/op
WorkloadJitting  2: 16 op, 523415.00 ns, 32.7134 us/op

WorkloadPilot    1: 16 op, 183412.00 ns, 11.4633 us/op
WorkloadPilot    2: 32 op, 351641.00 ns, 10.9888 us/op
WorkloadPilot    3: 64 op, 810054.00 ns, 12.6571 us/op
WorkloadPilot    4: 128 op, 1960739.00 ns, 15.3183 us/op
WorkloadPilot    5: 256 op, 3868398.00 ns, 15.1109 us/op
WorkloadPilot    6: 512 op, 5825771.00 ns, 11.3785 us/op
WorkloadPilot    7: 1024 op, 12983046.00 ns, 12.6788 us/op
WorkloadPilot    8: 2048 op, 25195395.00 ns, 12.3024 us/op
WorkloadPilot    9: 4096 op, 48249746.00 ns, 11.7797 us/op
WorkloadPilot   10: 8192 op, 72044549.00 ns, 8.7945 us/op
WorkloadPilot   11: 16384 op, 90789300.00 ns, 5.5413 us/op
WorkloadPilot   12: 32768 op, 154013411.00 ns, 4.7001 us/op
WorkloadPilot   13: 65536 op, 310906987.00 ns, 4.7441 us/op
WorkloadPilot   14: 131072 op, 623489661.00 ns, 4.7568 us/op

OverheadWarmup   1: 131072 op, 299833.00 ns, 2.2875 ns/op
OverheadWarmup   2: 131072 op, 252945.00 ns, 1.9298 ns/op
OverheadWarmup   3: 131072 op, 338254.00 ns, 2.5807 ns/op
OverheadWarmup   4: 131072 op, 278551.00 ns, 2.1252 ns/op
OverheadWarmup   5: 131072 op, 401815.00 ns, 3.0656 ns/op
OverheadWarmup   6: 131072 op, 239304.00 ns, 1.8257 ns/op

OverheadActual   1: 131072 op, 293189.00 ns, 2.2369 ns/op
OverheadActual   2: 131072 op, 256579.00 ns, 1.9575 ns/op
OverheadActual   3: 131072 op, 256660.00 ns, 1.9582 ns/op
OverheadActual   4: 131072 op, 265433.00 ns, 2.0251 ns/op
OverheadActual   5: 131072 op, 265384.00 ns, 2.0247 ns/op
OverheadActual   6: 131072 op, 261882.00 ns, 1.9980 ns/op
OverheadActual   7: 131072 op, 256423.00 ns, 1.9564 ns/op
OverheadActual   8: 131072 op, 253846.00 ns, 1.9367 ns/op
OverheadActual   9: 131072 op, 253859.00 ns, 1.9368 ns/op
OverheadActual  10: 131072 op, 256569.00 ns, 1.9575 ns/op
OverheadActual  11: 131072 op, 256217.00 ns, 1.9548 ns/op
OverheadActual  12: 131072 op, 260080.00 ns, 1.9843 ns/op
OverheadActual  13: 131072 op, 267715.00 ns, 2.0425 ns/op
OverheadActual  14: 131072 op, 295528.00 ns, 2.2547 ns/op
OverheadActual  15: 131072 op, 284980.00 ns, 2.1742 ns/op

WorkloadWarmup   1: 131072 op, 621973882.00 ns, 4.7453 us/op

// BeforeActualRun
WorkloadActual   1: 131072 op, 618560343.00 ns, 4.7192 us/op
WorkloadActual   2: 131072 op, 623306419.00 ns, 4.7555 us/op
WorkloadActual   3: 131072 op, 613101697.00 ns, 4.6776 us/op

// AfterActualRun
WorkloadResult   1: 131072 op, 618300263.00 ns, 4.7173 us/op
WorkloadResult   2: 131072 op, 623046339.00 ns, 4.7535 us/op
WorkloadResult   3: 131072 op, 612841617.00 ns, 4.6756 us/op

// AfterAll
// Benchmark Process 164316 has exited with code 0

Mean = 4.715 μs, StdErr = 0.022 μs (0.48%), N = 3, StdDev = 0.039 μs
Min = 4.676 μs, Q1 = 4.696 μs, Median = 4.717 μs, Q3 = 4.735 μs, Max = 4.753 μs
IQR = 0.039 μs, LowerFence = 4.638 μs, UpperFence = 4.794 μs
ConfidenceInterval = [4.005 μs; 5.426 μs] (CI 99.9%), Margin = 0.711 μs (15.07% of Mean)
Skewness = -0.05, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-UHFZLF(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "c134fd1a-83a1-4824-8afd-d7e7c2f768f3.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 2 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/c134fd1a-83a1-4824-8afd-d7e7c2f768f3/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-RZEWWW(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 298694.00 ns, 298.6940 us/op
WorkloadJitting  1: 1 op, 807638.00 ns, 807.6380 us/op

OverheadJitting  2: 16 op, 387075.00 ns, 24.1922 us/op
WorkloadJitting  2: 16 op, 473597.00 ns, 29.5998 us/op

WorkloadPilot    1: 16 op, 37956.00 ns, 2.3723 us/op
WorkloadPilot    2: 32 op, 74620.00 ns, 2.3319 us/op
WorkloadPilot    3: 64 op, 142765.00 ns, 2.2307 us/op
WorkloadPilot    4: 128 op, 284553.00 ns, 2.2231 us/op
WorkloadPilot    5: 256 op, 550581.00 ns, 2.1507 us/op
WorkloadPilot    6: 512 op, 1110146.00 ns, 2.1683 us/op
WorkloadPilot    7: 1024 op, 2260919.00 ns, 2.2079 us/op
WorkloadPilot    8: 2048 op, 4450111.00 ns, 2.1729 us/op
WorkloadPilot    9: 4096 op, 9110489.00 ns, 2.2242 us/op
WorkloadPilot   10: 8192 op, 18425412.00 ns, 2.2492 us/op
WorkloadPilot   11: 16384 op, 37137858.00 ns, 2.2667 us/op
WorkloadPilot   12: 32768 op, 73201029.00 ns, 2.2339 us/op
WorkloadPilot   13: 65536 op, 147999855.00 ns, 2.2583 us/op
WorkloadPilot   14: 131072 op, 289526405.00 ns, 2.2089 us/op
WorkloadPilot   15: 262144 op, 593159876.00 ns, 2.2627 us/op

OverheadWarmup   1: 262144 op, 480440.00 ns, 1.8327 ns/op
OverheadWarmup   2: 262144 op, 544687.00 ns, 2.0778 ns/op
OverheadWarmup   3: 262144 op, 600442.00 ns, 2.2905 ns/op
OverheadWarmup   4: 262144 op, 606891.00 ns, 2.3151 ns/op
OverheadWarmup   5: 262144 op, 504061.00 ns, 1.9228 ns/op
OverheadWarmup   6: 262144 op, 494803.00 ns, 1.8875 ns/op
OverheadWarmup   7: 262144 op, 546813.00 ns, 2.0859 ns/op
OverheadWarmup   8: 262144 op, 488128.00 ns, 1.8621 ns/op

OverheadActual   1: 262144 op, 461067.00 ns, 1.7588 ns/op
OverheadActual   2: 262144 op, 462669.00 ns, 1.7649 ns/op
OverheadActual   3: 262144 op, 462647.00 ns, 1.7649 ns/op
OverheadActual   4: 262144 op, 533914.00 ns, 2.0367 ns/op
OverheadActual   5: 262144 op, 507234.00 ns, 1.9349 ns/op
OverheadActual   6: 262144 op, 563505.00 ns, 2.1496 ns/op
OverheadActual   7: 262144 op, 569398.00 ns, 2.1721 ns/op
OverheadActual   8: 262144 op, 566666.00 ns, 2.1617 ns/op
OverheadActual   9: 262144 op, 569017.00 ns, 2.1706 ns/op
OverheadActual  10: 262144 op, 565813.00 ns, 2.1584 ns/op
OverheadActual  11: 262144 op, 568714.00 ns, 2.1695 ns/op
OverheadActual  12: 262144 op, 549393.00 ns, 2.0958 ns/op
OverheadActual  13: 262144 op, 545649.00 ns, 2.0815 ns/op
OverheadActual  14: 262144 op, 544117.00 ns, 2.0756 ns/op
OverheadActual  15: 262144 op, 530085.00 ns, 2.0221 ns/op
OverheadActual  16: 262144 op, 518270.00 ns, 1.9770 ns/op
OverheadActual  17: 262144 op, 512964.00 ns, 1.9568 ns/op
OverheadActual  18: 262144 op, 512047.00 ns, 1.9533 ns/op
OverheadActual  19: 262144 op, 579733.00 ns, 2.2115 ns/op
OverheadActual  20: 262144 op, 591540.00 ns, 2.2565 ns/op

WorkloadWarmup   1: 262144 op, 586277213.00 ns, 2.2365 us/op

// BeforeActualRun
WorkloadActual   1: 262144 op, 577088932.00 ns, 2.2014 us/op
WorkloadActual   2: 262144 op, 578829126.00 ns, 2.2081 us/op
WorkloadActual   3: 262144 op, 577565689.00 ns, 2.2032 us/op

// AfterActualRun
WorkloadResult   1: 262144 op, 576544049.00 ns, 2.1993 us/op
WorkloadResult   2: 262144 op, 578284243.00 ns, 2.2060 us/op
WorkloadResult   3: 262144 op, 577020806.00 ns, 2.2012 us/op

// AfterAll
// Benchmark Process 164335 has exited with code 0

Mean = 2.202 μs, StdErr = 0.002 μs (0.09%), N = 3, StdDev = 0.003 μs
Min = 2.199 μs, Q1 = 2.200 μs, Median = 2.201 μs, Q3 = 2.204 μs, Max = 2.206 μs
IQR = 0.003 μs, LowerFence = 2.195 μs, UpperFence = 2.209 μs
ConfidenceInterval = [2.140 μs; 2.265 μs] (CI 99.9%), Margin = 0.063 μs (2.84% of Mean)
Skewness = 0.27, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.DataLoad: Job-UHFZLF(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "c134fd1a-83a1-4824-8afd-d7e7c2f768f3.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.DataLoad" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 3 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/c134fd1a-83a1-4824-8afd-d7e7c2f768f3/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-PXNUNS(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 224758.00 ns, 224.7580 us/op
WorkloadJitting  1: 1 op, 2115288.00 ns, 2.1153 ms/op

OverheadJitting  2: 16 op, 225022.00 ns, 14.0639 us/op
WorkloadJitting  2: 16 op, 21223299.00 ns, 1.3265 ms/op

WorkloadPilot    1: 16 op, 17221644.00 ns, 1.0764 ms/op
WorkloadPilot    2: 32 op, 34429157.00 ns, 1.0759 ms/op
WorkloadPilot    3: 64 op, 71853448.00 ns, 1.1227 ms/op
WorkloadPilot    4: 128 op, 139469112.00 ns, 1.0896 ms/op
WorkloadPilot    5: 256 op, 177591192.00 ns, 693.7156 us/op
WorkloadPilot    6: 512 op, 283985672.00 ns, 554.6595 us/op
WorkloadPilot    7: 1024 op, 460800483.00 ns, 450.0005 us/op
WorkloadPilot    8: 2048 op, 1201537050.00 ns, 586.6880 us/op

OverheadWarmup   1: 2048 op, 7242.00 ns, 3.5361 ns/op
OverheadWarmup   2: 2048 op, 3952.00 ns, 1.9297 ns/op
OverheadWarmup   3: 2048 op, 3932.00 ns, 1.9199 ns/op
OverheadWarmup   4: 2048 op, 4024.00 ns, 1.9648 ns/op
OverheadWarmup   5: 2048 op, 4193.00 ns, 2.0474 ns/op
OverheadWarmup   6: 2048 op, 3874.00 ns, 1.8916 ns/op
OverheadWarmup   7: 2048 op, 3835.00 ns, 1.8726 ns/op
OverheadWarmup   8: 2048 op, 3885.00 ns, 1.8970 ns/op
OverheadWarmup   9: 2048 op, 3780.00 ns, 1.8457 ns/op

OverheadActual   1: 2048 op, 4101.00 ns, 2.0024 ns/op
OverheadActual   2: 2048 op, 4549.00 ns, 2.2212 ns/op
OverheadActual   3: 2048 op, 3973.00 ns, 1.9399 ns/op
OverheadActual   4: 2048 op, 4114.00 ns, 2.0088 ns/op
OverheadActual   5: 2048 op, 4251.00 ns, 2.0757 ns/op
OverheadActual   6: 2048 op, 4470.00 ns, 2.1826 ns/op
OverheadActual   7: 2048 op, 4281.00 ns, 2.0903 ns/op
OverheadActual   8: 2048 op, 4289.00 ns, 2.0942 ns/op
OverheadActual   9: 2048 op, 4282.00 ns, 2.0908 ns/op
OverheadActual  10: 2048 op, 4241.00 ns, 2.0708 ns/op
OverheadActual  11: 2048 op, 4518.00 ns, 2.2061 ns/op
OverheadActual  12: 2048 op, 4191.00 ns, 2.0464 ns/op
OverheadActual  13: 2048 op, 4208.00 ns, 2.0547 ns/op
OverheadActual  14: 2048 op, 4266.00 ns, 2.0830 ns/op
OverheadActual  15: 2048 op, 4121.00 ns, 2.0122 ns/op

WorkloadWarmup   1: 2048 op, 1041057125.00 ns, 508.3287 us/op

// BeforeActualRun
WorkloadActual   1: 2048 op, 1257487142.00 ns, 614.0074 us/op
WorkloadActual   2: 2048 op, 1121163773.00 ns, 547.4432 us/op
WorkloadActual   3: 2048 op, 974665751.00 ns, 475.9110 us/op

// AfterActualRun
WorkloadResult   1: 2048 op, 1257482891.00 ns, 614.0053 us/op
WorkloadResult   2: 2048 op, 1121159522.00 ns, 547.4412 us/op
WorkloadResult   3: 2048 op, 974661500.00 ns, 475.9089 us/op

// AfterAll
// Benchmark Process 164349 has exited with code 0

Mean = 545.785 μs, StdErr = 39.874 μs (7.31%), N = 3, StdDev = 69.063 μs
Min = 475.909 μs, Q1 = 511.675 μs, Median = 547.441 μs, Q3 = 580.723 μs, Max = 614.005 μs
IQR = 69.048 μs, LowerFence = 408.103 μs, UpperFence = 684.296 μs
ConfidenceInterval = [-714.183 μs; 1,805.753 μs] (CI 99.9%), Margin = 1,259.968 μs (230.85% of Mean)
Skewness = -0.02, Kurtosis = 0.67, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.csv
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report-github.md
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.html

// * Detailed results *
GetMostActiveVisistors.LinqJoin: Job-UHFZLF(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 7.638 μs, StdErr = 0.106 μs (1.39%), N = 3, StdDev = 0.184 μs
Min = 7.520 μs, Q1 = 7.532 μs, Median = 7.544 μs, Q3 = 7.697 μs, Max = 7.850 μs
IQR = 0.165 μs, LowerFence = 7.285 μs, UpperFence = 7.945 μs
ConfidenceInterval = [4.282 μs; 10.994 μs] (CI 99.9%), Margin = 3.356 μs (43.93% of Mean)
Skewness = 0.38, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[7.518 μs ; 7.852 μs) | @@@
---------------------------------------------------

GetMostActiveVisistors.MergeJoin: Job-UHFZLF(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 4.715 μs, StdErr = 0.022 μs (0.48%), N = 3, StdDev = 0.039 μs
Min = 4.676 μs, Q1 = 4.696 μs, Median = 4.717 μs, Q3 = 4.735 μs, Max = 4.753 μs
IQR = 0.039 μs, LowerFence = 4.638 μs, UpperFence = 4.794 μs
ConfidenceInterval = [4.005 μs; 5.426 μs] (CI 99.9%), Margin = 0.711 μs (15.07% of Mean)
Skewness = -0.05, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[4.640 μs ; 4.789 μs) | @@@
---------------------------------------------------

GetMostActiveVisistors.NestedLoop: Job-UHFZLF(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 2.202 μs, StdErr = 0.002 μs (0.09%), N = 3, StdDev = 0.003 μs
Min = 2.199 μs, Q1 = 2.200 μs, Median = 2.201 μs, Q3 = 2.204 μs, Max = 2.206 μs
IQR = 0.003 μs, LowerFence = 2.195 μs, UpperFence = 2.209 μs
ConfidenceInterval = [2.140 μs; 2.265 μs] (CI 99.9%), Margin = 0.063 μs (2.84% of Mean)
Skewness = 0.27, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[2.196 μs ; 2.209 μs) | @@@
---------------------------------------------------

GetMostActiveVisistors.DataLoad: Job-UHFZLF(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 545.785 μs, StdErr = 39.874 μs (7.31%), N = 3, StdDev = 69.063 μs
Min = 475.909 μs, Q1 = 511.675 μs, Median = 547.441 μs, Q3 = 580.723 μs, Max = 614.005 μs
IQR = 69.048 μs, LowerFence = 408.103 μs, UpperFence = 684.296 μs
ConfidenceInterval = [-714.183 μs; 1,805.753 μs] (CI 99.9%), Margin = 1,259.968 μs (230.85% of Mean)
Skewness = -0.02, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[413.059 μs ; 517.873 μs) | @
[517.873 μs ; 643.573 μs) | @@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.12.1, OS=ubuntu 20.04
Intel Core i5-6500 CPU 3.20GHz (Skylake), 1 CPU, 4 logical and 4 physical cores
.NET Core SDK=3.1.403
  [Host]     : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
  Job-UHFZLF : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT

IterationCount=3  LaunchCount=1  WarmupCount=1  

|     Method |       Mean |         Error |     StdDev |
|----------- |-----------:|--------------:|-----------:|
|   LinqJoin |   7.638 μs |     3.3558 μs |  0.1839 μs |
|  MergeJoin |   4.715 μs |     0.7108 μs |  0.0390 μs |
| NestedLoop |   2.202 μs |     0.0626 μs |  0.0034 μs |
|   DataLoad | 545.785 μs | 1,259.9677 μs | 69.0631 μs |

