// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/e3b7556d-df1d-4977-89e3-748e45cdbde9
// command took 1.49s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/e3b7556d-df1d-4977-89e3-748e45cdbde9
// command took 2.26s and exited with 0
// ***** Done, took 00:00:03 (3.85 sec)   *****
// Found 3 benchmarks:
//   GetMostActiveVisistors.MergeJoin: Job-NZKPSJ(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-NZKPSJ(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-NZKPSJ(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.MergeJoin: Job-NZKPSJ(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "e3b7556d-df1d-4977-89e3-748e45cdbde9.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.MergeJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/e3b7556d-df1d-4977-89e3-748e45cdbde9/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-SENAFN(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadWarmup   7: 32 op, 869.00 ns, 27.1562 ns/op
OverheadWarmup   8: 32 op, 980.00 ns, 30.6250 ns/op
OverheadWarmup   9: 32 op, 692.00 ns, 21.6250 ns/op

OverheadActual   1: 32 op, 873.00 ns, 27.2812 ns/op
OverheadActual   2: 32 op, 768.00 ns, 24.0000 ns/op
OverheadActual   3: 32 op, 779.00 ns, 24.3438 ns/op
OverheadActual   4: 32 op, 734.00 ns, 22.9375 ns/op
OverheadActual   5: 32 op, 841.00 ns, 26.2812 ns/op
OverheadActual   6: 32 op, 719.00 ns, 22.4688 ns/op
OverheadActual   7: 32 op, 689.00 ns, 21.5312 ns/op
OverheadActual   8: 32 op, 590.00 ns, 18.4375 ns/op
OverheadActual   9: 32 op, 718.00 ns, 22.4375 ns/op
OverheadActual  10: 32 op, 680.00 ns, 21.2500 ns/op
OverheadActual  11: 32 op, 817.00 ns, 25.5312 ns/op
OverheadActual  12: 32 op, 633.00 ns, 19.7812 ns/op
OverheadActual  13: 32 op, 2268.00 ns, 70.8750 ns/op
OverheadActual  14: 32 op, 719.00 ns, 22.4688 ns/op
OverheadActual  15: 32 op, 873.00 ns, 27.2812 ns/op
OverheadActual  16: 32 op, 2927.00 ns, 91.4688 ns/op
OverheadActual  17: 32 op, 874.00 ns, 27.3125 ns/op
OverheadActual  18: 32 op, 987.00 ns, 30.8438 ns/op
OverheadActual  19: 32 op, 956.00 ns, 29.8750 ns/op
OverheadActual  20: 32 op, 734.00 ns, 22.9375 ns/op

WorkloadWarmup   1: 32 op, 622046435.00 ns, 19.4390 ms/op

// BeforeActualRun
WorkloadActual   1: 32 op, 646378589.00 ns, 20.1993 ms/op
WorkloadActual   2: 32 op, 634269923.00 ns, 19.8209 ms/op
WorkloadActual   3: 32 op, 616169888.00 ns, 19.2553 ms/op

// AfterActualRun
WorkloadResult   1: 32 op, 646377815.50 ns, 20.1993 ms/op
WorkloadResult   2: 32 op, 634269149.50 ns, 19.8209 ms/op
WorkloadResult   3: 32 op, 616169114.50 ns, 19.2553 ms/op

// AfterAll
// Benchmark Process 508602 has exited with code 0

Mean = 19.759 ms, StdErr = 0.274 ms (1.39%), N = 3, StdDev = 0.475 ms
Min = 19.255 ms, Q1 = 19.538 ms, Median = 19.821 ms, Q3 = 20.010 ms, Max = 20.199 ms
IQR = 0.472 ms, LowerFence = 18.830 ms, UpperFence = 20.718 ms
ConfidenceInterval = [11.091 ms; 28.426 ms] (CI 99.9%), Margin = 8.668 ms (43.87% of Mean)
Skewness = -0.13, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.DataLoad: Job-NZKPSJ(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "e3b7556d-df1d-4977-89e3-748e45cdbde9.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.DataLoad" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 2 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/e3b7556d-df1d-4977-89e3-748e45cdbde9/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-GOXVSV(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 235359.00 ns, 235.3590 us/op
WorkloadJitting  1: 1 op, 66175911.00 ns, 66.1759 ms/op

WorkloadPilot    1: 2 op, 136172999.00 ns, 68.0865 ms/op
WorkloadPilot    2: 3 op, 166550606.00 ns, 55.5169 ms/op
WorkloadPilot    3: 4 op, 81030948.00 ns, 20.2577 ms/op
WorkloadPilot    4: 5 op, 142810870.00 ns, 28.5622 ms/op
WorkloadPilot    5: 6 op, 124697939.00 ns, 20.7830 ms/op
WorkloadPilot    6: 7 op, 132958868.00 ns, 18.9941 ms/op
WorkloadPilot    7: 8 op, 156106165.00 ns, 19.5133 ms/op
WorkloadPilot    8: 9 op, 166939122.00 ns, 18.5488 ms/op
WorkloadPilot    9: 10 op, 186094625.00 ns, 18.6095 ms/op
WorkloadPilot   10: 11 op, 249480531.00 ns, 22.6800 ms/op
WorkloadPilot   11: 12 op, 230865040.00 ns, 19.2388 ms/op
WorkloadPilot   12: 13 op, 244711424.00 ns, 18.8240 ms/op
WorkloadPilot   13: 14 op, 264592670.00 ns, 18.8995 ms/op
WorkloadPilot   14: 15 op, 301381892.00 ns, 20.0921 ms/op
WorkloadPilot   15: 16 op, 310491698.00 ns, 19.4057 ms/op
WorkloadPilot   16: 32 op, 625290435.00 ns, 19.5403 ms/op

WorkloadWarmup   1: 32 op, 601972045.00 ns, 18.8116 ms/op

// BeforeActualRun
WorkloadActual   1: 32 op, 630898930.00 ns, 19.7156 ms/op
WorkloadActual   2: 32 op, 644687860.00 ns, 20.1465 ms/op
WorkloadActual   3: 32 op, 596940147.00 ns, 18.6544 ms/op

// AfterActualRun
WorkloadResult   1: 32 op, 630898930.00 ns, 19.7156 ms/op
WorkloadResult   2: 32 op, 644687860.00 ns, 20.1465 ms/op
WorkloadResult   3: 32 op, 596940147.00 ns, 18.6544 ms/op

// AfterAll
// Benchmark Process 508619 has exited with code 0

Mean = 19.505 ms, StdErr = 0.443 ms (2.27%), N = 3, StdDev = 0.768 ms
Min = 18.654 ms, Q1 = 19.185 ms, Median = 19.716 ms, Q3 = 19.931 ms, Max = 20.146 ms
IQR = 0.746 ms, LowerFence = 18.066 ms, UpperFence = 21.050 ms
ConfidenceInterval = [5.496 ms; 33.515 ms] (CI 99.9%), Margin = 14.010 ms (71.83% of Mean)
Skewness = -0.25, Kurtosis = 0.67, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.csv
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report-github.md
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.html

// * Detailed results *
GetMostActiveVisistors.MergeJoin: Job-NZKPSJ(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 1.292 ms, StdErr = 0.037 ms (2.90%), N = 3, StdDev = 0.065 ms
Min = 1.233 ms, Q1 = 1.258 ms, Median = 1.282 ms, Q3 = 1.322 ms, Max = 1.362 ms
IQR = 0.064 ms, LowerFence = 1.161 ms, UpperFence = 1.418 ms
ConfidenceInterval = [0.109 ms; 2.476 ms] (CI 99.9%), Margin = 1.184 ms (91.60% of Mean)
Skewness = 0.15, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[1.199 ms ; 1.317 ms) | @@
[1.317 ms ; 1.421 ms) | @
---------------------------------------------------

GetMostActiveVisistors.NestedLoop: Job-NZKPSJ(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 19.759 ms, StdErr = 0.274 ms (1.39%), N = 3, StdDev = 0.475 ms
Min = 19.255 ms, Q1 = 19.538 ms, Median = 19.821 ms, Q3 = 20.010 ms, Max = 20.199 ms
IQR = 0.472 ms, LowerFence = 18.830 ms, UpperFence = 20.718 ms
ConfidenceInterval = [11.091 ms; 28.426 ms] (CI 99.9%), Margin = 8.668 ms (43.87% of Mean)
Skewness = -0.13, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[18.823 ms ; 19.578 ms) | @
[19.578 ms ; 20.442 ms) | @@
---------------------------------------------------

GetMostActiveVisistors.DataLoad: Job-NZKPSJ(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 19.505 ms, StdErr = 0.443 ms (2.27%), N = 3, StdDev = 0.768 ms
Min = 18.654 ms, Q1 = 19.185 ms, Median = 19.716 ms, Q3 = 19.931 ms, Max = 20.146 ms
IQR = 0.746 ms, LowerFence = 18.066 ms, UpperFence = 21.050 ms
ConfidenceInterval = [5.496 ms; 33.515 ms] (CI 99.9%), Margin = 14.010 ms (71.83% of Mean)
Skewness = -0.25, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[17.956 ms ; 19.232 ms) | @
[19.232 ms ; 20.845 ms) | @@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.12.1, OS=ubuntu 20.04
Intel Core i5-6500 CPU 3.20GHz (Skylake), 1 CPU, 4 logical and 4 physical cores
.NET Core SDK=3.1.403
  [Host]     : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
  Job-NZKPSJ : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT

IterationCount=3  LaunchCount=1  WarmupCount=1  

|     Method |      Mean |     Error |    StdDev |
|----------- |----------:|----------:|----------:|
|  MergeJoin |  1.292 ms |  1.184 ms | 0.0649 ms |
| NestedLoop | 19.759 ms |  8.668 ms | 0.4751 ms |
|   DataLoad | 19.505 ms | 14.010 ms | 0.7679 ms |

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 ms   : 1 Millisecond (0.001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:17 (17.47 sec), executed benchmarks: 3

Global total time: 00:00:21 (21.32 sec), executed benchmarks: 3
// * Artifacts cleanup *
