// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/cedc6b98-4458-4ea7-914f-fc4a9b4f8cba
// command took 1.34s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/cedc6b98-4458-4ea7-914f-fc4a9b4f8cba
// command took 2.06s and exited with 0
// ***** Done, took 00:00:03 (3.5 sec)   *****
// Found 3 benchmarks:
//   GetMostActiveVisistors.NestedLoop: Job-CXYBUG(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop1: Job-CXYBUG(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop2: Job-CXYBUG(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-CXYBUG(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "cedc6b98-4458-4ea7-914f-fc4a9b4f8cba.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/cedc6b98-4458-4ea7-914f-fc4a9b4f8cba/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-UEWWZL(IterationCount=3, LaunchCount=1, WarmupCount=1)

WorkloadActual   2: 4194304 op, 726295173.00 ns, 173.1623 ns/op
WorkloadActual   3: 4194304 op, 731721591.00 ns, 174.4560 ns/op

// AfterActualRun
WorkloadResult   1: 4194304 op, 725681402.00 ns, 173.0159 ns/op
WorkloadResult   2: 4194304 op, 718654988.00 ns, 171.3407 ns/op
WorkloadResult   3: 4194304 op, 724081406.00 ns, 172.6345 ns/op

// AfterAll
// Benchmark Process 18425 has exited with code 0

Mean = 172.330 ns, StdErr = 0.507 ns (0.29%), N = 3, StdDev = 0.878 ns
Min = 171.341 ns, Q1 = 171.988 ns, Median = 172.634 ns, Q3 = 172.825 ns, Max = 173.016 ns
IQR = 0.838 ns, LowerFence = 170.731 ns, UpperFence = 174.082 ns
ConfidenceInterval = [156.312 ns; 188.349 ns] (CI 99.9%), Margin = 16.019 ns (9.30% of Mean)
Skewness = -0.3, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop1: Job-CXYBUG(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "cedc6b98-4458-4ea7-914f-fc4a9b4f8cba.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop1" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/cedc6b98-4458-4ea7-914f-fc4a9b4f8cba/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-FJZQIS(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 279548.00 ns, 279.5480 us/op
WorkloadJitting  1: 1 op, 1463302.00 ns, 1.4633 ms/op

OverheadJitting  2: 16 op, 253325.00 ns, 15.8328 us/op
WorkloadJitting  2: 16 op, 311582.00 ns, 19.4739 us/op

WorkloadPilot    1: 16 op, 3124.00 ns, 195.2500 ns/op
WorkloadPilot    2: 32 op, 2060.00 ns, 64.3750 ns/op
WorkloadPilot    3: 64 op, 2866.00 ns, 44.7812 ns/op
WorkloadPilot    4: 128 op, 4671.00 ns, 36.4922 ns/op
WorkloadPilot    5: 256 op, 8627.00 ns, 33.6992 ns/op
WorkloadPilot    6: 512 op, 16055.00 ns, 31.3574 ns/op
WorkloadPilot    7: 1024 op, 31439.00 ns, 30.7021 ns/op
WorkloadPilot    8: 2048 op, 60116.00 ns, 29.3535 ns/op
WorkloadPilot    9: 4096 op, 122772.00 ns, 29.9736 ns/op
WorkloadPilot   10: 8192 op, 316730.00 ns, 38.6633 ns/op
WorkloadPilot   11: 16384 op, 489658.00 ns, 29.8864 ns/op
WorkloadPilot   12: 32768 op, 1090014.00 ns, 33.2646 ns/op
WorkloadPilot   13: 65536 op, 2171957.00 ns, 33.1414 ns/op
WorkloadPilot   14: 131072 op, 4327334.00 ns, 33.0149 ns/op
WorkloadPilot   15: 262144 op, 8089770.00 ns, 30.8600 ns/op
WorkloadPilot   16: 524288 op, 16820007.00 ns, 32.0816 ns/op
WorkloadPilot   17: 1048576 op, 34619204.00 ns, 33.0154 ns/op
WorkloadPilot   18: 2097152 op, 66099710.00 ns, 31.5188 ns/op
WorkloadPilot   19: 4194304 op, 110018975.00 ns, 26.2306 ns/op
WorkloadPilot   20: 8388608 op, 213372441.00 ns, 25.4360 ns/op
WorkloadPilot   21: 16777216 op, 429122838.00 ns, 25.5777 ns/op
WorkloadPilot   22: 33554432 op, 859079087.00 ns, 25.6026 ns/op

OverheadWarmup   1: 33554432 op, 59735182.00 ns, 1.7802 ns/op
OverheadWarmup   2: 33554432 op, 62463576.00 ns, 1.8616 ns/op
OverheadWarmup   3: 33554432 op, 59435678.00 ns, 1.7713 ns/op
OverheadWarmup   4: 33554432 op, 59681366.00 ns, 1.7786 ns/op
OverheadWarmup   5: 33554432 op, 63621737.00 ns, 1.8961 ns/op
OverheadWarmup   6: 33554432 op, 60803989.00 ns, 1.8121 ns/op

OverheadActual   1: 33554432 op, 59618057.00 ns, 1.7768 ns/op
OverheadActual   2: 33554432 op, 60448618.00 ns, 1.8015 ns/op
OverheadActual   3: 33554432 op, 59124100.00 ns, 1.7620 ns/op
OverheadActual   4: 33554432 op, 60377758.00 ns, 1.7994 ns/op
OverheadActual   5: 33554432 op, 59254733.00 ns, 1.7659 ns/op
OverheadActual   6: 33554432 op, 60287685.00 ns, 1.7967 ns/op
OverheadActual   7: 33554432 op, 60625756.00 ns, 1.8068 ns/op
OverheadActual   8: 33554432 op, 60657765.00 ns, 1.8077 ns/op
OverheadActual   9: 33554432 op, 61058524.00 ns, 1.8197 ns/op
OverheadActual  10: 33554432 op, 61338918.00 ns, 1.8280 ns/op
OverheadActual  11: 33554432 op, 61417996.00 ns, 1.8304 ns/op
OverheadActual  12: 33554432 op, 62814821.00 ns, 1.8720 ns/op
OverheadActual  13: 33554432 op, 60659657.00 ns, 1.8078 ns/op
OverheadActual  14: 33554432 op, 62311744.00 ns, 1.8570 ns/op
OverheadActual  15: 33554432 op, 67582739.00 ns, 2.0141 ns/op

WorkloadWarmup   1: 33554432 op, 886718654.00 ns, 26.4263 ns/op

// BeforeActualRun
WorkloadActual   1: 33554432 op, 869278944.00 ns, 25.9065 ns/op
WorkloadActual   2: 33554432 op, 865245358.00 ns, 25.7863 ns/op
WorkloadActual   3: 33554432 op, 863745851.00 ns, 25.7416 ns/op

// AfterActualRun
WorkloadResult   1: 33554432 op, 808621179.00 ns, 24.0988 ns/op
WorkloadResult   2: 33554432 op, 804587593.00 ns, 23.9786 ns/op
WorkloadResult   3: 33554432 op, 803088086.00 ns, 23.9339 ns/op

// AfterAll
// Benchmark Process 18442 has exited with code 0

Mean = 24.004 ns, StdErr = 0.049 ns (0.21%), N = 3, StdDev = 0.085 ns
Min = 23.934 ns, Q1 = 23.956 ns, Median = 23.979 ns, Q3 = 24.039 ns, Max = 24.099 ns
IQR = 0.082 ns, LowerFence = 23.833 ns, UpperFence = 24.162 ns
ConfidenceInterval = [22.448 ns; 25.560 ns] (CI 99.9%), Margin = 1.556 ns (6.48% of Mean)
Skewness = 0.27, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop2: Job-CXYBUG(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "cedc6b98-4458-4ea7-914f-fc4a9b4f8cba.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop2" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 2 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/cedc6b98-4458-4ea7-914f-fc4a9b4f8cba/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-TJJMYP(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 283390.00 ns, 283.3900 us/op
WorkloadJitting  1: 1 op, 2057940.00 ns, 2.0579 ms/op

OverheadJitting  2: 16 op, 270450.00 ns, 16.9031 us/op
WorkloadJitting  2: 16 op, 382327.00 ns, 23.8954 us/op

WorkloadPilot    1: 16 op, 13252.00 ns, 828.2500 ns/op
WorkloadPilot    2: 32 op, 13873.00 ns, 433.5312 ns/op
WorkloadPilot    3: 64 op, 22700.00 ns, 354.6875 ns/op
WorkloadPilot    4: 128 op, 42217.00 ns, 329.8203 ns/op
WorkloadPilot    5: 256 op, 78942.00 ns, 308.3672 ns/op
WorkloadPilot    6: 512 op, 160019.00 ns, 312.5371 ns/op
WorkloadPilot    7: 1024 op, 341798.00 ns, 333.7871 ns/op
WorkloadPilot    8: 2048 op, 681239.00 ns, 332.6362 ns/op
WorkloadPilot    9: 4096 op, 1396575.00 ns, 340.9607 ns/op
WorkloadPilot   10: 8192 op, 2698375.00 ns, 329.3915 ns/op
WorkloadPilot   11: 16384 op, 5859982.00 ns, 357.6649 ns/op
WorkloadPilot   12: 32768 op, 10034608.00 ns, 306.2319 ns/op
WorkloadPilot   13: 65536 op, 21148428.00 ns, 322.6994 ns/op
WorkloadPilot   14: 131072 op, 41974373.00 ns, 320.2391 ns/op
WorkloadPilot   15: 262144 op, 75300246.00 ns, 287.2476 ns/op
WorkloadPilot   16: 524288 op, 82725897.00 ns, 157.7871 ns/op
WorkloadPilot   17: 1048576 op, 164294349.00 ns, 156.6833 ns/op
WorkloadPilot   18: 2097152 op, 318972449.00 ns, 152.0979 ns/op
WorkloadPilot   19: 4194304 op, 655249799.00 ns, 156.2237 ns/op

OverheadWarmup   1: 4194304 op, 7831901.00 ns, 1.8673 ns/op
OverheadWarmup   2: 4194304 op, 7512741.00 ns, 1.7912 ns/op
OverheadWarmup   3: 4194304 op, 7575806.00 ns, 1.8062 ns/op
OverheadWarmup   4: 4194304 op, 7667520.00 ns, 1.8281 ns/op
OverheadWarmup   5: 4194304 op, 7668684.00 ns, 1.8284 ns/op
OverheadWarmup   6: 4194304 op, 7784320.00 ns, 1.8559 ns/op
OverheadWarmup   7: 4194304 op, 7461509.00 ns, 1.7790 ns/op
OverheadWarmup   8: 4194304 op, 7189255.00 ns, 1.7141 ns/op
OverheadWarmup   9: 4194304 op, 7723173.00 ns, 1.8413 ns/op
OverheadWarmup  10: 4194304 op, 7715239.00 ns, 1.8395 ns/op

OverheadActual   1: 4194304 op, 7677163.00 ns, 1.8304 ns/op
OverheadActual   2: 4194304 op, 7141142.00 ns, 1.7026 ns/op
OverheadActual   3: 4194304 op, 7739122.00 ns, 1.8452 ns/op
OverheadActual   4: 4194304 op, 7317229.00 ns, 1.7446 ns/op
OverheadActual   5: 4194304 op, 7292072.00 ns, 1.7386 ns/op
OverheadActual   6: 4194304 op, 7383227.00 ns, 1.7603 ns/op
OverheadActual   7: 4194304 op, 8003420.00 ns, 1.9082 ns/op
OverheadActual   8: 4194304 op, 7242035.00 ns, 1.7266 ns/op
OverheadActual   9: 4194304 op, 7618301.00 ns, 1.8163 ns/op
OverheadActual  10: 4194304 op, 7169465.00 ns, 1.7093 ns/op
OverheadActual  11: 4194304 op, 7545591.00 ns, 1.7990 ns/op
OverheadActual  12: 4194304 op, 8046568.00 ns, 1.9185 ns/op
OverheadActual  13: 4194304 op, 7332399.00 ns, 1.7482 ns/op
OverheadActual  14: 4194304 op, 7477398.00 ns, 1.7828 ns/op
OverheadActual  15: 4194304 op, 7081814.00 ns, 1.6884 ns/op

WorkloadWarmup   1: 4194304 op, 622789623.00 ns, 148.4846 ns/op

// BeforeActualRun
WorkloadActual   1: 4194304 op, 630909360.00 ns, 150.4205 ns/op
WorkloadActual   2: 4194304 op, 632939413.00 ns, 150.9045 ns/op
WorkloadActual   3: 4194304 op, 632201083.00 ns, 150.7285 ns/op

// AfterActualRun
WorkloadResult   1: 4194304 op, 623526133.00 ns, 148.6602 ns/op
WorkloadResult   2: 4194304 op, 625556186.00 ns, 149.1442 ns/op
WorkloadResult   3: 4194304 op, 624817856.00 ns, 148.9682 ns/op

// AfterAll
// Benchmark Process 18460 has exited with code 0

Mean = 148.924 ns, StdErr = 0.141 ns (0.09%), N = 3, StdDev = 0.245 ns
Min = 148.660 ns, Q1 = 148.814 ns, Median = 148.968 ns, Q3 = 149.056 ns, Max = 149.144 ns
IQR = 0.242 ns, LowerFence = 148.451 ns, UpperFence = 149.419 ns
ConfidenceInterval = [144.455 ns; 153.394 ns] (CI 99.9%), Margin = 4.469 ns (3.00% of Mean)
Skewness = -0.17, Kurtosis = 0.67, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.csv
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report-github.md
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.html

// * Detailed results *
GetMostActiveVisistors.NestedLoop: Job-CXYBUG(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 172.330 ns, StdErr = 0.507 ns (0.29%), N = 3, StdDev = 0.878 ns
Min = 171.341 ns, Q1 = 171.988 ns, Median = 172.634 ns, Q3 = 172.825 ns, Max = 173.016 ns
IQR = 0.838 ns, LowerFence = 170.731 ns, UpperFence = 174.082 ns
ConfidenceInterval = [156.312 ns; 188.349 ns] (CI 99.9%), Margin = 16.019 ns (9.30% of Mean)
Skewness = -0.3, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[170.542 ns ; 173.815 ns) | @@@
---------------------------------------------------

GetMostActiveVisistors.NestedLoop1: Job-CXYBUG(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 24.004 ns, StdErr = 0.049 ns (0.21%), N = 3, StdDev = 0.085 ns
Min = 23.934 ns, Q1 = 23.956 ns, Median = 23.979 ns, Q3 = 24.039 ns, Max = 24.099 ns
IQR = 0.082 ns, LowerFence = 23.833 ns, UpperFence = 24.162 ns
ConfidenceInterval = [22.448 ns; 25.560 ns] (CI 99.9%), Margin = 1.556 ns (6.48% of Mean)
Skewness = 0.27, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[23.856 ns ; 24.177 ns) | @@@
---------------------------------------------------

GetMostActiveVisistors.NestedLoop2: Job-CXYBUG(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 148.924 ns, StdErr = 0.141 ns (0.09%), N = 3, StdDev = 0.245 ns
Min = 148.660 ns, Q1 = 148.814 ns, Median = 148.968 ns, Q3 = 149.056 ns, Max = 149.144 ns
IQR = 0.242 ns, LowerFence = 148.451 ns, UpperFence = 149.419 ns
ConfidenceInterval = [144.455 ns; 153.394 ns] (CI 99.9%), Margin = 4.469 ns (3.00% of Mean)
Skewness = -0.17, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[148.437 ns ; 149.367 ns) | @@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.12.1, OS=ubuntu 20.04
Intel Core i5-6500 CPU 3.20GHz (Skylake), 1 CPU, 4 logical and 4 physical cores
.NET Core SDK=3.1.403
  [Host]     : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
  Job-CXYBUG : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT

IterationCount=3  LaunchCount=1  WarmupCount=1  

|      Method |      Mean |     Error |   StdDev |
|------------ |----------:|----------:|---------:|
|  NestedLoop | 172.33 ns | 16.019 ns | 0.878 ns |
| NestedLoop1 |  24.00 ns |  1.556 ns | 0.085 ns |
| NestedLoop2 | 148.92 ns |  4.469 ns | 0.245 ns |

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 ns   : 1 Nanosecond (0.000000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:16 (16.26 sec), executed benchmarks: 3

Global total time: 00:00:19 (19.76 sec), executed benchmarks: 3
// * Artifacts cleanup *
