// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/81939e2b-21c6-4dcb-8bc3-459e0f4bef1e
// command took 1.41s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/81939e2b-21c6-4dcb-8bc3-459e0f4bef1e
// command took 2.28s and exited with 0
// ***** Done, took 00:00:03 (3.8 sec)   *****
// Found 4 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-SSRTDY(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-SSRTDY(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-SSRTDY(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-SSRTDY(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-SSRTDY(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "81939e2b-21c6-4dcb-8bc3-459e0f4bef1e.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/81939e2b-21c6-4dcb-8bc3-459e0f4bef1e/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-TSKFZC(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadActual   9: 4096 op, 9562.00 ns, 2.3345 ns/op
OverheadActual  10: 4096 op, 9734.00 ns, 2.3765 ns/op
OverheadActual  11: 4096 op, 10809.00 ns, 2.6389 ns/op
OverheadActual  12: 4096 op, 9725.00 ns, 2.3743 ns/op
OverheadActual  13: 4096 op, 9764.00 ns, 2.3838 ns/op
OverheadActual  14: 4096 op, 9763.00 ns, 2.3835 ns/op
OverheadActual  15: 4096 op, 9986.00 ns, 2.4380 ns/op

WorkloadWarmup   1: 4096 op, 938840596.00 ns, 229.2091 us/op

// BeforeActualRun
WorkloadActual   1: 4096 op, 776953952.00 ns, 189.6860 us/op
WorkloadActual   2: 4096 op, 717665256.00 ns, 175.2112 us/op
WorkloadActual   3: 4096 op, 759253436.00 ns, 185.3646 us/op

// AfterActualRun
WorkloadResult   1: 4096 op, 776944227.00 ns, 189.6836 us/op
WorkloadResult   2: 4096 op, 717655531.00 ns, 175.2089 us/op
WorkloadResult   3: 4096 op, 759243711.00 ns, 185.3622 us/op

// AfterAll
// Benchmark Process 180807 has exited with code 0

Mean = 183.418 μs, StdErr = 4.290 μs (2.34%), N = 3, StdDev = 7.431 μs
Min = 175.209 μs, Q1 = 180.286 μs, Median = 185.362 μs, Q3 = 187.523 μs, Max = 189.684 μs
IQR = 7.237 μs, LowerFence = 169.429 μs, UpperFence = 198.379 μs
ConfidenceInterval = [47.856 μs; 318.980 μs] (CI 99.9%), Margin = 135.562 μs (73.91% of Mean)
Skewness = -0.24, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.MergeJoin: Job-SSRTDY(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "81939e2b-21c6-4dcb-8bc3-459e0f4bef1e.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.MergeJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/81939e2b-21c6-4dcb-8bc3-459e0f4bef1e/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-LNTMRI(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 281290.00 ns, 281.2900 us/op
WorkloadJitting  1: 1 op, 2349330.00 ns, 2.3493 ms/op

OverheadJitting  2: 16 op, 353527.00 ns, 22.0954 us/op
WorkloadJitting  2: 16 op, 7660414.00 ns, 478.7759 us/op

WorkloadPilot    1: 16 op, 6993511.00 ns, 437.0944 us/op
WorkloadPilot    2: 32 op, 13620637.00 ns, 425.6449 us/op
WorkloadPilot    3: 64 op, 30269530.00 ns, 472.9614 us/op
WorkloadPilot    4: 128 op, 54976237.00 ns, 429.5019 us/op
WorkloadPilot    5: 256 op, 92629180.00 ns, 361.8327 us/op
WorkloadPilot    6: 512 op, 93270329.00 ns, 182.1686 us/op
WorkloadPilot    7: 1024 op, 178657919.00 ns, 174.4706 us/op
WorkloadPilot    8: 2048 op, 385154133.00 ns, 188.0635 us/op
WorkloadPilot    9: 4096 op, 727308184.00 ns, 177.5655 us/op

OverheadWarmup   1: 4096 op, 25808.00 ns, 6.3008 ns/op
OverheadWarmup   2: 4096 op, 7266.00 ns, 1.7739 ns/op
OverheadWarmup   3: 4096 op, 7537.00 ns, 1.8401 ns/op
OverheadWarmup   4: 4096 op, 7686.00 ns, 1.8765 ns/op
OverheadWarmup   5: 4096 op, 7674.00 ns, 1.8735 ns/op
OverheadWarmup   6: 4096 op, 7913.00 ns, 1.9319 ns/op
OverheadWarmup   7: 4096 op, 7671.00 ns, 1.8728 ns/op

OverheadActual   1: 4096 op, 7511.00 ns, 1.8337 ns/op
OverheadActual   2: 4096 op, 7505.00 ns, 1.8323 ns/op
OverheadActual   3: 4096 op, 8052.00 ns, 1.9658 ns/op
OverheadActual   4: 4096 op, 7969.00 ns, 1.9456 ns/op
OverheadActual   5: 4096 op, 8013.00 ns, 1.9563 ns/op
OverheadActual   6: 4096 op, 7884.00 ns, 1.9248 ns/op
OverheadActual   7: 4096 op, 7945.00 ns, 1.9397 ns/op
OverheadActual   8: 4096 op, 7614.00 ns, 1.8589 ns/op
OverheadActual   9: 4096 op, 7501.00 ns, 1.8313 ns/op
OverheadActual  10: 4096 op, 7709.00 ns, 1.8821 ns/op
OverheadActual  11: 4096 op, 7904.00 ns, 1.9297 ns/op
OverheadActual  12: 4096 op, 7851.00 ns, 1.9167 ns/op
OverheadActual  13: 4096 op, 8486.00 ns, 2.0718 ns/op
OverheadActual  14: 4096 op, 8145.00 ns, 1.9885 ns/op
OverheadActual  15: 4096 op, 7996.00 ns, 1.9521 ns/op

WorkloadWarmup   1: 4096 op, 727327102.00 ns, 177.5701 us/op

// BeforeActualRun
WorkloadActual   1: 4096 op, 710120736.00 ns, 173.3693 us/op
WorkloadActual   2: 4096 op, 729621497.00 ns, 178.1302 us/op
WorkloadActual   3: 4096 op, 776241957.00 ns, 189.5122 us/op

// AfterActualRun
WorkloadResult   1: 4096 op, 710112832.00 ns, 173.3674 us/op
WorkloadResult   2: 4096 op, 729613593.00 ns, 178.1283 us/op
WorkloadResult   3: 4096 op, 776234053.00 ns, 189.5103 us/op

// AfterAll
// Benchmark Process 180857 has exited with code 0

Mean = 180.335 μs, StdErr = 4.789 μs (2.66%), N = 3, StdDev = 8.295 μs
Min = 173.367 μs, Q1 = 175.748 μs, Median = 178.128 μs, Q3 = 183.819 μs, Max = 189.510 μs
IQR = 8.071 μs, LowerFence = 163.641 μs, UpperFence = 195.926 μs
ConfidenceInterval = [29.010 μs; 331.661 μs] (CI 99.9%), Margin = 151.325 μs (83.91% of Mean)
Skewness = 0.25, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-SSRTDY(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "81939e2b-21c6-4dcb-8bc3-459e0f4bef1e.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 2 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/81939e2b-21c6-4dcb-8bc3-459e0f4bef1e/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-CTXDPI(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 303472.00 ns, 303.4720 us/op
WorkloadJitting  1: 1 op, 1440781.00 ns, 1.4408 ms/op

OverheadJitting  2: 16 op, 291823.00 ns, 18.2389 us/op
WorkloadJitting  2: 16 op, 10115752.00 ns, 632.2345 us/op

WorkloadPilot    1: 16 op, 11230589.00 ns, 701.9118 us/op
WorkloadPilot    2: 32 op, 20710005.00 ns, 647.1877 us/op
WorkloadPilot    3: 64 op, 41044663.00 ns, 641.3229 us/op
WorkloadPilot    4: 128 op, 79318563.00 ns, 619.6763 us/op
WorkloadPilot    5: 256 op, 157042631.00 ns, 613.4478 us/op
WorkloadPilot    6: 512 op, 395868234.00 ns, 773.1801 us/op
WorkloadPilot    7: 1024 op, 631680864.00 ns, 616.8758 us/op

OverheadWarmup   1: 1024 op, 8152.00 ns, 7.9609 ns/op
OverheadWarmup   2: 1024 op, 2841.00 ns, 2.7744 ns/op
OverheadWarmup   3: 1024 op, 2720.00 ns, 2.6562 ns/op
OverheadWarmup   4: 1024 op, 2822.00 ns, 2.7559 ns/op
OverheadWarmup   5: 1024 op, 2931.00 ns, 2.8623 ns/op
OverheadWarmup   6: 1024 op, 2680.00 ns, 2.6172 ns/op
OverheadWarmup   7: 1024 op, 2574.00 ns, 2.5137 ns/op
OverheadWarmup   8: 1024 op, 2794.00 ns, 2.7285 ns/op
OverheadWarmup   9: 1024 op, 2963.00 ns, 2.8936 ns/op
OverheadWarmup  10: 1024 op, 2737.00 ns, 2.6729 ns/op

OverheadActual   1: 1024 op, 3422.00 ns, 3.3418 ns/op
OverheadActual   2: 1024 op, 2974.00 ns, 2.9043 ns/op
OverheadActual   3: 1024 op, 2988.00 ns, 2.9180 ns/op
OverheadActual   4: 1024 op, 2893.00 ns, 2.8252 ns/op
OverheadActual   5: 1024 op, 3653.00 ns, 3.5674 ns/op
OverheadActual   6: 1024 op, 2956.00 ns, 2.8867 ns/op
OverheadActual   7: 1024 op, 3652.00 ns, 3.5664 ns/op
OverheadActual   8: 1024 op, 3317.00 ns, 3.2393 ns/op
OverheadActual   9: 1024 op, 3592.00 ns, 3.5078 ns/op
OverheadActual  10: 1024 op, 2968.00 ns, 2.8984 ns/op
OverheadActual  11: 1024 op, 2855.00 ns, 2.7881 ns/op
OverheadActual  12: 1024 op, 2779.00 ns, 2.7139 ns/op
OverheadActual  13: 1024 op, 2810.00 ns, 2.7441 ns/op
OverheadActual  14: 1024 op, 3127.00 ns, 3.0537 ns/op
OverheadActual  15: 1024 op, 3155.00 ns, 3.0811 ns/op
OverheadActual  16: 1024 op, 3540.00 ns, 3.4570 ns/op
OverheadActual  17: 1024 op, 4198.00 ns, 4.0996 ns/op
OverheadActual  18: 1024 op, 3070.00 ns, 2.9980 ns/op
OverheadActual  19: 1024 op, 2956.00 ns, 2.8867 ns/op
OverheadActual  20: 1024 op, 3014.00 ns, 2.9434 ns/op

WorkloadWarmup   1: 1024 op, 655610730.00 ns, 640.2449 us/op

// BeforeActualRun
WorkloadActual   1: 1024 op, 651218621.00 ns, 635.9557 us/op
WorkloadActual   2: 1024 op, 685224595.00 ns, 669.1646 us/op
WorkloadActual   3: 1024 op, 652094430.00 ns, 636.8110 us/op

// AfterActualRun
WorkloadResult   1: 1024 op, 651215579.00 ns, 635.9527 us/op
WorkloadResult   2: 1024 op, 685221553.00 ns, 669.1617 us/op
WorkloadResult   3: 1024 op, 652091388.00 ns, 636.8080 us/op

// AfterAll
// Benchmark Process 180879 has exited with code 0

Mean = 647.307 μs, StdErr = 10.930 μs (1.69%), N = 3, StdDev = 18.931 μs
Min = 635.953 μs, Q1 = 636.380 μs, Median = 636.808 μs, Q3 = 652.985 μs, Max = 669.162 μs
IQR = 16.604 μs, LowerFence = 611.474 μs, UpperFence = 677.892 μs
ConfidenceInterval = [301.933 μs; 992.682 μs] (CI 99.9%), Margin = 345.374 μs (53.36% of Mean)
Skewness = 0.38, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.DataLoad: Job-SSRTDY(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "81939e2b-21c6-4dcb-8bc3-459e0f4bef1e.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.DataLoad" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 3 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/81939e2b-21c6-4dcb-8bc3-459e0f4bef1e/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-WSMBSS(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 265739.00 ns, 265.7390 us/op
WorkloadJitting  1: 1 op, 14743179.00 ns, 14.7432 ms/op

OverheadJitting  2: 16 op, 251983.00 ns, 15.7489 us/op
WorkloadJitting  2: 16 op, 221908414.00 ns, 13.8693 ms/op

WorkloadPilot    1: 16 op, 88928629.00 ns, 5.5580 ms/op
WorkloadPilot    2: 32 op, 129367681.00 ns, 4.0427 ms/op

System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation.
 ---> Npgsql.NpgsqlException (0x80004005): Unknown message code: 21
   at Npgsql.Util.PGUtil.ValidateBackendMessageCode(BackendMessageCode code)
   at Npgsql.NpgsqlConnector.<ReadMessage>g__ReadMessageLong|200_0(NpgsqlConnector connector, Boolean async, DataRowLoadingMode dataRowLoadingMode, Boolean readingNotifications, Boolean isReadingPrependedMessage)
   at Npgsql.NpgsqlDataReader.<ReadMessage>g__ReadMessageSequential|45_0(NpgsqlConnector connector, Boolean async)
   at Npgsql.NpgsqlDataReader.Read(Boolean async, CancellationToken cancellationToken)
   at Npgsql.NpgsqlDataReader.Read()
   at Dapper.SqlMapper.QueryImpl[T](IDbConnection cnn, CommandDefinition command, Type effectiveType)+MoveNext() in /_/Dapper/SqlMapper.cs:line 1100
   at System.Collections.Generic.List`1..ctor(IEnumerable`1 collection)
   at System.Linq.Enumerable.ToList[TSource](IEnumerable`1 source)
   at Dapper.SqlMapper.Query[T](IDbConnection cnn, String sql, Object param, IDbTransaction transaction, Boolean buffered, Nullable`1 commandTimeout, Nullable`1 commandType) in /_/Dapper/SqlMapper.cs:line 725
   at CollectionsBenchmark.GetMostActiveVisistors.DataLoad() in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/Program.cs:line 308
   at BenchmarkDotNet.Autogenerated.Runnable_3.WorkloadActionUnroll(Int64 invokeCount) in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/81939e2b-21c6-4dcb-8bc3-459e0f4bef1e/81939e2b-21c6-4dcb-8bc3-459e0f4bef1e.notcs:line 3024
   at BenchmarkDotNet.Engines.Engine.RunIteration(IterationData data)
   at BenchmarkDotNet.Engines.EngineStage.RunIteration(IterationMode mode, IterationStage stage, Int32 index, Int64 invokeCount, Int32 unrollFactor)
   at BenchmarkDotNet.Engines.EnginePilotStage.RunAuto()
   at BenchmarkDotNet.Engines.EnginePilotStage.Run()
   at BenchmarkDotNet.Engines.Engine.Run()
   at BenchmarkDotNet.Autogenerated.Runnable_3.Run(IHost host, String benchmarkName) in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/81939e2b-21c6-4dcb-8bc3-459e0f4bef1e/81939e2b-21c6-4dcb-8bc3-459e0f4bef1e.notcs:line 2374
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle.InvokeMethod(Object target, Object[] arguments, Signature sig, Boolean constructor, Boolean wrapExceptions)
   at System.Reflection.RuntimeMethodInfo.Invoke(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo culture)
   at System.Reflection.MethodBase.Invoke(Object obj, Object[] parameters)
   at BenchmarkDotNet.Autogenerated.UniqueProgramName.AfterAssemblyLoadingAttached(String[] args) in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/81939e2b-21c6-4dcb-8bc3-459e0f4bef1e/81939e2b-21c6-4dcb-8bc3-459e0f4bef1e.notcs:line 52
// AfterAll
ExitCode != 0
// Benchmark Process 180897 has exited with code 255
No more Benchmark runs will be launched as NO measurements were obtained from the previous run!


// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.csv
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report-github.md
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.html

// * Detailed results *
GetMostActiveVisistors.LinqJoin: Job-SSRTDY(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 183.418 μs, StdErr = 4.290 μs (2.34%), N = 3, StdDev = 7.431 μs
Min = 175.209 μs, Q1 = 180.286 μs, Median = 185.362 μs, Q3 = 187.523 μs, Max = 189.684 μs
IQR = 7.237 μs, LowerFence = 169.429 μs, UpperFence = 198.379 μs
ConfidenceInterval = [47.856 μs; 318.980 μs] (CI 99.9%), Margin = 135.562 μs (73.91% of Mean)
Skewness = -0.24, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[168.447 μs ; 180.761 μs) | @
[180.761 μs ; 196.446 μs) | @@
---------------------------------------------------

GetMostActiveVisistors.MergeJoin: Job-SSRTDY(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 180.335 μs, StdErr = 4.789 μs (2.66%), N = 3, StdDev = 8.295 μs
Min = 173.367 μs, Q1 = 175.748 μs, Median = 178.128 μs, Q3 = 183.819 μs, Max = 189.510 μs
IQR = 8.071 μs, LowerFence = 163.641 μs, UpperFence = 195.926 μs
ConfidenceInterval = [29.010 μs; 331.661 μs] (CI 99.9%), Margin = 151.325 μs (83.91% of Mean)
Skewness = 0.25, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[168.199 μs ; 183.296 μs) | @@
[183.296 μs ; 197.059 μs) | @
---------------------------------------------------

GetMostActiveVisistors.NestedLoop: Job-SSRTDY(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 647.307 μs, StdErr = 10.930 μs (1.69%), N = 3, StdDev = 18.931 μs
Min = 635.953 μs, Q1 = 636.380 μs, Median = 636.808 μs, Q3 = 652.985 μs, Max = 669.162 μs
IQR = 16.604 μs, LowerFence = 611.474 μs, UpperFence = 677.892 μs
ConfidenceInterval = [301.933 μs; 992.682 μs] (CI 99.9%), Margin = 345.374 μs (53.36% of Mean)
Skewness = 0.38, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[635.329 μs ; 669.785 μs) | @@@
---------------------------------------------------

GetMostActiveVisistors.DataLoad: Job-SSRTDY(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = ; GC = 
There are not any results runs

// * Summary *

BenchmarkDotNet=v0.12.1, OS=ubuntu 20.04
Intel Core i5-6500 CPU 3.20GHz (Skylake), 1 CPU, 4 logical and 4 physical cores
.NET Core SDK=3.1.403
  [Host]     : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
  Job-SSRTDY : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT

IterationCount=3  LaunchCount=1  WarmupCount=1  

|     Method |     Mean |    Error |   StdDev |
|----------- |---------:|---------:|---------:|
|   LinqJoin | 183.4 μs | 135.6 μs |  7.43 μs |
|  MergeJoin | 180.3 μs | 151.3 μs |  8.29 μs |
| NestedLoop | 647.3 μs | 345.4 μs | 18.93 μs |
|   DataLoad |       NA |       NA |       NA |

Benchmarks with issues:
  GetMostActiveVisistors.DataLoad: Job-SSRTDY(IterationCount=3, LaunchCount=1, WarmupCount=1)

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 μs   : 1 Microsecond (0.000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:17 (17.32 sec), executed benchmarks: 4

Global total time: 00:00:21 (21.13 sec), executed benchmarks: 4
// * Artifacts cleanup *
