// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a76993a1-1aec-4ce6-9080-bf4c537f3e31
// command took 1.7s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a76993a1-1aec-4ce6-9080-bf4c537f3e31
// command took 2.59s and exited with 0
// ***** Done, took 00:00:04 (4.41 sec)   *****
// Found 6 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop_LinkedList: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.RunInSQL: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "a76993a1-1aec-4ce6-9080-bf4c537f3e31.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a76993a1-1aec-4ce6-9080-bf4c537f3e31/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-SNRUQN(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadActual   2: 512 op, 2209.00 ns, 4.3145 ns/op
OverheadActual   3: 512 op, 1803.00 ns, 3.5215 ns/op
OverheadActual   4: 512 op, 1885.00 ns, 3.6816 ns/op
OverheadActual   5: 512 op, 1895.00 ns, 3.7012 ns/op
OverheadActual   6: 512 op, 1798.00 ns, 3.5117 ns/op
OverheadActual   7: 512 op, 1799.00 ns, 3.5137 ns/op
OverheadActual   8: 512 op, 1782.00 ns, 3.4805 ns/op
OverheadActual   9: 512 op, 1873.00 ns, 3.6582 ns/op
OverheadActual  10: 512 op, 1632.00 ns, 3.1875 ns/op
OverheadActual  11: 512 op, 1764.00 ns, 3.4453 ns/op
OverheadActual  12: 512 op, 1716.00 ns, 3.3516 ns/op
OverheadActual  13: 512 op, 1685.00 ns, 3.2910 ns/op
OverheadActual  14: 512 op, 2012.00 ns, 3.9297 ns/op
OverheadActual  15: 512 op, 1798.00 ns, 3.5117 ns/op
OverheadActual  16: 512 op, 1963.00 ns, 3.8340 ns/op
OverheadActual  17: 512 op, 1789.00 ns, 3.4941 ns/op
OverheadActual  18: 512 op, 1949.00 ns, 3.8066 ns/op
OverheadActual  19: 512 op, 1770.00 ns, 3.4570 ns/op

WorkloadWarmup   1: 512 op, 693552533.00 ns, 1.3546 ms/op

// BeforeActualRun
WorkloadActual   1: 512 op, 647564811.00 ns, 1.2648 ms/op
WorkloadActual   2: 512 op, 698313282.00 ns, 1.3639 ms/op
WorkloadActual   3: 512 op, 656059309.00 ns, 1.2814 ms/op

// AfterActualRun
WorkloadResult   1: 512 op, 647563012.00 ns, 1.2648 ms/op
WorkloadResult   2: 512 op, 698311483.00 ns, 1.3639 ms/op
WorkloadResult   3: 512 op, 656057510.00 ns, 1.2814 ms/op

// AfterAll
// Benchmark Process 503384 has exited with code 0

Mean = 1.303 ms, StdErr = 0.031 ms (2.35%), N = 3, StdDev = 0.053 ms
Min = 1.265 ms, Q1 = 1.273 ms, Median = 1.281 ms, Q3 = 1.323 ms, Max = 1.364 ms
IQR = 0.050 ms, LowerFence = 1.199 ms, UpperFence = 1.397 ms
ConfidenceInterval = [0.335 ms; 2.272 ms] (CI 99.9%), Margin = 0.969 ms (74.31% of Mean)
Skewness = 0.34, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "a76993a1-1aec-4ce6-9080-bf4c537f3e31.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 2 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a76993a1-1aec-4ce6-9080-bf4c537f3e31/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-KKSUEP(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 343198.00 ns, 343.1980 us/op
WorkloadJitting  1: 1 op, 21096088.00 ns, 21.0961 ms/op

OverheadJitting  2: 16 op, 342627.00 ns, 21.4142 us/op
WorkloadJitting  2: 16 op, 342550732.00 ns, 21.4094 ms/op

WorkloadPilot    1: 16 op, 307029916.00 ns, 19.1894 ms/op
WorkloadPilot    2: 32 op, 636948393.00 ns, 19.9046 ms/op

OverheadWarmup   1: 32 op, 19372.00 ns, 605.3750 ns/op
OverheadWarmup   2: 32 op, 742.00 ns, 23.1875 ns/op
OverheadWarmup   3: 32 op, 900.00 ns, 28.1250 ns/op
OverheadWarmup   4: 32 op, 686.00 ns, 21.4375 ns/op
OverheadWarmup   5: 32 op, 825.00 ns, 25.7812 ns/op
OverheadWarmup   6: 32 op, 840.00 ns, 26.2500 ns/op
OverheadWarmup   7: 32 op, 911.00 ns, 28.4688 ns/op
OverheadWarmup   8: 32 op, 939.00 ns, 29.3438 ns/op
OverheadWarmup   9: 32 op, 1080.00 ns, 33.7500 ns/op
OverheadWarmup  10: 32 op, 767.00 ns, 23.9688 ns/op

OverheadActual   1: 32 op, 787.00 ns, 24.5938 ns/op
OverheadActual   2: 32 op, 814.00 ns, 25.4375 ns/op
OverheadActual   3: 32 op, 722.00 ns, 22.5625 ns/op
OverheadActual   4: 32 op, 829.00 ns, 25.9062 ns/op
OverheadActual   5: 32 op, 993.00 ns, 31.0313 ns/op
OverheadActual   6: 32 op, 760.00 ns, 23.7500 ns/op
OverheadActual   7: 32 op, 689.00 ns, 21.5312 ns/op
OverheadActual   8: 32 op, 899.00 ns, 28.0938 ns/op
OverheadActual   9: 32 op, 873.00 ns, 27.2812 ns/op
OverheadActual  10: 32 op, 760.00 ns, 23.7500 ns/op
OverheadActual  11: 32 op, 695.00 ns, 21.7188 ns/op
OverheadActual  12: 32 op, 1105.00 ns, 34.5312 ns/op
OverheadActual  13: 32 op, 893.00 ns, 27.9062 ns/op
OverheadActual  14: 32 op, 830.00 ns, 25.9375 ns/op
OverheadActual  15: 32 op, 890.00 ns, 27.8125 ns/op
OverheadActual  16: 32 op, 713.00 ns, 22.2812 ns/op
OverheadActual  17: 32 op, 761.00 ns, 23.7812 ns/op
OverheadActual  18: 32 op, 1486.00 ns, 46.4375 ns/op
OverheadActual  19: 32 op, 905.00 ns, 28.2812 ns/op
OverheadActual  20: 32 op, 784.00 ns, 24.5000 ns/op

WorkloadWarmup   1: 32 op, 633853428.00 ns, 19.8079 ms/op

// BeforeActualRun
WorkloadActual   1: 32 op, 614894796.00 ns, 19.2155 ms/op
WorkloadActual   2: 32 op, 632045549.00 ns, 19.7514 ms/op
WorkloadActual   3: 32 op, 661239568.00 ns, 20.6637 ms/op

// AfterActualRun
WorkloadResult   1: 32 op, 614893974.50 ns, 19.2154 ms/op
WorkloadResult   2: 32 op, 632044727.50 ns, 19.7514 ms/op
WorkloadResult   3: 32 op, 661238746.50 ns, 20.6637 ms/op

// AfterAll
// Benchmark Process 503401 has exited with code 0

Mean = 19.877 ms, StdErr = 0.423 ms (2.13%), N = 3, StdDev = 0.732 ms
Min = 19.215 ms, Q1 = 19.483 ms, Median = 19.751 ms, Q3 = 20.208 ms, Max = 20.664 ms
IQR = 0.724 ms, LowerFence = 18.397 ms, UpperFence = 21.294 ms
ConfidenceInterval = [6.518 ms; 33.236 ms] (CI 99.9%), Margin = 13.359 ms (67.21% of Mean)
Skewness = 0.17, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop_LinkedList: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "a76993a1-1aec-4ce6-9080-bf4c537f3e31.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop_LinkedList" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 3 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a76993a1-1aec-4ce6-9080-bf4c537f3e31/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-WZWPKW(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 327601.00 ns, 327.6010 us/op
WorkloadJitting  1: 1 op, 74762708.00 ns, 74.7627 ms/op

WorkloadPilot    1: 2 op, 142092657.00 ns, 71.0463 ms/op
WorkloadPilot    2: 3 op, 242318794.00 ns, 80.7729 ms/op
WorkloadPilot    3: 4 op, 331864280.00 ns, 82.9661 ms/op
WorkloadPilot    4: 5 op, 404533524.00 ns, 80.9067 ms/op
WorkloadPilot    5: 6 op, 530154025.00 ns, 88.3590 ms/op

WorkloadWarmup   1: 6 op, 484401352.00 ns, 80.7336 ms/op

// BeforeActualRun
WorkloadActual   1: 6 op, 494901866.00 ns, 82.4836 ms/op
WorkloadActual   2: 6 op, 491819400.00 ns, 81.9699 ms/op
WorkloadActual   3: 6 op, 525062982.00 ns, 87.5105 ms/op

// AfterActualRun
WorkloadResult   1: 6 op, 494901866.00 ns, 82.4836 ms/op
WorkloadResult   2: 6 op, 491819400.00 ns, 81.9699 ms/op
WorkloadResult   3: 6 op, 525062982.00 ns, 87.5105 ms/op

// AfterAll
// Benchmark Process 503416 has exited with code 0

Mean = 83.988 ms, StdErr = 1.767 ms (2.10%), N = 3, StdDev = 3.061 ms
Min = 81.970 ms, Q1 = 82.227 ms, Median = 82.484 ms, Q3 = 84.997 ms, Max = 87.510 ms
IQR = 2.770 ms, LowerFence = 78.071 ms, UpperFence = 89.153 ms
ConfidenceInterval = [28.137 ms; 139.839 ms] (CI 99.9%), Margin = 55.851 ms (66.50% of Mean)
Skewness = 0.37, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.DataLoad: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "a76993a1-1aec-4ce6-9080-bf4c537f3e31.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.DataLoad" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 4 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a76993a1-1aec-4ce6-9080-bf4c537f3e31/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-ZNQIAK(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 299693.00 ns, 299.6930 us/op
WorkloadJitting  1: 1 op, 69406049.00 ns, 69.4060 ms/op

WorkloadPilot    1: 2 op, 143378083.00 ns, 71.6890 ms/op

System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation.
 ---> Npgsql.NpgsqlException (0x80004005): Unknown message code: 205
   at Npgsql.Util.PGUtil.ValidateBackendMessageCode(BackendMessageCode code)
   at Npgsql.NpgsqlConnector.<ReadMessage>g__ReadMessageLong|200_0(NpgsqlConnector connector, Boolean async, DataRowLoadingMode dataRowLoadingMode, Boolean readingNotifications, Boolean isReadingPrependedMessage)
   at Npgsql.NpgsqlDataReader.<ReadMessage>g__ReadMessageSequential|45_0(NpgsqlConnector connector, Boolean async)
   at Npgsql.NpgsqlDataReader.Read(Boolean async, CancellationToken cancellationToken)
   at Npgsql.NpgsqlDataReader.Read()
   at Dapper.SqlMapper.QueryImpl[T](IDbConnection cnn, CommandDefinition command, Type effectiveType)+MoveNext() in /_/Dapper/SqlMapper.cs:line 1100
   at System.Collections.Generic.List`1..ctor(IEnumerable`1 collection)
   at System.Linq.Enumerable.ToList[TSource](IEnumerable`1 source)
   at Dapper.SqlMapper.Query[T](IDbConnection cnn, String sql, Object param, IDbTransaction transaction, Boolean buffered, Nullable`1 commandTimeout, Nullable`1 commandType) in /_/Dapper/SqlMapper.cs:line 725
   at CollectionsBenchmark.GetMostActiveVisistors.DataLoad() in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/Program.cs:line 220
   at BenchmarkDotNet.Autogenerated.Runnable_4.WorkloadActionNoUnroll(Int64 invokeCount) in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a76993a1-1aec-4ce6-9080-bf4c537f3e31/a76993a1-1aec-4ce6-9080-bf4c537f3e31.notcs:line 3778
   at BenchmarkDotNet.Engines.Engine.RunIteration(IterationData data)
   at BenchmarkDotNet.Engines.EngineStage.RunIteration(IterationMode mode, IterationStage stage, Int32 index, Int64 invokeCount, Int32 unrollFactor)
   at BenchmarkDotNet.Engines.EnginePilotStage.RunAuto()
   at BenchmarkDotNet.Engines.EnginePilotStage.Run()
   at BenchmarkDotNet.Engines.Engine.Run()
   at BenchmarkDotNet.Autogenerated.Runnable_4.Run(IHost host, String benchmarkName) in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a76993a1-1aec-4ce6-9080-bf4c537f3e31/a76993a1-1aec-4ce6-9080-bf4c537f3e31.notcs:line 3110
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle.InvokeMethod(Object target, Object[] arguments, Signature sig, Boolean constructor, Boolean wrapExceptions)
   at System.Reflection.RuntimeMethodInfo.Invoke(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo culture)
   at System.Reflection.MethodBase.Invoke(Object obj, Object[] parameters)
   at BenchmarkDotNet.Autogenerated.UniqueProgramName.AfterAssemblyLoadingAttached(String[] args) in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a76993a1-1aec-4ce6-9080-bf4c537f3e31/a76993a1-1aec-4ce6-9080-bf4c537f3e31.notcs:line 54
// AfterAll
ExitCode != 0
// Benchmark Process 503435 has exited with code 255
No more Benchmark runs will be launched as NO measurements were obtained from the previous run!


// **************************
// Benchmark: GetMostActiveVisistors.RunInSQL: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "a76993a1-1aec-4ce6-9080-bf4c537f3e31.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.RunInSQL" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 5 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a76993a1-1aec-4ce6-9080-bf4c537f3e31/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-WYDVNE(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 313436.00 ns, 313.4360 us/op
WorkloadJitting  1: 1 op, 9960339.00 ns, 9.9603 ms/op

OverheadJitting  2: 16 op, 445502.00 ns, 27.8439 us/op
WorkloadJitting  2: 16 op, 50664031.00 ns, 3.1665 ms/op

WorkloadPilot    1: 16 op, 43297437.00 ns, 2.7061 ms/op
WorkloadPilot    2: 32 op, 78256711.00 ns, 2.4455 ms/op
WorkloadPilot    3: 64 op, 173209605.00 ns, 2.7064 ms/op
WorkloadPilot    4: 128 op, 304737397.00 ns, 2.3808 ms/op
WorkloadPilot    5: 256 op, 569948537.00 ns, 2.2264 ms/op

OverheadWarmup   1: 256 op, 6975.00 ns, 27.2461 ns/op
OverheadWarmup   2: 256 op, 1141.00 ns, 4.4570 ns/op
OverheadWarmup   3: 256 op, 1043.00 ns, 4.0742 ns/op
OverheadWarmup   4: 256 op, 1652.00 ns, 6.4531 ns/op
OverheadWarmup   5: 256 op, 2210.00 ns, 8.6328 ns/op
OverheadWarmup   6: 256 op, 1245.00 ns, 4.8633 ns/op
OverheadWarmup   7: 256 op, 1180.00 ns, 4.6094 ns/op
OverheadWarmup   8: 256 op, 1444.00 ns, 5.6406 ns/op
OverheadWarmup   9: 256 op, 1387.00 ns, 5.4180 ns/op

OverheadActual   1: 256 op, 1712.00 ns, 6.6875 ns/op
OverheadActual   2: 256 op, 1237.00 ns, 4.8320 ns/op
OverheadActual   3: 256 op, 1427.00 ns, 5.5742 ns/op
OverheadActual   4: 256 op, 1373.00 ns, 5.3633 ns/op
OverheadActual   5: 256 op, 1515.00 ns, 5.9180 ns/op
OverheadActual   6: 256 op, 1253.00 ns, 4.8945 ns/op
OverheadActual   7: 256 op, 1151.00 ns, 4.4961 ns/op
OverheadActual   8: 256 op, 1307.00 ns, 5.1055 ns/op
OverheadActual   9: 256 op, 1418.00 ns, 5.5391 ns/op
OverheadActual  10: 256 op, 2187.00 ns, 8.5430 ns/op
OverheadActual  11: 256 op, 1402.00 ns, 5.4766 ns/op
OverheadActual  12: 256 op, 1145.00 ns, 4.4727 ns/op
OverheadActual  13: 256 op, 1268.00 ns, 4.9531 ns/op
