// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/1f992b5f-ea99-42d0-8689-cd1754a75f34
// command took 1.37s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/1f992b5f-ea99-42d0-8689-cd1754a75f34
// command took 2.28s and exited with 0
// ***** Done, took 00:00:03 (3.76 sec)   *****
// Found 4 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-FQRGTO(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-FQRGTO(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-FQRGTO(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-FQRGTO(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-FQRGTO(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "1f992b5f-ea99-42d0-8689-cd1754a75f34.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/1f992b5f-ea99-42d0-8689-cd1754a75f34/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-XSOJOW(IterationCount=3, LaunchCount=1, WarmupCount=1)

WorkloadActual   1: 1024 op, 620989887.00 ns, 606.4354 us/op
WorkloadActual   2: 1024 op, 630420153.00 ns, 615.6447 us/op
WorkloadActual   3: 1024 op, 612646802.00 ns, 598.2879 us/op

// AfterActualRun
WorkloadResult   1: 1024 op, 620986977.00 ns, 606.4326 us/op
WorkloadResult   2: 1024 op, 630417243.00 ns, 615.6418 us/op
WorkloadResult   3: 1024 op, 612643892.00 ns, 598.2851 us/op

// AfterAll
// Benchmark Process 544683 has exited with code 0

Mean = 606.786 μs, StdErr = 5.014 μs (0.83%), N = 3, StdDev = 8.684 μs
Min = 598.285 μs, Q1 = 602.359 μs, Median = 606.433 μs, Q3 = 611.037 μs, Max = 615.642 μs
IQR = 8.678 μs, LowerFence = 589.341 μs, UpperFence = 624.055 μs
ConfidenceInterval = [448.362 μs; 765.211 μs] (CI 99.9%), Margin = 158.425 μs (26.11% of Mean)
Skewness = 0.04, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.DataLoad: Job-FQRGTO(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "1f992b5f-ea99-42d0-8689-cd1754a75f34.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.DataLoad" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 3 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/1f992b5f-ea99-42d0-8689-cd1754a75f34/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-CYFUZF(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 249497.00 ns, 249.4970 us/op
WorkloadJitting  1: 1 op, 15388732.00 ns, 15.3887 ms/op

OverheadJitting  2: 16 op, 254968.00 ns, 15.9355 us/op
WorkloadJitting  2: 16 op, 176610912.00 ns, 11.0382 ms/op

WorkloadPilot    1: 16 op, 64753217.00 ns, 4.0471 ms/op
WorkloadPilot    2: 32 op, 123186495.00 ns, 3.8496 ms/op
WorkloadPilot    3: 64 op, 227802063.00 ns, 3.5594 ms/op
WorkloadPilot    4: 128 op, 412362793.00 ns, 3.2216 ms/op
WorkloadPilot    5: 256 op, 824983122.00 ns, 3.2226 ms/op

OverheadWarmup   1: 256 op, 4476.00 ns, 17.4844 ns/op
OverheadWarmup   2: 256 op, 970.00 ns, 3.7891 ns/op
OverheadWarmup   3: 256 op, 804.00 ns, 3.1406 ns/op
OverheadWarmup   4: 256 op, 785.00 ns, 3.0664 ns/op
OverheadWarmup   5: 256 op, 814.00 ns, 3.1797 ns/op
OverheadWarmup   6: 256 op, 764.00 ns, 2.9844 ns/op
OverheadWarmup   7: 256 op, 760.00 ns, 2.9688 ns/op
OverheadWarmup   8: 256 op, 907.00 ns, 3.5430 ns/op
OverheadWarmup   9: 256 op, 884.00 ns, 3.4531 ns/op

OverheadActual   1: 256 op, 976.00 ns, 3.8125 ns/op
OverheadActual   2: 256 op, 1072.00 ns, 4.1875 ns/op
OverheadActual   3: 256 op, 864.00 ns, 3.3750 ns/op
OverheadActual   4: 256 op, 993.00 ns, 3.8789 ns/op
OverheadActual   5: 256 op, 1212.00 ns, 4.7344 ns/op
OverheadActual   6: 256 op, 1170.00 ns, 4.5703 ns/op
OverheadActual   7: 256 op, 1015.00 ns, 3.9648 ns/op
OverheadActual   8: 256 op, 995.00 ns, 3.8867 ns/op
OverheadActual   9: 256 op, 889.00 ns, 3.4727 ns/op
OverheadActual  10: 256 op, 888.00 ns, 3.4688 ns/op
OverheadActual  11: 256 op, 937.00 ns, 3.6602 ns/op
OverheadActual  12: 256 op, 1397.00 ns, 5.4570 ns/op
OverheadActual  13: 256 op, 1000.00 ns, 3.9062 ns/op
OverheadActual  14: 256 op, 917.00 ns, 3.5820 ns/op
OverheadActual  15: 256 op, 802.00 ns, 3.1328 ns/op
OverheadActual  16: 256 op, 800.00 ns, 3.1250 ns/op
OverheadActual  17: 256 op, 777.00 ns, 3.0352 ns/op
OverheadActual  18: 256 op, 871.00 ns, 3.4023 ns/op
OverheadActual  19: 256 op, 757.00 ns, 2.9570 ns/op
OverheadActual  20: 256 op, 903.00 ns, 3.5273 ns/op

WorkloadWarmup   1: 256 op, 828762312.00 ns, 3.2374 ms/op

// BeforeActualRun
WorkloadActual   1: 256 op, 834487172.00 ns, 3.2597 ms/op
WorkloadActual   2: 256 op, 824636275.00 ns, 3.2212 ms/op
WorkloadActual   3: 256 op, 834852043.00 ns, 3.2611 ms/op

// AfterActualRun
WorkloadResult   1: 256 op, 834486245.00 ns, 3.2597 ms/op
WorkloadResult   2: 256 op, 824635348.00 ns, 3.2212 ms/op
WorkloadResult   3: 256 op, 834851116.00 ns, 3.2611 ms/op

// AfterAll
// Benchmark Process 544702 has exited with code 0

Mean = 3.247 ms, StdErr = 0.013 ms (0.40%), N = 3, StdDev = 0.023 ms
Min = 3.221 ms, Q1 = 3.240 ms, Median = 3.260 ms, Q3 = 3.260 ms, Max = 3.261 ms
IQR = 0.020 ms, LowerFence = 3.211 ms, UpperFence = 3.290 ms
ConfidenceInterval = [2.834 ms; 3.660 ms] (CI 99.9%), Margin = 0.413 ms (12.72% of Mean)
Skewness = -0.38, Kurtosis = 0.67, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.csv
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report-github.md
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.html

// * Detailed results *
GetMostActiveVisistors.LinqJoin: Job-FQRGTO(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 172.720 μs, StdErr = 2.546 μs (1.47%), N = 3, StdDev = 4.410 μs
Min = 169.232 μs, Q1 = 170.242 μs, Median = 171.251 μs, Q3 = 174.464 μs, Max = 177.676 μs
IQR = 4.222 μs, LowerFence = 163.908 μs, UpperFence = 180.797 μs
ConfidenceInterval = [92.272 μs; 253.167 μs] (CI 99.9%), Margin = 80.448 μs (46.58% of Mean)
Skewness = 0.3, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[166.229 μs ; 174.254 μs) | @@
[174.254 μs ; 181.689 μs) | @
---------------------------------------------------

GetMostActiveVisistors.MergeJoin: Job-FQRGTO(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 173.375 μs, StdErr = 3.999 μs (2.31%), N = 3, StdDev = 6.926 μs
Min = 166.894 μs, Q1 = 169.726 μs, Median = 172.558 μs, Q3 = 176.616 μs, Max = 180.673 μs
IQR = 6.890 μs, LowerFence = 159.392 μs, UpperFence = 186.950 μs
ConfidenceInterval = [47.023 μs; 299.726 μs] (CI 99.9%), Margin = 126.352 μs (72.88% of Mean)
Skewness = 0.12, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[163.423 μs ; 176.029 μs) | @@
[176.029 μs ; 186.975 μs) | @
---------------------------------------------------

GetMostActiveVisistors.NestedLoop: Job-FQRGTO(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 606.786 μs, StdErr = 5.014 μs (0.83%), N = 3, StdDev = 8.684 μs
Min = 598.285 μs, Q1 = 602.359 μs, Median = 606.433 μs, Q3 = 611.037 μs, Max = 615.642 μs
IQR = 8.678 μs, LowerFence = 589.341 μs, UpperFence = 624.055 μs
ConfidenceInterval = [448.362 μs; 765.211 μs] (CI 99.9%), Margin = 158.425 μs (26.11% of Mean)
Skewness = 0.04, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[594.456 μs ; 610.261 μs) | @@
[610.261 μs ; 623.544 μs) | @
---------------------------------------------------

GetMostActiveVisistors.DataLoad: Job-FQRGTO(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 3.247 ms, StdErr = 0.013 ms (0.40%), N = 3, StdDev = 0.023 ms
Min = 3.221 ms, Q1 = 3.240 ms, Median = 3.260 ms, Q3 = 3.260 ms, Max = 3.261 ms
IQR = 0.020 ms, LowerFence = 3.211 ms, UpperFence = 3.290 ms
ConfidenceInterval = [2.834 ms; 3.660 ms] (CI 99.9%), Margin = 0.413 ms (12.72% of Mean)
Skewness = -0.38, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[3.221 ms ; 3.262 ms) | @@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.12.1, OS=ubuntu 20.04
Intel Core i5-6500 CPU 3.20GHz (Skylake), 1 CPU, 4 logical and 4 physical cores
.NET Core SDK=3.1.403
  [Host]     : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
  Job-FQRGTO : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT

IterationCount=3  LaunchCount=1  WarmupCount=1  

|     Method |       Mean |     Error |   StdDev |
|----------- |-----------:|----------:|---------:|
|   LinqJoin |   172.7 μs |  80.45 μs |  4.41 μs |
|  MergeJoin |   173.4 μs | 126.35 μs |  6.93 μs |
| NestedLoop |   606.8 μs | 158.42 μs |  8.68 μs |
|   DataLoad | 3,247.4 μs | 413.02 μs | 22.64 μs |

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 μs   : 1 Microsecond (0.000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:20 (20.61 sec), executed benchmarks: 4

Global total time: 00:00:24 (24.38 sec), executed benchmarks: 4
// * Artifacts cleanup *
