// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/c6e56315-3549-4710-8bf2-a03a7f4b5102
// command took 1.33s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/c6e56315-3549-4710-8bf2-a03a7f4b5102
// command took 2.2s and exited with 0
// ***** Done, took 00:00:03 (3.64 sec)   *****
// Found 6 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.LinqJoin_LinkedList: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop_LinkedList: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "c6e56315-3549-4710-8bf2-a03a7f4b5102.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/c6e56315-3549-4710-8bf2-a03a7f4b5102/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-XKODJV(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadActual   6: 1048576 op, 1955198.00 ns, 1.8646 ns/op
OverheadActual   7: 1048576 op, 1958368.00 ns, 1.8676 ns/op
OverheadActual   8: 1048576 op, 2194547.00 ns, 2.0929 ns/op
OverheadActual   9: 1048576 op, 2199316.00 ns, 2.0974 ns/op
OverheadActual  10: 1048576 op, 2120105.00 ns, 2.0219 ns/op
OverheadActual  11: 1048576 op, 2126518.00 ns, 2.0280 ns/op
OverheadActual  12: 1048576 op, 2090858.00 ns, 1.9940 ns/op
OverheadActual  13: 1048576 op, 2031695.00 ns, 1.9376 ns/op
OverheadActual  14: 1048576 op, 1958035.00 ns, 1.8673 ns/op
OverheadActual  15: 1048576 op, 1956317.00 ns, 1.8657 ns/op
OverheadActual  16: 1048576 op, 1915085.00 ns, 1.8264 ns/op
OverheadActual  17: 1048576 op, 1973694.00 ns, 1.8823 ns/op

WorkloadWarmup   1: 1048576 op, 827463257.00 ns, 789.1305 ns/op

// BeforeActualRun
WorkloadActual   1: 1048576 op, 829242272.00 ns, 790.8271 ns/op
WorkloadActual   2: 1048576 op, 830500798.00 ns, 792.0273 ns/op
WorkloadActual   3: 1048576 op, 825554138.00 ns, 787.3098 ns/op

// AfterActualRun
WorkloadResult   1: 1048576 op, 827265149.00 ns, 788.9415 ns/op
WorkloadResult   2: 1048576 op, 828523675.00 ns, 790.1417 ns/op
WorkloadResult   3: 1048576 op, 823577015.00 ns, 785.4242 ns/op

// AfterAll
// Benchmark Process 584737 has exited with code 0

Mean = 788.169 ns, StdErr = 1.416 ns (0.18%), N = 3, StdDev = 2.452 ns
Min = 785.424 ns, Q1 = 787.183 ns, Median = 788.942 ns, Q3 = 789.542 ns, Max = 790.142 ns
IQR = 2.359 ns, LowerFence = 783.645 ns, UpperFence = 793.080 ns
ConfidenceInterval = [743.440 ns; 832.898 ns] (CI 99.9%), Margin = 44.729 ns (5.68% of Mean)
Skewness = -0.28, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin_LinkedList: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "c6e56315-3549-4710-8bf2-a03a7f4b5102.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin_LinkedList" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/c6e56315-3549-4710-8bf2-a03a7f4b5102/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-STYWRZ(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 278639.00 ns, 278.6390 us/op
WorkloadJitting  1: 1 op, 4572278.00 ns, 4.5723 ms/op

OverheadJitting  2: 16 op, 256615.00 ns, 16.0384 us/op
WorkloadJitting  2: 16 op, 376954.00 ns, 23.5596 us/op

WorkloadPilot    1: 16 op, 50476.00 ns, 3.1547 us/op
WorkloadPilot    2: 32 op, 60525.00 ns, 1.8914 us/op
WorkloadPilot    3: 64 op, 142436.00 ns, 2.2256 us/op
WorkloadPilot    4: 128 op, 293287.00 ns, 2.2913 us/op
WorkloadPilot    5: 256 op, 494237.00 ns, 1.9306 us/op
WorkloadPilot    6: 512 op, 933542.00 ns, 1.8233 us/op
WorkloadPilot    7: 1024 op, 1832317.00 ns, 1.7894 us/op
WorkloadPilot    8: 2048 op, 4123136.00 ns, 2.0133 us/op
WorkloadPilot    9: 4096 op, 9648847.00 ns, 2.3557 us/op
WorkloadPilot   10: 8192 op, 16421418.00 ns, 2.0046 us/op
WorkloadPilot   11: 16384 op, 32691477.00 ns, 1.9953 us/op
WorkloadPilot   12: 32768 op, 62400096.00 ns, 1.9043 us/op
WorkloadPilot   13: 65536 op, 83863503.00 ns, 1.2797 us/op
WorkloadPilot   14: 131072 op, 155171944.00 ns, 1.1839 us/op
WorkloadPilot   15: 262144 op, 311704611.00 ns, 1.1891 us/op
WorkloadPilot   16: 524288 op, 621946758.00 ns, 1.1863 us/op

OverheadWarmup   1: 524288 op, 970560.00 ns, 1.8512 ns/op
OverheadWarmup   2: 524288 op, 977353.00 ns, 1.8642 ns/op
OverheadWarmup   3: 524288 op, 876310.00 ns, 1.6714 ns/op
OverheadWarmup   4: 524288 op, 925617.00 ns, 1.7655 ns/op
OverheadWarmup   5: 524288 op, 878197.00 ns, 1.6750 ns/op

OverheadActual   1: 524288 op, 1459510.00 ns, 2.7838 ns/op
OverheadActual   2: 524288 op, 943566.00 ns, 1.7997 ns/op
OverheadActual   3: 524288 op, 988549.00 ns, 1.8855 ns/op
OverheadActual   4: 524288 op, 996048.00 ns, 1.8998 ns/op
OverheadActual   5: 524288 op, 964437.00 ns, 1.8395 ns/op
OverheadActual   6: 524288 op, 1269701.00 ns, 2.4218 ns/op
OverheadActual   7: 524288 op, 1113194.00 ns, 2.1232 ns/op
OverheadActual   8: 524288 op, 908229.00 ns, 1.7323 ns/op
OverheadActual   9: 524288 op, 892710.00 ns, 1.7027 ns/op
OverheadActual  10: 524288 op, 892650.00 ns, 1.7026 ns/op
OverheadActual  11: 524288 op, 1048690.00 ns, 2.0002 ns/op
OverheadActual  12: 524288 op, 936305.00 ns, 1.7859 ns/op
OverheadActual  13: 524288 op, 941739.00 ns, 1.7962 ns/op
OverheadActual  14: 524288 op, 898728.00 ns, 1.7142 ns/op
OverheadActual  15: 524288 op, 985682.00 ns, 1.8800 ns/op
OverheadActual  16: 524288 op, 989321.00 ns, 1.8870 ns/op
OverheadActual  17: 524288 op, 971941.00 ns, 1.8538 ns/op
OverheadActual  18: 524288 op, 956353.00 ns, 1.8241 ns/op

WorkloadWarmup   1: 524288 op, 622815305.00 ns, 1.1879 us/op

// BeforeActualRun
WorkloadActual   1: 524288 op, 620041025.00 ns, 1.1826 us/op
WorkloadActual   2: 524288 op, 621478926.00 ns, 1.1854 us/op
WorkloadActual   3: 524288 op, 621133715.00 ns, 1.1847 us/op

// AfterActualRun
WorkloadResult   1: 524288 op, 619072836.00 ns, 1.1808 us/op
WorkloadResult   2: 524288 op, 620510737.00 ns, 1.1835 us/op
WorkloadResult   3: 524288 op, 620165526.00 ns, 1.1829 us/op

// AfterAll
// Benchmark Process 584753 has exited with code 0

Mean = 1.182 μs, StdErr = 0.001 μs (0.07%), N = 3, StdDev = 0.001 μs
Min = 1.181 μs, Q1 = 1.182 μs, Median = 1.183 μs, Q3 = 1.183 μs, Max = 1.184 μs
IQR = 0.001 μs, LowerFence = 1.180 μs, UpperFence = 1.185 μs
ConfidenceInterval = [1.156 μs; 1.209 μs] (CI 99.9%), Margin = 0.026 μs (2.21% of Mean)
Skewness = -0.3, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.MergeJoin: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "c6e56315-3549-4710-8bf2-a03a7f4b5102.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.MergeJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 2 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/c6e56315-3549-4710-8bf2-a03a7f4b5102/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-EIHRTP(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 264295.00 ns, 264.2950 us/op
WorkloadJitting  1: 1 op, 1638337.00 ns, 1.6383 ms/op

OverheadJitting  2: 16 op, 411941.00 ns, 25.7463 us/op
WorkloadJitting  2: 16 op, 436773.00 ns, 27.2983 us/op

WorkloadPilot    1: 16 op, 45564.00 ns, 2.8478 us/op
WorkloadPilot    2: 32 op, 42575.00 ns, 1.3305 us/op
WorkloadPilot    3: 64 op, 74819.00 ns, 1.1690 us/op
WorkloadPilot    4: 128 op, 90253.00 ns, 705.1016 ns/op
WorkloadPilot    5: 256 op, 219239.00 ns, 856.4023 ns/op
WorkloadPilot    6: 512 op, 371456.00 ns, 725.5000 ns/op
WorkloadPilot    7: 1024 op, 749978.00 ns, 732.4004 ns/op
WorkloadPilot    8: 2048 op, 1476525.00 ns, 720.9595 ns/op
WorkloadPilot    9: 4096 op, 3164133.00 ns, 772.4934 ns/op
WorkloadPilot   10: 8192 op, 6016287.00 ns, 734.4100 ns/op
WorkloadPilot   11: 16384 op, 12505095.00 ns, 763.2504 ns/op
WorkloadPilot   12: 32768 op, 25060102.00 ns, 764.7736 ns/op
WorkloadPilot   13: 65536 op, 46211537.00 ns, 705.1321 ns/op
WorkloadPilot   14: 131072 op, 71735282.00 ns, 547.2968 ns/op
WorkloadPilot   15: 262144 op, 74959713.00 ns, 285.9486 ns/op
WorkloadPilot   16: 524288 op, 146700837.00 ns, 279.8096 ns/op
WorkloadPilot   17: 1048576 op, 305042983.00 ns, 290.9117 ns/op
WorkloadPilot   18: 2097152 op, 574248966.00 ns, 273.8232 ns/op

OverheadWarmup   1: 2097152 op, 3528686.00 ns, 1.6826 ns/op
OverheadWarmup   2: 2097152 op, 3614129.00 ns, 1.7234 ns/op
OverheadWarmup   3: 2097152 op, 3584755.00 ns, 1.7093 ns/op
OverheadWarmup   4: 2097152 op, 4356844.00 ns, 2.0775 ns/op
OverheadWarmup   5: 2097152 op, 4275595.00 ns, 2.0388 ns/op

OverheadActual   1: 2097152 op, 3926979.00 ns, 1.8725 ns/op
OverheadActual   2: 2097152 op, 4688374.00 ns, 2.2356 ns/op
OverheadActual   3: 2097152 op, 3946838.00 ns, 1.8820 ns/op
OverheadActual   4: 2097152 op, 4507794.00 ns, 2.1495 ns/op
OverheadActual   5: 2097152 op, 3712471.00 ns, 1.7702 ns/op
OverheadActual   6: 2097152 op, 4174148.00 ns, 1.9904 ns/op
OverheadActual   7: 2097152 op, 4188878.00 ns, 1.9974 ns/op
OverheadActual   8: 2097152 op, 4056353.00 ns, 1.9342 ns/op
OverheadActual   9: 2097152 op, 3679138.00 ns, 1.7543 ns/op
OverheadActual  10: 2097152 op, 3989035.00 ns, 1.9021 ns/op
OverheadActual  11: 2097152 op, 4050826.00 ns, 1.9316 ns/op
OverheadActual  12: 2097152 op, 3666611.00 ns, 1.7484 ns/op
OverheadActual  13: 2097152 op, 4175789.00 ns, 1.9912 ns/op
OverheadActual  14: 2097152 op, 3771047.00 ns, 1.7982 ns/op
OverheadActual  15: 2097152 op, 3858769.00 ns, 1.8400 ns/op
OverheadActual  16: 2097152 op, 16065246.00 ns, 7.6605 ns/op
OverheadActual  17: 2097152 op, 4235151.00 ns, 2.0195 ns/op
OverheadActual  18: 2097152 op, 4399336.00 ns, 2.0978 ns/op
OverheadActual  19: 2097152 op, 4355690.00 ns, 2.0770 ns/op
OverheadActual  20: 2097152 op, 4182310.00 ns, 1.9943 ns/op

WorkloadWarmup   1: 2097152 op, 568403719.00 ns, 271.0360 ns/op

// BeforeActualRun
WorkloadActual   1: 2097152 op, 574569526.00 ns, 273.9761 ns/op
WorkloadActual   2: 2097152 op, 568341453.00 ns, 271.0063 ns/op
WorkloadActual   3: 2097152 op, 573517133.00 ns, 273.4743 ns/op

// AfterActualRun
WorkloadResult   1: 2097152 op, 570454275.50 ns, 272.0138 ns/op
WorkloadResult   2: 2097152 op, 564226202.50 ns, 269.0440 ns/op
WorkloadResult   3: 2097152 op, 569401882.50 ns, 271.5120 ns/op

// AfterAll
// Benchmark Process 584767 has exited with code 0

Mean = 270.857 ns, StdErr = 0.918 ns (0.34%), N = 3, StdDev = 1.590 ns
Min = 269.044 ns, Q1 = 270.278 ns, Median = 271.512 ns, Q3 = 271.763 ns, Max = 272.014 ns
IQR = 1.485 ns, LowerFence = 268.051 ns, UpperFence = 273.990 ns
ConfidenceInterval = [241.855 ns; 299.858 ns] (CI 99.9%), Margin = 29.001 ns (10.71% of Mean)
Skewness = -0.34, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "c6e56315-3549-4710-8bf2-a03a7f4b5102.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 3 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/c6e56315-3549-4710-8bf2-a03a7f4b5102/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-TVPKWD(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 335729.00 ns, 335.7290 us/op
WorkloadJitting  1: 1 op, 672790.00 ns, 672.7900 us/op

OverheadJitting  2: 16 op, 267032.00 ns, 16.6895 us/op
WorkloadJitting  2: 16 op, 335285.00 ns, 20.9553 us/op

WorkloadPilot    1: 16 op, 17717.00 ns, 1.1073 us/op
WorkloadPilot    2: 32 op, 2796.00 ns, 87.3750 ns/op
WorkloadPilot    3: 64 op, 4897.00 ns, 76.5156 ns/op
WorkloadPilot    4: 128 op, 8804.00 ns, 68.7812 ns/op
WorkloadPilot    5: 256 op, 15199.00 ns, 59.3711 ns/op
WorkloadPilot    6: 512 op, 64439.00 ns, 125.8574 ns/op
WorkloadPilot    7: 1024 op, 72262.00 ns, 70.5684 ns/op
WorkloadPilot    8: 2048 op, 120471.00 ns, 58.8237 ns/op
WorkloadPilot    9: 4096 op, 232573.00 ns, 56.7805 ns/op
WorkloadPilot   10: 8192 op, 479249.00 ns, 58.5021 ns/op
WorkloadPilot   11: 16384 op, 1084505.00 ns, 66.1929 ns/op
WorkloadPilot   12: 32768 op, 2107824.00 ns, 64.3257 ns/op
WorkloadPilot   13: 65536 op, 3841115.00 ns, 58.6108 ns/op
WorkloadPilot   14: 131072 op, 7508342.00 ns, 57.2841 ns/op
WorkloadPilot   15: 262144 op, 15666056.00 ns, 59.7613 ns/op
WorkloadPilot   16: 524288 op, 30816944.00 ns, 58.7787 ns/op
WorkloadPilot   17: 1048576 op, 60828611.00 ns, 58.0107 ns/op
WorkloadPilot   18: 2097152 op, 117173899.00 ns, 55.8729 ns/op
WorkloadPilot   19: 4194304 op, 232989473.00 ns, 55.5490 ns/op
WorkloadPilot   20: 8388608 op, 460293013.00 ns, 54.8712 ns/op
WorkloadPilot   21: 16777216 op, 918614121.00 ns, 54.7537 ns/op

OverheadWarmup   1: 16777216 op, 30881381.00 ns, 1.8407 ns/op
OverheadWarmup   2: 16777216 op, 31152340.00 ns, 1.8568 ns/op
OverheadWarmup   3: 16777216 op, 30775540.00 ns, 1.8344 ns/op
OverheadWarmup   4: 16777216 op, 30780262.00 ns, 1.8346 ns/op
OverheadWarmup   5: 16777216 op, 30686812.00 ns, 1.8291 ns/op

OverheadActual   1: 16777216 op, 31278484.00 ns, 1.8643 ns/op
OverheadActual   2: 16777216 op, 30743243.00 ns, 1.8324 ns/op
OverheadActual   3: 16777216 op, 31096330.00 ns, 1.8535 ns/op
OverheadActual   4: 16777216 op, 30131376.00 ns, 1.7960 ns/op
OverheadActual   5: 16777216 op, 30785274.00 ns, 1.8349 ns/op
OverheadActual   6: 16777216 op, 30949383.00 ns, 1.8447 ns/op
OverheadActual   7: 16777216 op, 30811368.00 ns, 1.8365 ns/op
OverheadActual   8: 16777216 op, 30297146.00 ns, 1.8059 ns/op
OverheadActual   9: 16777216 op, 30440003.00 ns, 1.8144 ns/op
OverheadActual  10: 16777216 op, 29951378.00 ns, 1.7852 ns/op
OverheadActual  11: 16777216 op, 30606613.00 ns, 1.8243 ns/op
OverheadActual  12: 16777216 op, 30820914.00 ns, 1.8371 ns/op
OverheadActual  13: 16777216 op, 30536506.00 ns, 1.8201 ns/op
OverheadActual  14: 16777216 op, 31187831.00 ns, 1.8589 ns/op
OverheadActual  15: 16777216 op, 30661638.00 ns, 1.8276 ns/op

WorkloadWarmup   1: 16777216 op, 921166925.00 ns, 54.9058 ns/op

// BeforeActualRun
WorkloadActual   1: 16777216 op, 915066048.00 ns, 54.5422 ns/op
WorkloadActual   2: 16777216 op, 915579812.00 ns, 54.5728 ns/op
WorkloadActual   3: 16777216 op, 915400927.00 ns, 54.5621 ns/op

// AfterActualRun
WorkloadResult   1: 16777216 op, 884322805.00 ns, 52.7097 ns/op
WorkloadResult   2: 16777216 op, 884836569.00 ns, 52.7404 ns/op
WorkloadResult   3: 16777216 op, 884657684.00 ns, 52.7297 ns/op

// AfterAll
// Benchmark Process 584783 has exited with code 0

Mean = 52.727 ns, StdErr = 0.009 ns (0.02%), N = 3, StdDev = 0.016 ns
Min = 52.710 ns, Q1 = 52.720 ns, Median = 52.730 ns, Q3 = 52.735 ns, Max = 52.740 ns
IQR = 0.015 ns, LowerFence = 52.697 ns, UpperFence = 52.758 ns
ConfidenceInterval = [52.443 ns; 53.010 ns] (CI 99.9%), Margin = 0.284 ns (0.54% of Mean)
Skewness = -0.19, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop_LinkedList: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "c6e56315-3549-4710-8bf2-a03a7f4b5102.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop_LinkedList" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 4 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/c6e56315-3549-4710-8bf2-a03a7f4b5102/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-CNNIPT(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 260222.00 ns, 260.2220 us/op
WorkloadJitting  1: 1 op, 1226654.00 ns, 1.2267 ms/op

OverheadJitting  2: 16 op, 277626.00 ns, 17.3516 us/op
WorkloadJitting  2: 16 op, 312505.00 ns, 19.5316 us/op

WorkloadPilot    1: 16 op, 5851.00 ns, 365.6875 ns/op
WorkloadPilot    2: 32 op, 9371.00 ns, 292.8438 ns/op
WorkloadPilot    3: 64 op, 19737.00 ns, 308.3906 ns/op
WorkloadPilot    4: 128 op, 33146.00 ns, 258.9531 ns/op
WorkloadPilot    5: 256 op, 67743.00 ns, 264.6211 ns/op
WorkloadPilot    6: 512 op, 132361.00 ns, 258.5176 ns/op
WorkloadPilot    7: 1024 op, 263295.00 ns, 257.1240 ns/op
WorkloadPilot    8: 2048 op, 523414.00 ns, 255.5732 ns/op
WorkloadPilot    9: 4096 op, 1015156.00 ns, 247.8408 ns/op
WorkloadPilot   10: 8192 op, 2003325.00 ns, 244.5465 ns/op
WorkloadPilot   11: 16384 op, 3980301.00 ns, 242.9383 ns/op
WorkloadPilot   12: 32768 op, 7879036.00 ns, 240.4491 ns/op
WorkloadPilot   13: 65536 op, 16163027.00 ns, 246.6282 ns/op
WorkloadPilot   14: 131072 op, 33852372.00 ns, 258.2731 ns/op
WorkloadPilot   15: 262144 op, 62887253.00 ns, 239.8958 ns/op
WorkloadPilot   16: 524288 op, 137674141.00 ns, 262.5926 ns/op
