// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/d39ca21c-2813-4806-885c-cc2a358a93e4
// command took 1.43s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/d39ca21c-2813-4806-885c-cc2a358a93e4
// command took 2.33s and exited with 0
// ***** Done, took 00:00:03 (3.87 sec)   *****
// Found 4 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-WXQRES(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-WXQRES(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-WXQRES(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-WXQRES(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-WXQRES(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "d39ca21c-2813-4806-885c-cc2a358a93e4.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/d39ca21c-2813-4806-885c-cc2a358a93e4/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-ELZIBK(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadActual  13: 512 op, 1754.00 ns, 3.4258 ns/op
OverheadActual  14: 512 op, 2107.00 ns, 4.1152 ns/op
OverheadActual  15: 512 op, 1835.00 ns, 3.5840 ns/op
OverheadActual  16: 512 op, 1969.00 ns, 3.8457 ns/op
OverheadActual  17: 512 op, 2157.00 ns, 4.2129 ns/op
OverheadActual  18: 512 op, 1741.00 ns, 3.4004 ns/op
OverheadActual  19: 512 op, 1862.00 ns, 3.6367 ns/op
OverheadActual  20: 512 op, 1922.00 ns, 3.7539 ns/op

WorkloadWarmup   1: 512 op, 517093017.00 ns, 1.0099 ms/op

// BeforeActualRun
WorkloadActual   1: 512 op, 492511613.00 ns, 961.9367 us/op
WorkloadActual   2: 512 op, 541635347.00 ns, 1.0579 ms/op
WorkloadActual   3: 512 op, 491246547.00 ns, 959.4659 us/op

// AfterActualRun
WorkloadResult   1: 512 op, 492509716.50 ns, 961.9330 us/op
WorkloadResult   2: 512 op, 541633450.50 ns, 1.0579 ms/op
WorkloadResult   3: 512 op, 491244650.50 ns, 959.4622 us/op

// AfterAll
// Benchmark Process 513363 has exited with code 0

Mean = 993.091 μs, StdErr = 32.401 μs (3.26%), N = 3, StdDev = 56.121 μs
Min = 959.462 μs, Q1 = 960.698 μs, Median = 961.933 μs, Q3 = 1,009.905 μs, Max = 1,057.878 μs
IQR = 49.208 μs, LowerFence = 886.886 μs, UpperFence = 1,083.717 μs
ConfidenceInterval = [-30.758 μs; 2,016.940 μs] (CI 99.9%), Margin = 1,023.849 μs (103.10% of Mean)
Skewness = 0.38, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.MergeJoin: Job-WXQRES(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "d39ca21c-2813-4806-885c-cc2a358a93e4.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.MergeJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/d39ca21c-2813-4806-885c-cc2a358a93e4/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-KTPIHV(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 279348.00 ns, 279.3480 us/op
WorkloadJitting  1: 1 op, 5719223.00 ns, 5.7192 ms/op

OverheadJitting  2: 16 op, 357216.00 ns, 22.3260 us/op
WorkloadJitting  2: 16 op, 54169350.00 ns, 3.3856 ms/op

WorkloadPilot    1: 16 op, 56817643.00 ns, 3.5511 ms/op
WorkloadPilot    2: 32 op, 97059663.00 ns, 3.0331 ms/op
WorkloadPilot    3: 64 op, 150263831.00 ns, 2.3479 ms/op
WorkloadPilot    4: 128 op, 184661862.00 ns, 1.4427 ms/op
WorkloadPilot    5: 256 op, 316737617.00 ns, 1.2373 ms/op
WorkloadPilot    6: 512 op, 627474410.00 ns, 1.2255 ms/op

OverheadWarmup   1: 512 op, 8063.00 ns, 15.7480 ns/op
OverheadWarmup   2: 512 op, 1821.00 ns, 3.5566 ns/op
OverheadWarmup   3: 512 op, 1780.00 ns, 3.4766 ns/op
OverheadWarmup   4: 512 op, 1743.00 ns, 3.4043 ns/op
OverheadWarmup   5: 512 op, 1789.00 ns, 3.4941 ns/op
OverheadWarmup   6: 512 op, 2003.00 ns, 3.9121 ns/op
OverheadWarmup   7: 512 op, 1776.00 ns, 3.4688 ns/op
OverheadWarmup   8: 512 op, 2218.00 ns, 4.3320 ns/op
OverheadWarmup   9: 512 op, 2085.00 ns, 4.0723 ns/op

OverheadActual   1: 512 op, 1999.00 ns, 3.9043 ns/op
OverheadActual   2: 512 op, 1952.00 ns, 3.8125 ns/op
OverheadActual   3: 512 op, 1825.00 ns, 3.5645 ns/op
OverheadActual   4: 512 op, 2182.00 ns, 4.2617 ns/op
OverheadActual   5: 512 op, 1945.00 ns, 3.7988 ns/op
OverheadActual   6: 512 op, 2027.00 ns, 3.9590 ns/op
OverheadActual   7: 512 op, 1755.00 ns, 3.4277 ns/op
OverheadActual   8: 512 op, 1626.00 ns, 3.1758 ns/op
OverheadActual   9: 512 op, 1903.00 ns, 3.7168 ns/op
OverheadActual  10: 512 op, 1723.00 ns, 3.3652 ns/op
OverheadActual  11: 512 op, 1943.00 ns, 3.7949 ns/op
OverheadActual  12: 512 op, 1786.00 ns, 3.4883 ns/op
OverheadActual  13: 512 op, 1746.00 ns, 3.4102 ns/op
OverheadActual  14: 512 op, 2109.00 ns, 4.1191 ns/op
OverheadActual  15: 512 op, 1712.00 ns, 3.3438 ns/op
OverheadActual  16: 512 op, 2035.00 ns, 3.9746 ns/op
OverheadActual  17: 512 op, 1775.00 ns, 3.4668 ns/op
OverheadActual  18: 512 op, 1844.00 ns, 3.6016 ns/op
OverheadActual  19: 512 op, 2323.00 ns, 4.5371 ns/op
OverheadActual  20: 512 op, 1674.00 ns, 3.2695 ns/op

WorkloadWarmup   1: 512 op, 624129026.00 ns, 1.2190 ms/op

// BeforeActualRun
WorkloadActual   1: 512 op, 654127767.00 ns, 1.2776 ms/op
WorkloadActual   2: 512 op, 629066296.00 ns, 1.2286 ms/op
WorkloadActual   3: 512 op, 617703643.00 ns, 1.2065 ms/op

// AfterActualRun
WorkloadResult   1: 512 op, 654125893.50 ns, 1.2776 ms/op
WorkloadResult   2: 512 op, 629064422.50 ns, 1.2286 ms/op
WorkloadResult   3: 512 op, 617701769.50 ns, 1.2064 ms/op

// AfterAll
// Benchmark Process 513382 has exited with code 0

Mean = 1.238 ms, StdErr = 0.021 ms (1.70%), N = 3, StdDev = 0.036 ms
Min = 1.206 ms, Q1 = 1.218 ms, Median = 1.229 ms, Q3 = 1.253 ms, Max = 1.278 ms
IQR = 0.036 ms, LowerFence = 1.164 ms, UpperFence = 1.306 ms
ConfidenceInterval = [0.574 ms; 1.902 ms] (CI 99.9%), Margin = 0.664 ms (53.66% of Mean)
Skewness = 0.23, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-WXQRES(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "d39ca21c-2813-4806-885c-cc2a358a93e4.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 2 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/d39ca21c-2813-4806-885c-cc2a358a93e4/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-NOXCFD(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 284917.00 ns, 284.9170 us/op
WorkloadJitting  1: 1 op, 20729560.00 ns, 20.7296 ms/op

OverheadJitting  2: 16 op, 350265.00 ns, 21.8916 us/op
WorkloadJitting  2: 16 op, 310322813.00 ns, 19.3952 ms/op

WorkloadPilot    1: 16 op, 332532281.00 ns, 20.7833 ms/op
WorkloadPilot    2: 32 op, 618777888.00 ns, 19.3368 ms/op

OverheadWarmup   1: 32 op, 19283.00 ns, 602.5938 ns/op
OverheadWarmup   2: 32 op, 663.00 ns, 20.7188 ns/op
OverheadWarmup   3: 32 op, 917.00 ns, 28.6562 ns/op
OverheadWarmup   4: 32 op, 749.00 ns, 23.4062 ns/op
OverheadWarmup   5: 32 op, 760.00 ns, 23.7500 ns/op
OverheadWarmup   6: 32 op, 947.00 ns, 29.5938 ns/op
OverheadWarmup   7: 32 op, 834.00 ns, 26.0625 ns/op

OverheadActual   1: 32 op, 878.00 ns, 27.4375 ns/op
OverheadActual   2: 32 op, 797.00 ns, 24.9062 ns/op
OverheadActual   3: 32 op, 821.00 ns, 25.6562 ns/op
OverheadActual   4: 32 op, 871.00 ns, 27.2188 ns/op
OverheadActual   5: 32 op, 915.00 ns, 28.5938 ns/op
OverheadActual   6: 32 op, 3173.00 ns, 99.1562 ns/op
OverheadActual   7: 32 op, 714.00 ns, 22.3125 ns/op
OverheadActual   8: 32 op, 960.00 ns, 30.0000 ns/op
OverheadActual   9: 32 op, 919.00 ns, 28.7188 ns/op
OverheadActual  10: 32 op, 941.00 ns, 29.4062 ns/op
OverheadActual  11: 32 op, 663.00 ns, 20.7188 ns/op
OverheadActual  12: 32 op, 3312.00 ns, 103.5000 ns/op
OverheadActual  13: 32 op, 912.00 ns, 28.5000 ns/op
OverheadActual  14: 32 op, 778.00 ns, 24.3125 ns/op
OverheadActual  15: 32 op, 885.00 ns, 27.6562 ns/op
OverheadActual  16: 32 op, 811.00 ns, 25.3438 ns/op
OverheadActual  17: 32 op, 825.00 ns, 25.7812 ns/op
OverheadActual  18: 32 op, 851.00 ns, 26.5938 ns/op
OverheadActual  19: 32 op, 906.00 ns, 28.3125 ns/op
OverheadActual  20: 32 op, 820.00 ns, 25.6250 ns/op

WorkloadWarmup   1: 32 op, 653957098.00 ns, 20.4362 ms/op

// BeforeActualRun
WorkloadActual   1: 32 op, 623588563.00 ns, 19.4871 ms/op
WorkloadActual   2: 32 op, 617413970.00 ns, 19.2942 ms/op
WorkloadActual   3: 32 op, 633954802.00 ns, 19.8111 ms/op

// AfterActualRun
WorkloadResult   1: 32 op, 623587688.50 ns, 19.4871 ms/op
WorkloadResult   2: 32 op, 617413095.50 ns, 19.2942 ms/op
WorkloadResult   3: 32 op, 633953927.50 ns, 19.8111 ms/op

// AfterAll
// Benchmark Process 513403 has exited with code 0

Mean = 19.531 ms, StdErr = 0.151 ms (0.77%), N = 3, StdDev = 0.261 ms
Min = 19.294 ms, Q1 = 19.391 ms, Median = 19.487 ms, Q3 = 19.649 ms, Max = 19.811 ms
IQR = 0.258 ms, LowerFence = 19.003 ms, UpperFence = 20.037 ms
ConfidenceInterval = [14.765 ms; 24.296 ms] (CI 99.9%), Margin = 4.765 ms (24.40% of Mean)
Skewness = 0.16, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.DataLoad: Job-WXQRES(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "d39ca21c-2813-4806-885c-cc2a358a93e4.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.DataLoad" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 3 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/d39ca21c-2813-4806-885c-cc2a358a93e4/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-VLWPDJ(IterationCount=3, LaunchCount=1, WarmupCount=1)


System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation.
 ---> Npgsql.NpgsqlException (0x80004005): Unknown message code: 0
   at Npgsql.Util.PGUtil.ValidateBackendMessageCode(BackendMessageCode code)
   at Npgsql.NpgsqlConnector.<ReadMessage>g__ReadMessageLong|200_0(NpgsqlConnector connector, Boolean async, DataRowLoadingMode dataRowLoadingMode, Boolean readingNotifications, Boolean isReadingPrependedMessage)
   at Npgsql.NpgsqlDataReader.<ReadMessage>g__ReadMessageSequential|45_0(NpgsqlConnector connector, Boolean async)
   at Npgsql.NpgsqlDataReader.Read(Boolean async, CancellationToken cancellationToken)
   at Npgsql.NpgsqlDataReader.Read()
   at Dapper.SqlMapper.QueryImpl[T](IDbConnection cnn, CommandDefinition command, Type effectiveType)+MoveNext() in /_/Dapper/SqlMapper.cs:line 1100
   at System.Collections.Generic.List`1..ctor(IEnumerable`1 collection)
   at System.Linq.Enumerable.ToList[TSource](IEnumerable`1 source)
   at Dapper.SqlMapper.Query[T](IDbConnection cnn, String sql, Object param, IDbTransaction transaction, Boolean buffered, Nullable`1 commandTimeout, Nullable`1 commandType) in /_/Dapper/SqlMapper.cs:line 725
   at CollectionsBenchmark.GetMostActiveVisistors.GlobalSetup() in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/Program.cs:line 62
   at BenchmarkDotNet.Engines.EngineFactory.CreateReadyToRun(EngineParameters engineParameters)
   at BenchmarkDotNet.Autogenerated.Runnable_3.Run(IHost host, String benchmarkName) in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/d39ca21c-2813-4806-885c-cc2a358a93e4/d39ca21c-2813-4806-885c-cc2a358a93e4.notcs:line 2370
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle.InvokeMethod(Object target, Object[] arguments, Signature sig, Boolean constructor, Boolean wrapExceptions)
   at System.Reflection.RuntimeMethodInfo.Invoke(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo culture)
   at System.Reflection.MethodBase.Invoke(Object obj, Object[] parameters)
   at BenchmarkDotNet.Autogenerated.UniqueProgramName.AfterAssemblyLoadingAttached(String[] args) in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/d39ca21c-2813-4806-885c-cc2a358a93e4/d39ca21c-2813-4806-885c-cc2a358a93e4.notcs:line 52
// AfterAll
ExitCode != 0
// Benchmark Process 513421 has exited with code 255
No more Benchmark runs will be launched as NO measurements were obtained from the previous run!


// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.csv
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report-github.md
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.html

// * Detailed results *
GetMostActiveVisistors.LinqJoin: Job-WXQRES(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 993.091 μs, StdErr = 32.401 μs (3.26%), N = 3, StdDev = 56.121 μs
Min = 959.462 μs, Q1 = 960.698 μs, Median = 961.933 μs, Q3 = 1,009.905 μs, Max = 1,057.878 μs
IQR = 49.208 μs, LowerFence = 886.886 μs, UpperFence = 1,083.717 μs
ConfidenceInterval = [-30.758 μs; 2,016.940 μs] (CI 99.9%), Margin = 1,023.849 μs (103.10% of Mean)
Skewness = 0.38, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[957.598 μs ; 1,059.742 μs) | @@@
---------------------------------------------------

GetMostActiveVisistors.MergeJoin: Job-WXQRES(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 1.238 ms, StdErr = 0.021 ms (1.70%), N = 3, StdDev = 0.036 ms
Min = 1.206 ms, Q1 = 1.218 ms, Median = 1.229 ms, Q3 = 1.253 ms, Max = 1.278 ms
IQR = 0.036 ms, LowerFence = 1.164 ms, UpperFence = 1.306 ms
ConfidenceInterval = [0.574 ms; 1.902 ms] (CI 99.9%), Margin = 0.664 ms (53.66% of Mean)
Skewness = 0.23, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[1.184 ms ; 1.251 ms) | @@
[1.251 ms ; 1.311 ms) | @
---------------------------------------------------

GetMostActiveVisistors.NestedLoop: Job-WXQRES(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 19.531 ms, StdErr = 0.151 ms (0.77%), N = 3, StdDev = 0.261 ms
Min = 19.294 ms, Q1 = 19.391 ms, Median = 19.487 ms, Q3 = 19.649 ms, Max = 19.811 ms
IQR = 0.258 ms, LowerFence = 19.003 ms, UpperFence = 20.037 ms
ConfidenceInterval = [14.765 ms; 24.296 ms] (CI 99.9%), Margin = 4.765 ms (24.40% of Mean)
Skewness = 0.16, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[19.153 ms ; 19.628 ms) | @@
[19.628 ms ; 20.049 ms) | @
---------------------------------------------------

GetMostActiveVisistors.DataLoad: Job-WXQRES(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = ; GC = 
There are not any results runs

// * Summary *

BenchmarkDotNet=v0.12.1, OS=ubuntu 20.04
Intel Core i5-6500 CPU 3.20GHz (Skylake), 1 CPU, 4 logical and 4 physical cores
.NET Core SDK=3.1.403
  [Host]     : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
  Job-WXQRES : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT

IterationCount=3  LaunchCount=1  WarmupCount=1  

|     Method |        Mean |      Error |    StdDev |
|----------- |------------:|-----------:|----------:|
|   LinqJoin |    993.1 μs | 1,023.8 μs |  56.12 μs |
|  MergeJoin |  1,237.6 μs |   664.1 μs |  36.40 μs |
| NestedLoop | 19,530.8 μs | 4,765.3 μs | 261.20 μs |
|   DataLoad |          NA |         NA |        NA |

Benchmarks with issues:
  GetMostActiveVisistors.DataLoad: Job-WXQRES(IterationCount=3, LaunchCount=1, WarmupCount=1)

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 μs   : 1 Microsecond (0.000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:14 (14.56 sec), executed benchmarks: 4

Global total time: 00:00:18 (18.43 sec), executed benchmarks: 4
// * Artifacts cleanup *
