// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/bedc6ae2-9622-4214-9445-d73baa728dbe
// command took 1.42s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/bedc6ae2-9622-4214-9445-d73baa728dbe
// command took 2.3s and exited with 0
// ***** Done, took 00:00:03 (3.83 sec)   *****
// Found 4 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-KXGKXE(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-KXGKXE(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-KXGKXE(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-KXGKXE(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-KXGKXE(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "bedc6ae2-9622-4214-9445-d73baa728dbe.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/bedc6ae2-9622-4214-9445-d73baa728dbe/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-ZDUKRE(IterationCount=3, LaunchCount=1, WarmupCount=1)

Min = 169.493 μs, Q1 = 170.485 μs, Median = 171.478 μs, Q3 = 171.788 μs, Max = 172.098 μs
IQR = 1.303 μs, LowerFence = 168.532 μs, UpperFence = 173.742 μs
ConfidenceInterval = [146.199 μs; 195.847 μs] (CI 99.9%), Margin = 24.824 μs (14.51% of Mean)
Skewness = -0.3, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.MergeJoin: Job-KXGKXE(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "bedc6ae2-9622-4214-9445-d73baa728dbe.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.MergeJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/bedc6ae2-9622-4214-9445-d73baa728dbe/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-MABLJV(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 364078.00 ns, 364.0780 us/op
WorkloadJitting  1: 1 op, 2707301.00 ns, 2.7073 ms/op

OverheadJitting  2: 16 op, 322480.00 ns, 20.1550 us/op
WorkloadJitting  2: 16 op, 9050899.00 ns, 565.6812 us/op

WorkloadPilot    1: 16 op, 7907072.00 ns, 494.1920 us/op
WorkloadPilot    2: 32 op, 16000189.00 ns, 500.0059 us/op
WorkloadPilot    3: 64 op, 29815023.00 ns, 465.8597 us/op
WorkloadPilot    4: 128 op, 53673579.00 ns, 419.3248 us/op
WorkloadPilot    5: 256 op, 46538132.00 ns, 181.7896 us/op
WorkloadPilot    6: 512 op, 91343044.00 ns, 178.4044 us/op
WorkloadPilot    7: 1024 op, 182709737.00 ns, 178.4275 us/op
WorkloadPilot    8: 2048 op, 357391475.00 ns, 174.5076 us/op
WorkloadPilot    9: 4096 op, 727092336.00 ns, 177.5128 us/op

OverheadWarmup   1: 4096 op, 26633.00 ns, 6.5022 ns/op
OverheadWarmup   2: 4096 op, 7507.00 ns, 1.8328 ns/op
OverheadWarmup   3: 4096 op, 7113.00 ns, 1.7366 ns/op
OverheadWarmup   4: 4096 op, 7189.00 ns, 1.7551 ns/op
OverheadWarmup   5: 4096 op, 7241.00 ns, 1.7678 ns/op
OverheadWarmup   6: 4096 op, 7070.00 ns, 1.7261 ns/op
OverheadWarmup   7: 4096 op, 7439.00 ns, 1.8162 ns/op
OverheadWarmup   8: 4096 op, 7294.00 ns, 1.7808 ns/op

OverheadActual   1: 4096 op, 7612.00 ns, 1.8584 ns/op
OverheadActual   2: 4096 op, 7758.00 ns, 1.8940 ns/op
OverheadActual   3: 4096 op, 7949.00 ns, 1.9407 ns/op
OverheadActual   4: 4096 op, 7768.00 ns, 1.8965 ns/op
OverheadActual   5: 4096 op, 7799.00 ns, 1.9041 ns/op
OverheadActual   6: 4096 op, 11403.00 ns, 2.7839 ns/op
OverheadActual   7: 4096 op, 8054.00 ns, 1.9663 ns/op
OverheadActual   8: 4096 op, 8405.00 ns, 2.0520 ns/op
OverheadActual   9: 4096 op, 8095.00 ns, 1.9763 ns/op
OverheadActual  10: 4096 op, 7842.00 ns, 1.9146 ns/op
OverheadActual  11: 4096 op, 7769.00 ns, 1.8967 ns/op
OverheadActual  12: 4096 op, 7829.00 ns, 1.9114 ns/op
OverheadActual  13: 4096 op, 7793.00 ns, 1.9026 ns/op
OverheadActual  14: 4096 op, 8816.00 ns, 2.1523 ns/op
OverheadActual  15: 4096 op, 8846.00 ns, 2.1597 ns/op
OverheadActual  16: 4096 op, 8813.00 ns, 2.1516 ns/op
OverheadActual  17: 4096 op, 9050.00 ns, 2.2095 ns/op
OverheadActual  18: 4096 op, 8844.00 ns, 2.1592 ns/op
OverheadActual  19: 4096 op, 8652.00 ns, 2.1123 ns/op
OverheadActual  20: 4096 op, 8623.00 ns, 2.1052 ns/op

WorkloadWarmup   1: 4096 op, 730449657.00 ns, 178.3324 us/op

// BeforeActualRun
WorkloadActual   1: 4096 op, 728412643.00 ns, 177.8351 us/op
WorkloadActual   2: 4096 op, 716591049.00 ns, 174.9490 us/op
WorkloadActual   3: 4096 op, 731760137.00 ns, 178.6524 us/op

// AfterActualRun
WorkloadResult   1: 4096 op, 728404568.50 ns, 177.8331 us/op
WorkloadResult   2: 4096 op, 716582974.50 ns, 174.9470 us/op
WorkloadResult   3: 4096 op, 731752062.50 ns, 178.6504 us/op

// AfterAll
// Benchmark Process 181152 has exited with code 0

Mean = 177.144 μs, StdErr = 1.123 μs (0.63%), N = 3, StdDev = 1.946 μs
Min = 174.947 μs, Q1 = 176.390 μs, Median = 177.833 μs, Q3 = 178.242 μs, Max = 178.650 μs
IQR = 1.852 μs, LowerFence = 173.613 μs, UpperFence = 181.019 μs
ConfidenceInterval = [141.648 μs; 212.639 μs] (CI 99.9%), Margin = 35.495 μs (20.04% of Mean)
Skewness = -0.31, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-KXGKXE(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "bedc6ae2-9622-4214-9445-d73baa728dbe.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 2 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/bedc6ae2-9622-4214-9445-d73baa728dbe/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-MSBWRB(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 344025.00 ns, 344.0250 us/op
WorkloadJitting  1: 1 op, 1491550.00 ns, 1.4915 ms/op

OverheadJitting  2: 16 op, 306648.00 ns, 19.1655 us/op
WorkloadJitting  2: 16 op, 9799059.00 ns, 612.4412 us/op

WorkloadPilot    1: 16 op, 10430064.00 ns, 651.8790 us/op
WorkloadPilot    2: 32 op, 20589243.00 ns, 643.4138 us/op
WorkloadPilot    3: 64 op, 42555343.00 ns, 664.9272 us/op
WorkloadPilot    4: 128 op, 81040323.00 ns, 633.1275 us/op
WorkloadPilot    5: 256 op, 158319253.00 ns, 618.4346 us/op
WorkloadPilot    6: 512 op, 311637663.00 ns, 608.6673 us/op
WorkloadPilot    7: 1024 op, 645324892.00 ns, 630.2001 us/op

OverheadWarmup   1: 1024 op, 9269.00 ns, 9.0518 ns/op
OverheadWarmup   2: 1024 op, 2797.00 ns, 2.7314 ns/op
OverheadWarmup   3: 1024 op, 2735.00 ns, 2.6709 ns/op
OverheadWarmup   4: 1024 op, 2774.00 ns, 2.7090 ns/op
OverheadWarmup   5: 1024 op, 3008.00 ns, 2.9375 ns/op
OverheadWarmup   6: 1024 op, 3010.00 ns, 2.9395 ns/op
OverheadWarmup   7: 1024 op, 2972.00 ns, 2.9023 ns/op
OverheadWarmup   8: 1024 op, 2887.00 ns, 2.8193 ns/op
OverheadWarmup   9: 1024 op, 2867.00 ns, 2.7998 ns/op
OverheadWarmup  10: 1024 op, 2854.00 ns, 2.7871 ns/op

OverheadActual   1: 1024 op, 2808.00 ns, 2.7422 ns/op
OverheadActual   2: 1024 op, 2735.00 ns, 2.6709 ns/op
OverheadActual   3: 1024 op, 2854.00 ns, 2.7871 ns/op
OverheadActual   4: 1024 op, 2902.00 ns, 2.8340 ns/op
OverheadActual   5: 1024 op, 2778.00 ns, 2.7129 ns/op
OverheadActual   6: 1024 op, 2895.00 ns, 2.8271 ns/op
OverheadActual   7: 1024 op, 2986.00 ns, 2.9160 ns/op
OverheadActual   8: 1024 op, 2898.00 ns, 2.8301 ns/op
OverheadActual   9: 1024 op, 2967.00 ns, 2.8975 ns/op
OverheadActual  10: 1024 op, 2881.00 ns, 2.8135 ns/op
OverheadActual  11: 1024 op, 2928.00 ns, 2.8594 ns/op
OverheadActual  12: 1024 op, 2834.00 ns, 2.7676 ns/op
OverheadActual  13: 1024 op, 3042.00 ns, 2.9707 ns/op
OverheadActual  14: 1024 op, 2953.00 ns, 2.8838 ns/op
OverheadActual  15: 1024 op, 2974.00 ns, 2.9043 ns/op

WorkloadWarmup   1: 1024 op, 678010804.00 ns, 662.1199 us/op

// BeforeActualRun
WorkloadActual   1: 1024 op, 625715376.00 ns, 611.0502 us/op
WorkloadActual   2: 1024 op, 632959303.00 ns, 618.1243 us/op
WorkloadActual   3: 1024 op, 685388439.00 ns, 669.3246 us/op

// AfterActualRun
WorkloadResult   1: 1024 op, 625712478.00 ns, 611.0473 us/op
WorkloadResult   2: 1024 op, 632956405.00 ns, 618.1215 us/op
WorkloadResult   3: 1024 op, 685385541.00 ns, 669.3218 us/op

// AfterAll
// Benchmark Process 181173 has exited with code 0

Mean = 632.830 μs, StdErr = 18.360 μs (2.90%), N = 3, StdDev = 31.800 μs
Min = 611.047 μs, Q1 = 614.584 μs, Median = 618.121 μs, Q3 = 643.722 μs, Max = 669.322 μs
IQR = 29.137 μs, LowerFence = 570.879 μs, UpperFence = 687.428 μs
ConfidenceInterval = [52.680 μs; 1,212.980 μs] (CI 99.9%), Margin = 580.150 μs (91.68% of Mean)
Skewness = 0.36, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.DataLoad: Job-KXGKXE(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "bedc6ae2-9622-4214-9445-d73baa728dbe.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.DataLoad" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 3 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/bedc6ae2-9622-4214-9445-d73baa728dbe/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-MCVRCL(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 285029.00 ns, 285.0290 us/op
WorkloadJitting  1: 1 op, 12928878.00 ns, 12.9289 ms/op

OverheadJitting  2: 16 op, 334541.00 ns, 20.9088 us/op
WorkloadJitting  2: 16 op, 213202341.00 ns, 13.3251 ms/op

WorkloadPilot    1: 16 op, 193524596.00 ns, 12.0953 ms/op
WorkloadPilot    2: 32 op, 237448462.00 ns, 7.4203 ms/op
WorkloadPilot    3: 64 op, 223429130.00 ns, 3.4911 ms/op
WorkloadPilot    4: 128 op, 454392377.00 ns, 3.5499 ms/op
WorkloadPilot    5: 256 op, 898588607.00 ns, 3.5101 ms/op

OverheadWarmup   1: 256 op, 4846.00 ns, 18.9297 ns/op
OverheadWarmup   2: 256 op, 889.00 ns, 3.4727 ns/op
OverheadWarmup   3: 256 op, 1000.00 ns, 3.9062 ns/op
OverheadWarmup   4: 256 op, 1050.00 ns, 4.1016 ns/op
OverheadWarmup   5: 256 op, 1055.00 ns, 4.1211 ns/op
OverheadWarmup   6: 256 op, 987.00 ns, 3.8555 ns/op
OverheadWarmup   7: 256 op, 861.00 ns, 3.3633 ns/op
OverheadWarmup   8: 256 op, 827.00 ns, 3.2305 ns/op
OverheadWarmup   9: 256 op, 963.00 ns, 3.7617 ns/op
OverheadWarmup  10: 256 op, 905.00 ns, 3.5352 ns/op

OverheadActual   1: 256 op, 1060.00 ns, 4.1406 ns/op
OverheadActual   2: 256 op, 1090.00 ns, 4.2578 ns/op
OverheadActual   3: 256 op, 1180.00 ns, 4.6094 ns/op
OverheadActual   4: 256 op, 1159.00 ns, 4.5273 ns/op
OverheadActual   5: 256 op, 1024.00 ns, 4.0000 ns/op
OverheadActual   6: 256 op, 1089.00 ns, 4.2539 ns/op
OverheadActual   7: 256 op, 948.00 ns, 3.7031 ns/op
OverheadActual   8: 256 op, 893.00 ns, 3.4883 ns/op
OverheadActual   9: 256 op, 832.00 ns, 3.2500 ns/op
OverheadActual  10: 256 op, 791.00 ns, 3.0898 ns/op
OverheadActual  11: 256 op, 911.00 ns, 3.5586 ns/op
OverheadActual  12: 256 op, 1145.00 ns, 4.4727 ns/op
OverheadActual  13: 256 op, 1292.00 ns, 5.0469 ns/op
OverheadActual  14: 256 op, 1002.00 ns, 3.9141 ns/op
OverheadActual  15: 256 op, 997.00 ns, 3.8945 ns/op
OverheadActual  16: 256 op, 1137.00 ns, 4.4414 ns/op
OverheadActual  17: 256 op, 964.00 ns, 3.7656 ns/op
OverheadActual  18: 256 op, 982.00 ns, 3.8359 ns/op
OverheadActual  19: 256 op, 920.00 ns, 3.5938 ns/op
OverheadActual  20: 256 op, 1029.00 ns, 4.0195 ns/op

WorkloadWarmup   1: 256 op, 895421500.00 ns, 3.4977 ms/op

// BeforeActualRun
WorkloadActual   1: 256 op, 913877005.00 ns, 3.5698 ms/op
WorkloadActual   2: 256 op, 919118212.00 ns, 3.5903 ms/op
WorkloadActual   3: 256 op, 891514214.00 ns, 3.4825 ms/op

// AfterActualRun
WorkloadResult   1: 256 op, 913875992.00 ns, 3.5698 ms/op
WorkloadResult   2: 256 op, 919117199.00 ns, 3.5903 ms/op
WorkloadResult   3: 256 op, 891513201.00 ns, 3.4825 ms/op

// AfterAll
// Benchmark Process 181192 has exited with code 0

Mean = 3.548 ms, StdErr = 0.033 ms (0.93%), N = 3, StdDev = 0.057 ms
Min = 3.482 ms, Q1 = 3.526 ms, Median = 3.570 ms, Q3 = 3.580 ms, Max = 3.590 ms
IQR = 0.054 ms, LowerFence = 3.445 ms, UpperFence = 3.661 ms
ConfidenceInterval = [2.503 ms; 4.592 ms] (CI 99.9%), Margin = 1.045 ms (29.45% of Mean)
Skewness = -0.33, Kurtosis = 0.67, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.csv
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report-github.md
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.html

// * Detailed results *
GetMostActiveVisistors.LinqJoin: Job-KXGKXE(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 171.023 μs, StdErr = 0.786 μs (0.46%), N = 3, StdDev = 1.361 μs
Min = 169.493 μs, Q1 = 170.485 μs, Median = 171.478 μs, Q3 = 171.788 μs, Max = 172.098 μs
IQR = 1.303 μs, LowerFence = 168.532 μs, UpperFence = 173.742 μs
ConfidenceInterval = [146.199 μs; 195.847 μs] (CI 99.9%), Margin = 24.824 μs (14.51% of Mean)
Skewness = -0.3, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[168.255 μs ; 173.337 μs) | @@@
---------------------------------------------------

GetMostActiveVisistors.MergeJoin: Job-KXGKXE(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 177.144 μs, StdErr = 1.123 μs (0.63%), N = 3, StdDev = 1.946 μs
Min = 174.947 μs, Q1 = 176.390 μs, Median = 177.833 μs, Q3 = 178.242 μs, Max = 178.650 μs
IQR = 1.852 μs, LowerFence = 173.613 μs, UpperFence = 181.019 μs
ConfidenceInterval = [141.648 μs; 212.639 μs] (CI 99.9%), Margin = 35.495 μs (20.04% of Mean)
Skewness = -0.31, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[173.176 μs ; 180.421 μs) | @@@
---------------------------------------------------

GetMostActiveVisistors.NestedLoop: Job-KXGKXE(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 632.830 μs, StdErr = 18.360 μs (2.90%), N = 3, StdDev = 31.800 μs
Min = 611.047 μs, Q1 = 614.584 μs, Median = 618.121 μs, Q3 = 643.722 μs, Max = 669.322 μs
IQR = 29.137 μs, LowerFence = 570.879 μs, UpperFence = 687.428 μs
ConfidenceInterval = [52.680 μs; 1,212.980 μs] (CI 99.9%), Margin = 580.150 μs (91.68% of Mean)
Skewness = 0.36, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[582.108 μs ; 643.524 μs) | @@
[643.524 μs ; 698.261 μs) | @
---------------------------------------------------

GetMostActiveVisistors.DataLoad: Job-KXGKXE(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 3.548 ms, StdErr = 0.033 ms (0.93%), N = 3, StdDev = 0.057 ms
Min = 3.482 ms, Q1 = 3.526 ms, Median = 3.570 ms, Q3 = 3.580 ms, Max = 3.590 ms
IQR = 0.054 ms, LowerFence = 3.445 ms, UpperFence = 3.661 ms
ConfidenceInterval = [2.503 ms; 4.592 ms] (CI 99.9%), Margin = 1.045 ms (29.45% of Mean)
Skewness = -0.33, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[3.430 ms ; 3.528 ms) | @
[3.528 ms ; 3.642 ms) | @@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.12.1, OS=ubuntu 20.04
Intel Core i5-6500 CPU 3.20GHz (Skylake), 1 CPU, 4 logical and 4 physical cores
.NET Core SDK=3.1.403
  [Host]     : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
  Job-KXGKXE : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT

IterationCount=3  LaunchCount=1  WarmupCount=1  

|     Method |       Mean |       Error |   StdDev |
|----------- |-----------:|------------:|---------:|
|   LinqJoin |   171.0 μs |    24.82 μs |  1.36 μs |
|  MergeJoin |   177.1 μs |    35.50 μs |  1.95 μs |
| NestedLoop |   632.8 μs |   580.15 μs | 31.80 μs |
|   DataLoad | 3,547.5 μs | 1,044.76 μs | 57.27 μs |

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 μs   : 1 Microsecond (0.000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:21 (21.39 sec), executed benchmarks: 4

Global total time: 00:00:25 (25.22 sec), executed benchmarks: 4
// * Artifacts cleanup *
