// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/9aef5331-0864-4def-a709-60859d924cc5
// command took 1.35s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/9aef5331-0864-4def-a709-60859d924cc5
// command took 2.17s and exited with 0
// ***** Done, took 00:00:03 (3.62 sec)   *****
// Found 2 benchmarks:
//   GetMostActiveVisistors.NestedLoop: Job-AAJBLA(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop_LinkedList: Job-AAJBLA(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-AAJBLA(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "9aef5331-0864-4def-a709-60859d924cc5.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/9aef5331-0864-4def-a709-60859d924cc5/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-OZJCYF(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadActual  13: 16777216 op, 31516372.00 ns, 1.8785 ns/op
OverheadActual  14: 16777216 op, 31123722.00 ns, 1.8551 ns/op
OverheadActual  15: 16777216 op, 30958435.00 ns, 1.8453 ns/op

WorkloadWarmup   1: 16777216 op, 824179458.00 ns, 49.1249 ns/op

// BeforeActualRun
WorkloadActual   1: 16777216 op, 827631144.00 ns, 49.3307 ns/op
WorkloadActual   2: 16777216 op, 846020930.00 ns, 50.4268 ns/op
WorkloadActual   3: 16777216 op, 827449901.00 ns, 49.3199 ns/op

// AfterActualRun
WorkloadResult   1: 16777216 op, 796507422.00 ns, 47.4755 ns/op
WorkloadResult   2: 16777216 op, 814897208.00 ns, 48.5717 ns/op
WorkloadResult   3: 16777216 op, 796326179.00 ns, 47.4647 ns/op

// AfterAll
// Benchmark Process 585535 has exited with code 0

Mean = 47.837 ns, StdErr = 0.367 ns (0.77%), N = 3, StdDev = 0.636 ns
Min = 47.465 ns, Q1 = 47.470 ns, Median = 47.476 ns, Q3 = 48.024 ns, Max = 48.572 ns
IQR = 0.553 ns, LowerFence = 46.640 ns, UpperFence = 48.854 ns
ConfidenceInterval = [36.235 ns; 59.440 ns] (CI 99.9%), Margin = 11.603 ns (24.25% of Mean)
Skewness = 0.38, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop_LinkedList: Job-AAJBLA(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "9aef5331-0864-4def-a709-60859d924cc5.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop_LinkedList" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/9aef5331-0864-4def-a709-60859d924cc5/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-TEUCUR(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 265389.00 ns, 265.3890 us/op
WorkloadJitting  1: 1 op, 1068032.00 ns, 1.0680 ms/op

OverheadJitting  2: 16 op, 297590.00 ns, 18.5994 us/op
WorkloadJitting  2: 16 op, 312771.00 ns, 19.5482 us/op

WorkloadPilot    1: 16 op, 5167.00 ns, 322.9375 ns/op
WorkloadPilot    2: 32 op, 8345.00 ns, 260.7812 ns/op
WorkloadPilot    3: 64 op, 29609.00 ns, 462.6406 ns/op
WorkloadPilot    4: 128 op, 42242.00 ns, 330.0156 ns/op
WorkloadPilot    5: 256 op, 83949.00 ns, 327.9258 ns/op
WorkloadPilot    6: 512 op, 146867.00 ns, 286.8496 ns/op
WorkloadPilot    7: 1024 op, 267633.00 ns, 261.3604 ns/op
WorkloadPilot    8: 2048 op, 765700.00 ns, 373.8770 ns/op
WorkloadPilot    9: 4096 op, 1112299.00 ns, 271.5574 ns/op
WorkloadPilot   10: 8192 op, 2317844.00 ns, 282.9399 ns/op
WorkloadPilot   11: 16384 op, 3893698.00 ns, 237.6525 ns/op
WorkloadPilot   12: 32768 op, 9651370.00 ns, 294.5364 ns/op
WorkloadPilot   13: 65536 op, 16953717.00 ns, 258.6932 ns/op
WorkloadPilot   14: 131072 op, 32649463.00 ns, 249.0956 ns/op
WorkloadPilot   15: 262144 op, 63645432.00 ns, 242.7881 ns/op
WorkloadPilot   16: 524288 op, 135793029.00 ns, 259.0046 ns/op
WorkloadPilot   17: 1048576 op, 268875172.00 ns, 256.4193 ns/op
WorkloadPilot   18: 2097152 op, 532687415.00 ns, 254.0052 ns/op

OverheadWarmup   1: 2097152 op, 3823930.00 ns, 1.8234 ns/op
OverheadWarmup   2: 2097152 op, 3808376.00 ns, 1.8160 ns/op
OverheadWarmup   3: 2097152 op, 4482293.00 ns, 2.1373 ns/op
OverheadWarmup   4: 2097152 op, 4302338.00 ns, 2.0515 ns/op
OverheadWarmup   5: 2097152 op, 4201209.00 ns, 2.0033 ns/op
OverheadWarmup   6: 2097152 op, 4199535.00 ns, 2.0025 ns/op
OverheadWarmup   7: 2097152 op, 4039288.00 ns, 1.9261 ns/op
OverheadWarmup   8: 2097152 op, 4339676.00 ns, 2.0693 ns/op
OverheadWarmup   9: 2097152 op, 6418791.00 ns, 3.0607 ns/op
OverheadWarmup  10: 2097152 op, 4218634.00 ns, 2.0116 ns/op

OverheadActual   1: 2097152 op, 4115377.00 ns, 1.9624 ns/op
OverheadActual   2: 2097152 op, 3877310.00 ns, 1.8488 ns/op
OverheadActual   3: 2097152 op, 3869782.00 ns, 1.8453 ns/op
OverheadActual   4: 2097152 op, 3999447.00 ns, 1.9071 ns/op
OverheadActual   5: 2097152 op, 3957670.00 ns, 1.8872 ns/op
OverheadActual   6: 2097152 op, 4003820.00 ns, 1.9092 ns/op
OverheadActual   7: 2097152 op, 3857967.00 ns, 1.8396 ns/op
OverheadActual   8: 2097152 op, 3746924.00 ns, 1.7867 ns/op
OverheadActual   9: 2097152 op, 3776975.00 ns, 1.8010 ns/op
OverheadActual  10: 2097152 op, 3639361.00 ns, 1.7354 ns/op
OverheadActual  11: 2097152 op, 3706509.00 ns, 1.7674 ns/op
OverheadActual  12: 2097152 op, 4014690.00 ns, 1.9144 ns/op
OverheadActual  13: 2097152 op, 3854575.00 ns, 1.8380 ns/op
OverheadActual  14: 2097152 op, 3728206.00 ns, 1.7777 ns/op
OverheadActual  15: 2097152 op, 3843148.00 ns, 1.8326 ns/op

WorkloadWarmup   1: 2097152 op, 531932915.00 ns, 253.6454 ns/op

// BeforeActualRun
WorkloadActual   1: 2097152 op, 536199960.00 ns, 255.6801 ns/op
WorkloadActual   2: 2097152 op, 531556379.00 ns, 253.4658 ns/op
WorkloadActual   3: 2097152 op, 534176952.00 ns, 254.7154 ns/op

// AfterActualRun
WorkloadResult   1: 2097152 op, 532341993.00 ns, 253.8404 ns/op
WorkloadResult   2: 2097152 op, 527698412.00 ns, 251.6262 ns/op
WorkloadResult   3: 2097152 op, 530318985.00 ns, 252.8758 ns/op

// AfterAll
// Benchmark Process 585557 has exited with code 0

Mean = 252.781 ns, StdErr = 0.641 ns (0.25%), N = 3, StdDev = 1.110 ns
Min = 251.626 ns, Q1 = 252.251 ns, Median = 252.876 ns, Q3 = 253.358 ns, Max = 253.840 ns
IQR = 1.107 ns, LowerFence = 250.590 ns, UpperFence = 255.019 ns
ConfidenceInterval = [232.527 ns; 273.034 ns] (CI 99.9%), Margin = 20.254 ns (8.01% of Mean)
Skewness = -0.08, Kurtosis = 0.67, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.csv
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report-github.md
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.html

// * Detailed results *
GetMostActiveVisistors.NestedLoop: Job-AAJBLA(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 47.837 ns, StdErr = 0.367 ns (0.77%), N = 3, StdDev = 0.636 ns
Min = 47.465 ns, Q1 = 47.470 ns, Median = 47.476 ns, Q3 = 48.024 ns, Max = 48.572 ns
IQR = 0.553 ns, LowerFence = 46.640 ns, UpperFence = 48.854 ns
ConfidenceInterval = [36.235 ns; 59.440 ns] (CI 99.9%), Margin = 11.603 ns (24.25% of Mean)
Skewness = 0.38, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[47.439 ns ; 48.597 ns) | @@@
---------------------------------------------------

GetMostActiveVisistors.NestedLoop_LinkedList: Job-AAJBLA(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 252.781 ns, StdErr = 0.641 ns (0.25%), N = 3, StdDev = 1.110 ns
Min = 251.626 ns, Q1 = 252.251 ns, Median = 252.876 ns, Q3 = 253.358 ns, Max = 253.840 ns
IQR = 1.107 ns, LowerFence = 250.590 ns, UpperFence = 255.019 ns
ConfidenceInterval = [232.527 ns; 273.034 ns] (CI 99.9%), Margin = 20.254 ns (8.01% of Mean)
Skewness = -0.08, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[250.616 ns ; 254.851 ns) | @@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.12.1, OS=ubuntu 20.04
Intel Core i5-6500 CPU 3.20GHz (Skylake), 1 CPU, 4 logical and 4 physical cores
.NET Core SDK=3.1.403
  [Host]     : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
  Job-AAJBLA : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT

IterationCount=3  LaunchCount=1  WarmupCount=1  

|                Method |      Mean |    Error |   StdDev |
|---------------------- |----------:|---------:|---------:|
|            NestedLoop |  47.84 ns | 11.60 ns | 0.636 ns |
| NestedLoop_LinkedList | 252.78 ns | 20.25 ns | 1.110 ns |

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 ns   : 1 Nanosecond (0.000000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:10 (10.34 sec), executed benchmarks: 2

Global total time: 00:00:13 (13.97 sec), executed benchmarks: 2
// * Artifacts cleanup *
