// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/19c7158b-6ad5-4bfa-8876-356cd6992f36
// command took 1.52s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/19c7158b-6ad5-4bfa-8876-356cd6992f36
// command took 2.52s and exited with 0
// ***** Done, took 00:00:04 (4.18 sec)   *****
// Found 4 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-QNTRNM(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-QNTRNM(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-QNTRNM(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-QNTRNM(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-QNTRNM(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "19c7158b-6ad5-4bfa-8876-356cd6992f36.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/19c7158b-6ad5-4bfa-8876-356cd6992f36/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-HIJGEM(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadActual  17: 2048 op, 4913.00 ns, 2.3989 ns/op
OverheadActual  18: 2048 op, 4739.00 ns, 2.3140 ns/op
OverheadActual  19: 2048 op, 4640.00 ns, 2.2656 ns/op
OverheadActual  20: 2048 op, 4698.00 ns, 2.2939 ns/op

WorkloadWarmup   1: 2048 op, 840770563.00 ns, 410.5325 us/op

// BeforeActualRun
WorkloadActual   1: 2048 op, 825498730.00 ns, 403.0756 us/op
WorkloadActual   2: 2048 op, 832162434.00 ns, 406.3293 us/op
WorkloadActual   3: 2048 op, 808296620.00 ns, 394.6761 us/op

// AfterActualRun
WorkloadResult   1: 2048 op, 825494011.50 ns, 403.0732 us/op
WorkloadResult   2: 2048 op, 832157715.50 ns, 406.3270 us/op
WorkloadResult   3: 2048 op, 808291901.50 ns, 394.6738 us/op

// AfterAll
// Benchmark Process 167410 has exited with code 0

Mean = 401.358 μs, StdErr = 3.472 μs (0.86%), N = 3, StdDev = 6.013 μs
Min = 394.674 μs, Q1 = 398.874 μs, Median = 403.073 μs, Q3 = 404.700 μs, Max = 406.327 μs
IQR = 5.827 μs, LowerFence = 390.134 μs, UpperFence = 413.440 μs
ConfidenceInterval = [291.659 μs; 511.057 μs] (CI 99.9%), Margin = 109.699 μs (27.33% of Mean)
Skewness = -0.26, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.MergeJoin: Job-QNTRNM(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "19c7158b-6ad5-4bfa-8876-356cd6992f36.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.MergeJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/19c7158b-6ad5-4bfa-8876-356cd6992f36/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-CTXTLS(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 397220.00 ns, 397.2200 us/op
WorkloadJitting  1: 1 op, 3663332.00 ns, 3.6633 ms/op

OverheadJitting  2: 16 op, 315156.00 ns, 19.6973 us/op
WorkloadJitting  2: 16 op, 17605551.00 ns, 1.1003 ms/op

WorkloadPilot    1: 16 op, 20553608.00 ns, 1.2846 ms/op
WorkloadPilot    2: 32 op, 38626543.00 ns, 1.2071 ms/op
WorkloadPilot    3: 64 op, 70410197.00 ns, 1.1002 ms/op
WorkloadPilot    4: 128 op, 136870472.00 ns, 1.0693 ms/op
WorkloadPilot    5: 256 op, 120241878.00 ns, 469.6948 us/op
WorkloadPilot    6: 512 op, 253467016.00 ns, 495.0528 us/op
WorkloadPilot    7: 1024 op, 464805926.00 ns, 453.9120 us/op
WorkloadPilot    8: 2048 op, 1116399328.00 ns, 545.1169 us/op

OverheadWarmup   1: 2048 op, 10771.00 ns, 5.2593 ns/op
OverheadWarmup   2: 2048 op, 5099.00 ns, 2.4897 ns/op
OverheadWarmup   3: 2048 op, 4816.00 ns, 2.3516 ns/op
OverheadWarmup   4: 2048 op, 4908.00 ns, 2.3965 ns/op
OverheadWarmup   5: 2048 op, 4745.00 ns, 2.3169 ns/op
OverheadWarmup   6: 2048 op, 6562.00 ns, 3.2041 ns/op
OverheadWarmup   7: 2048 op, 5174.00 ns, 2.5264 ns/op

OverheadActual   1: 2048 op, 5223.00 ns, 2.5503 ns/op
OverheadActual   2: 2048 op, 5120.00 ns, 2.5000 ns/op
OverheadActual   3: 2048 op, 5161.00 ns, 2.5200 ns/op
OverheadActual   4: 2048 op, 5280.00 ns, 2.5781 ns/op
OverheadActual   5: 2048 op, 5090.00 ns, 2.4854 ns/op
OverheadActual   6: 2048 op, 5067.00 ns, 2.4741 ns/op
OverheadActual   7: 2048 op, 5082.00 ns, 2.4814 ns/op
OverheadActual   8: 2048 op, 5032.00 ns, 2.4570 ns/op
OverheadActual   9: 2048 op, 5105.00 ns, 2.4927 ns/op
OverheadActual  10: 2048 op, 5479.00 ns, 2.6753 ns/op
OverheadActual  11: 2048 op, 5346.00 ns, 2.6104 ns/op
OverheadActual  12: 2048 op, 5043.00 ns, 2.4624 ns/op
OverheadActual  13: 2048 op, 5179.00 ns, 2.5288 ns/op
OverheadActual  14: 2048 op, 5047.00 ns, 2.4644 ns/op
OverheadActual  15: 2048 op, 5330.00 ns, 2.6025 ns/op

WorkloadWarmup   1: 2048 op, 1102443290.00 ns, 538.3024 us/op

// BeforeActualRun
WorkloadActual   1: 2048 op, 981337426.00 ns, 479.1687 us/op
WorkloadActual   2: 2048 op, 875035411.00 ns, 427.2634 us/op
WorkloadActual   3: 2048 op, 871524542.00 ns, 425.5491 us/op

// AfterActualRun
WorkloadResult   1: 2048 op, 981332306.00 ns, 479.1662 us/op
WorkloadResult   2: 2048 op, 875030291.00 ns, 427.2609 us/op
WorkloadResult   3: 2048 op, 871519422.00 ns, 425.5466 us/op

// AfterAll
// Benchmark Process 167428 has exited with code 0

Mean = 443.991 μs, StdErr = 17.594 μs (3.96%), N = 3, StdDev = 30.474 μs
Min = 425.547 μs, Q1 = 426.404 μs, Median = 427.261 μs, Q3 = 453.214 μs, Max = 479.166 μs
IQR = 26.810 μs, LowerFence = 386.189 μs, UpperFence = 493.428 μs
ConfidenceInterval = [-111.976 μs; 999.959 μs] (CI 99.9%), Margin = 555.968 μs (125.22% of Mean)
Skewness = 0.38, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-QNTRNM(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "19c7158b-6ad5-4bfa-8876-356cd6992f36.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 2 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/19c7158b-6ad5-4bfa-8876-356cd6992f36/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-CCTIIM(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 306522.00 ns, 306.5220 us/op
WorkloadJitting  1: 1 op, 2148117.00 ns, 2.1481 ms/op

OverheadJitting  2: 16 op, 294199.00 ns, 18.3874 us/op
WorkloadJitting  2: 16 op, 24846111.00 ns, 1.5529 ms/op

WorkloadPilot    1: 16 op, 23453182.00 ns, 1.4658 ms/op
WorkloadPilot    2: 32 op, 47735625.00 ns, 1.4917 ms/op
WorkloadPilot    3: 64 op, 94770530.00 ns, 1.4808 ms/op
WorkloadPilot    4: 128 op, 185139137.00 ns, 1.4464 ms/op
WorkloadPilot    5: 256 op, 363754827.00 ns, 1.4209 ms/op
WorkloadPilot    6: 512 op, 723222786.00 ns, 1.4125 ms/op

OverheadWarmup   1: 512 op, 20245.00 ns, 39.5410 ns/op
OverheadWarmup   2: 512 op, 1263.00 ns, 2.4668 ns/op
OverheadWarmup   3: 512 op, 1378.00 ns, 2.6914 ns/op
OverheadWarmup   4: 512 op, 1228.00 ns, 2.3984 ns/op
OverheadWarmup   5: 512 op, 1402.00 ns, 2.7383 ns/op
OverheadWarmup   6: 512 op, 1338.00 ns, 2.6133 ns/op

OverheadActual   1: 512 op, 1477.00 ns, 2.8848 ns/op
OverheadActual   2: 512 op, 1407.00 ns, 2.7480 ns/op
OverheadActual   3: 512 op, 1466.00 ns, 2.8633 ns/op
OverheadActual   4: 512 op, 1441.00 ns, 2.8145 ns/op
OverheadActual   5: 512 op, 1425.00 ns, 2.7832 ns/op
OverheadActual   6: 512 op, 1921.00 ns, 3.7520 ns/op
OverheadActual   7: 512 op, 1527.00 ns, 2.9824 ns/op
OverheadActual   8: 512 op, 1511.00 ns, 2.9512 ns/op
OverheadActual   9: 512 op, 1371.00 ns, 2.6777 ns/op
OverheadActual  10: 512 op, 2063.00 ns, 4.0293 ns/op
OverheadActual  11: 512 op, 1421.00 ns, 2.7754 ns/op
OverheadActual  12: 512 op, 1355.00 ns, 2.6465 ns/op
OverheadActual  13: 512 op, 1260.00 ns, 2.4609 ns/op
OverheadActual  14: 512 op, 1338.00 ns, 2.6133 ns/op
OverheadActual  15: 512 op, 1283.00 ns, 2.5059 ns/op
OverheadActual  16: 512 op, 1512.00 ns, 2.9531 ns/op
OverheadActual  17: 512 op, 1454.00 ns, 2.8398 ns/op
OverheadActual  18: 512 op, 1564.00 ns, 3.0547 ns/op
OverheadActual  19: 512 op, 1339.00 ns, 2.6152 ns/op
OverheadActual  20: 512 op, 1369.00 ns, 2.6738 ns/op

WorkloadWarmup   1: 512 op, 737353435.00 ns, 1.4401 ms/op

// BeforeActualRun
WorkloadActual   1: 512 op, 731837608.00 ns, 1.4294 ms/op
WorkloadActual   2: 512 op, 729893310.00 ns, 1.4256 ms/op
WorkloadActual   3: 512 op, 725068970.00 ns, 1.4162 ms/op

// AfterActualRun
WorkloadResult   1: 512 op, 731836175.00 ns, 1.4294 ms/op
WorkloadResult   2: 512 op, 729891877.00 ns, 1.4256 ms/op
WorkloadResult   3: 512 op, 725067537.00 ns, 1.4161 ms/op

// AfterAll
// Benchmark Process 167478 has exited with code 0

Mean = 1.424 ms, StdErr = 0.004 ms (0.28%), N = 3, StdDev = 0.007 ms
Min = 1.416 ms, Q1 = 1.421 ms, Median = 1.426 ms, Q3 = 1.427 ms, Max = 1.429 ms
IQR = 0.007 ms, LowerFence = 1.411 ms, UpperFence = 1.437 ms
ConfidenceInterval = [1.300 ms; 1.548 ms] (CI 99.9%), Margin = 0.124 ms (8.72% of Mean)
Skewness = -0.25, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.DataLoad: Job-QNTRNM(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "19c7158b-6ad5-4bfa-8876-356cd6992f36.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.DataLoad" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 3 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/19c7158b-6ad5-4bfa-8876-356cd6992f36/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-BFPOBX(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 234753.00 ns, 234.7530 us/op

System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation.
 ---> Npgsql.NpgsqlException (0x80004005): Unknown message code: 139
   at Npgsql.Util.PGUtil.ValidateBackendMessageCode(BackendMessageCode code)
   at Npgsql.NpgsqlConnector.<ReadMessage>g__ReadMessageLong|200_0(NpgsqlConnector connector, Boolean async, DataRowLoadingMode dataRowLoadingMode, Boolean readingNotifications, Boolean isReadingPrependedMessage)
   at Npgsql.NpgsqlDataReader.<ReadMessage>g__ReadMessageSequential|45_0(NpgsqlConnector connector, Boolean async)
   at Npgsql.NpgsqlDataReader.Read(Boolean async, CancellationToken cancellationToken)
   at Npgsql.NpgsqlDataReader.Read()
   at Dapper.SqlMapper.QueryImpl[T](IDbConnection cnn, CommandDefinition command, Type effectiveType)+MoveNext() in /_/Dapper/SqlMapper.cs:line 1100
   at System.Collections.Generic.List`1..ctor(IEnumerable`1 collection)
   at System.Linq.Enumerable.ToList[TSource](IEnumerable`1 source)
   at Dapper.SqlMapper.Query[T](IDbConnection cnn, String sql, Object param, IDbTransaction transaction, Boolean buffered, Nullable`1 commandTimeout, Nullable`1 commandType) in /_/Dapper/SqlMapper.cs:line 725
   at CollectionsBenchmark.GetMostActiveVisistors.DataLoad() in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/Program.cs:line 308
   at BenchmarkDotNet.Autogenerated.Runnable_3.WorkloadActionNoUnroll(Int64 invokeCount) in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/19c7158b-6ad5-4bfa-8876-356cd6992f36/19c7158b-6ad5-4bfa-8876-356cd6992f36.notcs:line 3042
   at BenchmarkDotNet.Engines.Engine.RunIteration(IterationData data)
   at BenchmarkDotNet.Engines.EngineFactory.Jit(Engine engine, Int32 jitIndex, Int32 invokeCount, Int32 unrollFactor)
   at BenchmarkDotNet.Engines.EngineFactory.CreateReadyToRun(EngineParameters engineParameters)
   at BenchmarkDotNet.Autogenerated.Runnable_3.Run(IHost host, String benchmarkName) in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/19c7158b-6ad5-4bfa-8876-356cd6992f36/19c7158b-6ad5-4bfa-8876-356cd6992f36.notcs:line 2370
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle.InvokeMethod(Object target, Object[] arguments, Signature sig, Boolean constructor, Boolean wrapExceptions)
   at System.Reflection.RuntimeMethodInfo.Invoke(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo culture)
   at System.Reflection.MethodBase.Invoke(Object obj, Object[] parameters)
   at BenchmarkDotNet.Autogenerated.UniqueProgramName.AfterAssemblyLoadingAttached(String[] args) in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/19c7158b-6ad5-4bfa-8876-356cd6992f36/19c7158b-6ad5-4bfa-8876-356cd6992f36.notcs:line 52
// AfterAll
ExitCode != 0
// Benchmark Process 167497 has exited with code 255
No more Benchmark runs will be launched as NO measurements were obtained from the previous run!


// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.csv
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report-github.md
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.html

// * Detailed results *
GetMostActiveVisistors.LinqJoin: Job-QNTRNM(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 401.358 μs, StdErr = 3.472 μs (0.86%), N = 3, StdDev = 6.013 μs
Min = 394.674 μs, Q1 = 398.874 μs, Median = 403.073 μs, Q3 = 404.700 μs, Max = 406.327 μs
IQR = 5.827 μs, LowerFence = 390.134 μs, UpperFence = 413.440 μs
ConfidenceInterval = [291.659 μs; 511.057 μs] (CI 99.9%), Margin = 109.699 μs (27.33% of Mean)
Skewness = -0.26, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[389.202 μs ; 399.228 μs) | @
[399.228 μs ; 411.799 μs) | @@
---------------------------------------------------

GetMostActiveVisistors.MergeJoin: Job-QNTRNM(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 443.991 μs, StdErr = 17.594 μs (3.96%), N = 3, StdDev = 30.474 μs
Min = 425.547 μs, Q1 = 426.404 μs, Median = 427.261 μs, Q3 = 453.214 μs, Max = 479.166 μs
IQR = 26.810 μs, LowerFence = 386.189 μs, UpperFence = 493.428 μs
ConfidenceInterval = [-111.976 μs; 999.959 μs] (CI 99.9%), Margin = 555.968 μs (125.22% of Mean)
Skewness = 0.38, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[424.624 μs ; 480.089 μs) | @@@
---------------------------------------------------

GetMostActiveVisistors.NestedLoop: Job-QNTRNM(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 1.424 ms, StdErr = 0.004 ms (0.28%), N = 3, StdDev = 0.007 ms
Min = 1.416 ms, Q1 = 1.421 ms, Median = 1.426 ms, Q3 = 1.427 ms, Max = 1.429 ms
IQR = 0.007 ms, LowerFence = 1.411 ms, UpperFence = 1.437 ms
ConfidenceInterval = [1.300 ms; 1.548 ms] (CI 99.9%), Margin = 0.124 ms (8.72% of Mean)
Skewness = -0.25, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[1.410 ms ; 1.436 ms) | @@@
---------------------------------------------------

GetMostActiveVisistors.DataLoad: Job-QNTRNM(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = ; GC = 
There are not any results runs

// * Summary *

BenchmarkDotNet=v0.12.1, OS=ubuntu 20.04
Intel Core i5-6500 CPU 3.20GHz (Skylake), 1 CPU, 4 logical and 4 physical cores
.NET Core SDK=3.1.403
  [Host]     : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
  Job-QNTRNM : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT

IterationCount=3  LaunchCount=1  WarmupCount=1  

|     Method |       Mean |    Error |   StdDev |
|----------- |-----------:|---------:|---------:|
|   LinqJoin |   401.4 μs | 109.7 μs |  6.01 μs |
|  MergeJoin |   444.0 μs | 556.0 μs | 30.47 μs |
| NestedLoop | 1,423.7 μs | 124.2 μs |  6.81 μs |
|   DataLoad |         NA |       NA |       NA |

Benchmarks with issues:
  GetMostActiveVisistors.DataLoad: Job-QNTRNM(IterationCount=3, LaunchCount=1, WarmupCount=1)

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 μs   : 1 Microsecond (0.000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:18 (18.46 sec), executed benchmarks: 4

Global total time: 00:00:22 (22.65 sec), executed benchmarks: 4
// * Artifacts cleanup *
