// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/7d358fc1-1c09-4b89-960f-740b65980e7f
// command took 1.34s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/7d358fc1-1c09-4b89-960f-740b65980e7f
// command took 2.24s and exited with 0
// ***** Done, took 00:00:03 (3.68 sec)   *****
// Found 2 benchmarks:
//   GetMostActiveVisistors.NestedLoop: Job-IJLHXU(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop_LinkedList: Job-IJLHXU(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-IJLHXU(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "7d358fc1-1c09-4b89-960f-740b65980e7f.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/7d358fc1-1c09-4b89-960f-740b65980e7f/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-BLEOOU(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadActual  12: 65536 op, 117868.00 ns, 1.7985 ns/op
OverheadActual  13: 65536 op, 118011.00 ns, 1.8007 ns/op
OverheadActual  14: 65536 op, 119241.00 ns, 1.8195 ns/op
OverheadActual  15: 65536 op, 114267.00 ns, 1.7436 ns/op
OverheadActual  16: 65536 op, 115654.00 ns, 1.7647 ns/op
OverheadActual  17: 65536 op, 115513.00 ns, 1.7626 ns/op

WorkloadWarmup   1: 65536 op, 540312808.00 ns, 8.2445 us/op

// BeforeActualRun
WorkloadActual   1: 65536 op, 536761375.00 ns, 8.1903 us/op
WorkloadActual   2: 65536 op, 535950793.00 ns, 8.1780 us/op
WorkloadActual   3: 65536 op, 539114257.00 ns, 8.2262 us/op

// AfterActualRun
WorkloadResult   1: 65536 op, 536643507.00 ns, 8.1885 us/op
WorkloadResult   2: 65536 op, 535832925.00 ns, 8.1762 us/op
WorkloadResult   3: 65536 op, 538996389.00 ns, 8.2244 us/op

// AfterAll
// Benchmark Process 586162 has exited with code 0

Mean = 8.196 μs, StdErr = 0.014 μs (0.18%), N = 3, StdDev = 0.025 μs
Min = 8.176 μs, Q1 = 8.182 μs, Median = 8.189 μs, Q3 = 8.206 μs, Max = 8.224 μs
IQR = 0.024 μs, LowerFence = 8.146 μs, UpperFence = 8.243 μs
ConfidenceInterval = [7.739 μs; 8.654 μs] (CI 99.9%), Margin = 0.457 μs (5.58% of Mean)
Skewness = 0.28, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop_LinkedList: Job-IJLHXU(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "7d358fc1-1c09-4b89-960f-740b65980e7f.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop_LinkedList" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/7d358fc1-1c09-4b89-960f-740b65980e7f/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-WZMIJH(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 331074.00 ns, 331.0740 us/op
WorkloadJitting  1: 1 op, 1140667.00 ns, 1.1407 ms/op

OverheadJitting  2: 16 op, 254180.00 ns, 15.8863 us/op
WorkloadJitting  2: 16 op, 847195.00 ns, 52.9497 us/op

WorkloadPilot    1: 16 op, 440397.00 ns, 27.5248 us/op
WorkloadPilot    2: 32 op, 908391.00 ns, 28.3872 us/op
WorkloadPilot    3: 64 op, 1917887.00 ns, 29.9670 us/op
WorkloadPilot    4: 128 op, 4140706.00 ns, 32.3493 us/op
WorkloadPilot    5: 256 op, 6967102.00 ns, 27.2152 us/op
WorkloadPilot    6: 512 op, 14737104.00 ns, 28.7834 us/op
WorkloadPilot    7: 1024 op, 28745778.00 ns, 28.0720 us/op
WorkloadPilot    8: 2048 op, 57128388.00 ns, 27.8947 us/op
WorkloadPilot    9: 4096 op, 127862725.00 ns, 31.2165 us/op
WorkloadPilot   10: 8192 op, 280701953.00 ns, 34.2654 us/op
WorkloadPilot   11: 16384 op, 532417978.00 ns, 32.4962 us/op

OverheadWarmup   1: 16384 op, 72244.00 ns, 4.4094 ns/op
OverheadWarmup   2: 16384 op, 54782.00 ns, 3.3436 ns/op
OverheadWarmup   3: 16384 op, 41699.00 ns, 2.5451 ns/op
OverheadWarmup   4: 16384 op, 41792.00 ns, 2.5508 ns/op
OverheadWarmup   5: 16384 op, 43579.00 ns, 2.6599 ns/op
OverheadWarmup   6: 16384 op, 27343.00 ns, 1.6689 ns/op
OverheadWarmup   7: 16384 op, 45109.00 ns, 2.7532 ns/op
OverheadWarmup   8: 16384 op, 29595.00 ns, 1.8063 ns/op

OverheadActual   1: 16384 op, 45261.00 ns, 2.7625 ns/op
OverheadActual   2: 16384 op, 27689.00 ns, 1.6900 ns/op
OverheadActual   3: 16384 op, 27969.00 ns, 1.7071 ns/op
OverheadActual   4: 16384 op, 45384.00 ns, 2.7700 ns/op
OverheadActual   5: 16384 op, 28784.00 ns, 1.7568 ns/op
OverheadActual   6: 16384 op, 31404.00 ns, 1.9167 ns/op
OverheadActual   7: 16384 op, 28560.00 ns, 1.7432 ns/op
OverheadActual   8: 16384 op, 28644.00 ns, 1.7483 ns/op
OverheadActual   9: 16384 op, 28363.00 ns, 1.7311 ns/op
OverheadActual  10: 16384 op, 28598.00 ns, 1.7455 ns/op
OverheadActual  11: 16384 op, 28238.00 ns, 1.7235 ns/op
OverheadActual  12: 16384 op, 62242.00 ns, 3.7990 ns/op
OverheadActual  13: 16384 op, 29183.00 ns, 1.7812 ns/op
OverheadActual  14: 16384 op, 29278.00 ns, 1.7870 ns/op
OverheadActual  15: 16384 op, 29507.00 ns, 1.8010 ns/op

WorkloadWarmup   1: 16384 op, 536807790.00 ns, 32.7641 us/op

// BeforeActualRun
WorkloadActual   1: 16384 op, 531957147.00 ns, 32.4681 us/op
WorkloadActual   2: 16384 op, 542163154.00 ns, 33.0910 us/op
WorkloadActual   3: 16384 op, 535090763.00 ns, 32.6593 us/op

// AfterActualRun
WorkloadResult   1: 16384 op, 531928363.00 ns, 32.4663 us/op
WorkloadResult   2: 16384 op, 542134370.00 ns, 33.0893 us/op
WorkloadResult   3: 16384 op, 535061979.00 ns, 32.6576 us/op

// AfterAll
// Benchmark Process 586174 has exited with code 0

Mean = 32.738 μs, StdErr = 0.184 μs (0.56%), N = 3, StdDev = 0.319 μs
Min = 32.466 μs, Q1 = 32.562 μs, Median = 32.658 μs, Q3 = 32.873 μs, Max = 33.089 μs
IQR = 0.311 μs, LowerFence = 32.095 μs, UpperFence = 33.341 μs
ConfidenceInterval = [26.916 μs; 38.559 μs] (CI 99.9%), Margin = 5.822 μs (17.78% of Mean)
Skewness = 0.24, Kurtosis = 0.67, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.csv
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report-github.md
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.html

// * Detailed results *
GetMostActiveVisistors.NestedLoop: Job-IJLHXU(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 8.196 μs, StdErr = 0.014 μs (0.18%), N = 3, StdDev = 0.025 μs
Min = 8.176 μs, Q1 = 8.182 μs, Median = 8.189 μs, Q3 = 8.206 μs, Max = 8.224 μs
IQR = 0.024 μs, LowerFence = 8.146 μs, UpperFence = 8.243 μs
ConfidenceInterval = [7.739 μs; 8.654 μs] (CI 99.9%), Margin = 0.457 μs (5.58% of Mean)
Skewness = 0.28, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[8.153 μs ; 8.247 μs) | @@@
---------------------------------------------------

GetMostActiveVisistors.NestedLoop_LinkedList: Job-IJLHXU(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 32.738 μs, StdErr = 0.184 μs (0.56%), N = 3, StdDev = 0.319 μs
Min = 32.466 μs, Q1 = 32.562 μs, Median = 32.658 μs, Q3 = 32.873 μs, Max = 33.089 μs
IQR = 0.311 μs, LowerFence = 32.095 μs, UpperFence = 33.341 μs
ConfidenceInterval = [26.916 μs; 38.559 μs] (CI 99.9%), Margin = 5.822 μs (17.78% of Mean)
Skewness = 0.24, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[32.236 μs ; 33.380 μs) | @@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.12.1, OS=ubuntu 20.04
Intel Core i5-6500 CPU 3.20GHz (Skylake), 1 CPU, 4 logical and 4 physical cores
.NET Core SDK=3.1.403
  [Host]     : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
  Job-IJLHXU : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT

IterationCount=3  LaunchCount=1  WarmupCount=1  

|                Method |      Mean |     Error |    StdDev |
|---------------------- |----------:|----------:|----------:|
|            NestedLoop |  8.196 μs | 0.4574 μs | 0.0251 μs |
| NestedLoop_LinkedList | 32.738 μs | 5.8216 μs | 0.3191 μs |

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 μs   : 1 Microsecond (0.000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:07 (7.87 sec), executed benchmarks: 2

Global total time: 00:00:11 (11.55 sec), executed benchmarks: 2
// * Artifacts cleanup *
