// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/2fe93411-377e-4907-a46f-372324484809
// command took 1.4s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/2fe93411-377e-4907-a46f-372324484809
// command took 2.19s and exited with 0
// ***** Done, took 00:00:03 (3.7 sec)   *****
// Found 4 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-FBIWIB(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-FBIWIB(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-FBIWIB(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-FBIWIB(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-FBIWIB(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "2fe93411-377e-4907-a46f-372324484809.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/2fe93411-377e-4907-a46f-372324484809/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-LXWTEL(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadActual   5: 131072 op, 234607.00 ns, 1.7899 ns/op
OverheadActual   6: 131072 op, 255495.00 ns, 1.9493 ns/op
OverheadActual   7: 131072 op, 235698.00 ns, 1.7982 ns/op
OverheadActual   8: 131072 op, 241261.00 ns, 1.8407 ns/op
OverheadActual   9: 131072 op, 243158.00 ns, 1.8551 ns/op
OverheadActual  10: 131072 op, 243595.00 ns, 1.8585 ns/op
OverheadActual  11: 131072 op, 243444.00 ns, 1.8573 ns/op
OverheadActual  12: 131072 op, 241322.00 ns, 1.8411 ns/op
OverheadActual  13: 131072 op, 244270.00 ns, 1.8636 ns/op
OverheadActual  14: 131072 op, 251312.00 ns, 1.9174 ns/op
OverheadActual  15: 131072 op, 249434.00 ns, 1.9030 ns/op

WorkloadWarmup   1: 131072 op, 962159347.00 ns, 7.3407 us/op

// BeforeActualRun
WorkloadActual   1: 131072 op, 963842467.00 ns, 7.3535 us/op
WorkloadActual   2: 131072 op, 963227651.00 ns, 7.3488 us/op
WorkloadActual   3: 131072 op, 960733848.00 ns, 7.3298 us/op

// AfterActualRun
WorkloadResult   1: 131072 op, 963598872.00 ns, 7.3517 us/op
WorkloadResult   2: 131072 op, 962984056.00 ns, 7.3470 us/op
WorkloadResult   3: 131072 op, 960490253.00 ns, 7.3280 us/op

// AfterAll
// Benchmark Process 543213 has exited with code 0

Mean = 7.342 μs, StdErr = 0.007 μs (0.10%), N = 3, StdDev = 0.013 μs
Min = 7.328 μs, Q1 = 7.337 μs, Median = 7.347 μs, Q3 = 7.349 μs, Max = 7.352 μs
IQR = 0.012 μs, LowerFence = 7.320 μs, UpperFence = 7.367 μs
ConfidenceInterval = [7.113 μs; 7.571 μs] (CI 99.9%), Margin = 0.229 μs (3.12% of Mean)
Skewness = -0.33, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.MergeJoin: Job-FBIWIB(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "2fe93411-377e-4907-a46f-372324484809.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.MergeJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/2fe93411-377e-4907-a46f-372324484809/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-QLFGOD(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 286307.00 ns, 286.3070 us/op
WorkloadJitting  1: 1 op, 1699962.00 ns, 1.7000 ms/op

OverheadJitting  2: 16 op, 258516.00 ns, 16.1572 us/op
WorkloadJitting  2: 16 op, 499473.00 ns, 31.2171 us/op

WorkloadPilot    1: 16 op, 264671.00 ns, 16.5419 us/op
WorkloadPilot    2: 32 op, 458238.00 ns, 14.3199 us/op
WorkloadPilot    3: 64 op, 876005.00 ns, 13.6876 us/op
WorkloadPilot    4: 128 op, 1635438.00 ns, 12.7769 us/op
WorkloadPilot    5: 256 op, 3296509.00 ns, 12.8770 us/op
WorkloadPilot    6: 512 op, 6195643.00 ns, 12.1009 us/op
WorkloadPilot    7: 1024 op, 12598636.00 ns, 12.3034 us/op
WorkloadPilot    8: 2048 op, 25679379.00 ns, 12.5388 us/op
WorkloadPilot    9: 4096 op, 50882749.00 ns, 12.4225 us/op
WorkloadPilot   10: 8192 op, 63537098.00 ns, 7.7560 us/op
WorkloadPilot   11: 16384 op, 81913821.00 ns, 4.9996 us/op
WorkloadPilot   12: 32768 op, 159624279.00 ns, 4.8713 us/op
WorkloadPilot   13: 65536 op, 323792526.00 ns, 4.9407 us/op
WorkloadPilot   14: 131072 op, 630959486.00 ns, 4.8138 us/op

OverheadWarmup   1: 131072 op, 251896.00 ns, 1.9218 ns/op
OverheadWarmup   2: 131072 op, 220332.00 ns, 1.6810 ns/op
OverheadWarmup   3: 131072 op, 286422.00 ns, 2.1852 ns/op
OverheadWarmup   4: 131072 op, 245899.00 ns, 1.8761 ns/op
OverheadWarmup   5: 131072 op, 217726.00 ns, 1.6611 ns/op
OverheadWarmup   6: 131072 op, 218023.00 ns, 1.6634 ns/op
OverheadWarmup   7: 131072 op, 217036.00 ns, 1.6559 ns/op

OverheadActual   1: 131072 op, 350658.00 ns, 2.6753 ns/op
OverheadActual   2: 131072 op, 292372.00 ns, 2.2306 ns/op
OverheadActual   3: 131072 op, 227239.00 ns, 1.7337 ns/op
OverheadActual   4: 131072 op, 247860.00 ns, 1.8910 ns/op
OverheadActual   5: 131072 op, 246129.00 ns, 1.8778 ns/op
OverheadActual   6: 131072 op, 247933.00 ns, 1.8916 ns/op
OverheadActual   7: 131072 op, 246225.00 ns, 1.8785 ns/op
OverheadActual   8: 131072 op, 245973.00 ns, 1.8766 ns/op
OverheadActual   9: 131072 op, 248615.00 ns, 1.8968 ns/op
OverheadActual  10: 131072 op, 245745.00 ns, 1.8749 ns/op
OverheadActual  11: 131072 op, 248213.00 ns, 1.8937 ns/op
OverheadActual  12: 131072 op, 246093.00 ns, 1.8775 ns/op
OverheadActual  13: 131072 op, 244998.00 ns, 1.8692 ns/op
OverheadActual  14: 131072 op, 265881.00 ns, 2.0285 ns/op
OverheadActual  15: 131072 op, 285866.00 ns, 2.1810 ns/op

WorkloadWarmup   1: 131072 op, 639605453.00 ns, 4.8798 us/op

// BeforeActualRun
WorkloadActual   1: 131072 op, 632791103.00 ns, 4.8278 us/op
WorkloadActual   2: 131072 op, 628587450.00 ns, 4.7957 us/op
WorkloadActual   3: 131072 op, 633857903.00 ns, 4.8360 us/op

// AfterActualRun
WorkloadResult   1: 131072 op, 632543243.00 ns, 4.8259 us/op
WorkloadResult   2: 131072 op, 628339590.00 ns, 4.7939 us/op
WorkloadResult   3: 131072 op, 633610043.00 ns, 4.8341 us/op

// AfterAll
// Benchmark Process 543231 has exited with code 0

Mean = 4.818 μs, StdErr = 0.012 μs (0.25%), N = 3, StdDev = 0.021 μs
Min = 4.794 μs, Q1 = 4.810 μs, Median = 4.826 μs, Q3 = 4.830 μs, Max = 4.834 μs
IQR = 0.020 μs, LowerFence = 4.780 μs, UpperFence = 4.860 μs
ConfidenceInterval = [4.430 μs; 5.206 μs] (CI 99.9%), Margin = 0.388 μs (8.05% of Mean)
Skewness = -0.32, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-FBIWIB(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "2fe93411-377e-4907-a46f-372324484809.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 2 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/2fe93411-377e-4907-a46f-372324484809/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-HCRSCP(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 325354.00 ns, 325.3540 us/op
WorkloadJitting  1: 1 op, 747041.00 ns, 747.0410 us/op

OverheadJitting  2: 16 op, 277371.00 ns, 17.3357 us/op
WorkloadJitting  2: 16 op, 377879.00 ns, 23.6174 us/op

WorkloadPilot    1: 16 op, 37519.00 ns, 2.3449 us/op
WorkloadPilot    2: 32 op, 100375.00 ns, 3.1367 us/op
WorkloadPilot    3: 64 op, 186549.00 ns, 2.9148 us/op
WorkloadPilot    4: 128 op, 365685.00 ns, 2.8569 us/op
WorkloadPilot    5: 256 op, 562071.00 ns, 2.1956 us/op
WorkloadPilot    6: 512 op, 1102107.00 ns, 2.1526 us/op
WorkloadPilot    7: 1024 op, 2175871.00 ns, 2.1249 us/op
WorkloadPilot    8: 2048 op, 4767225.00 ns, 2.3277 us/op
WorkloadPilot    9: 4096 op, 9079182.00 ns, 2.2166 us/op
WorkloadPilot   10: 8192 op, 19477305.00 ns, 2.3776 us/op
WorkloadPilot   11: 16384 op, 37844615.00 ns, 2.3099 us/op
WorkloadPilot   12: 32768 op, 72278228.00 ns, 2.2058 us/op
WorkloadPilot   13: 65536 op, 147234086.00 ns, 2.2466 us/op
WorkloadPilot   14: 131072 op, 283247168.00 ns, 2.1610 us/op
WorkloadPilot   15: 262144 op, 568181306.00 ns, 2.1674 us/op

OverheadWarmup   1: 262144 op, 446994.00 ns, 1.7051 ns/op
OverheadWarmup   2: 262144 op, 434690.00 ns, 1.6582 ns/op
OverheadWarmup   3: 262144 op, 429886.00 ns, 1.6399 ns/op
OverheadWarmup   4: 262144 op, 481760.00 ns, 1.8378 ns/op
OverheadWarmup   5: 262144 op, 532555.00 ns, 2.0315 ns/op
OverheadWarmup   6: 262144 op, 544291.00 ns, 2.0763 ns/op
OverheadWarmup   7: 262144 op, 530295.00 ns, 2.0229 ns/op
OverheadWarmup   8: 262144 op, 477252.00 ns, 1.8206 ns/op
OverheadWarmup   9: 262144 op, 490986.00 ns, 1.8730 ns/op
OverheadWarmup  10: 262144 op, 491184.00 ns, 1.8737 ns/op

OverheadActual   1: 262144 op, 491743.00 ns, 1.8759 ns/op
OverheadActual   2: 262144 op, 493027.00 ns, 1.8807 ns/op
OverheadActual   3: 262144 op, 493624.00 ns, 1.8830 ns/op
OverheadActual   4: 262144 op, 567968.00 ns, 2.1666 ns/op
OverheadActual   5: 262144 op, 576364.00 ns, 2.1987 ns/op
OverheadActual   6: 262144 op, 570084.00 ns, 2.1747 ns/op
OverheadActual   7: 262144 op, 571027.00 ns, 2.1783 ns/op
OverheadActual   8: 262144 op, 570004.00 ns, 2.1744 ns/op
OverheadActual   9: 262144 op, 568815.00 ns, 2.1699 ns/op
OverheadActual  10: 262144 op, 568908.00 ns, 2.1702 ns/op
OverheadActual  11: 262144 op, 569712.00 ns, 2.1733 ns/op
OverheadActual  12: 262144 op, 558207.00 ns, 2.1294 ns/op
OverheadActual  13: 262144 op, 545890.00 ns, 2.0824 ns/op
OverheadActual  14: 262144 op, 558424.00 ns, 2.1302 ns/op
OverheadActual  15: 262144 op, 549181.00 ns, 2.0950 ns/op
OverheadActual  16: 262144 op, 574791.00 ns, 2.1927 ns/op
OverheadActual  17: 262144 op, 564984.00 ns, 2.1552 ns/op
OverheadActual  18: 262144 op, 565382.00 ns, 2.1568 ns/op

WorkloadWarmup   1: 262144 op, 563273757.00 ns, 2.1487 us/op

// BeforeActualRun
WorkloadActual   1: 262144 op, 569876045.00 ns, 2.1739 us/op
WorkloadActual   2: 262144 op, 561613151.00 ns, 2.1424 us/op
WorkloadActual   3: 262144 op, 574989428.00 ns, 2.1934 us/op

// AfterActualRun
WorkloadResult   1: 262144 op, 569309370.00 ns, 2.1717 us/op
WorkloadResult   2: 262144 op, 561046476.00 ns, 2.1402 us/op
WorkloadResult   3: 262144 op, 574422753.00 ns, 2.1912 us/op

// AfterAll
// Benchmark Process 543244 has exited with code 0

Mean = 2.168 μs, StdErr = 0.015 μs (0.69%), N = 3, StdDev = 0.026 μs
Min = 2.140 μs, Q1 = 2.156 μs, Median = 2.172 μs, Q3 = 2.181 μs, Max = 2.191 μs
IQR = 0.026 μs, LowerFence = 2.118 μs, UpperFence = 2.220 μs
ConfidenceInterval = [1.698 μs; 2.637 μs] (CI 99.9%), Margin = 0.470 μs (21.67% of Mean)
Skewness = -0.15, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.DataLoad: Job-FBIWIB(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "2fe93411-377e-4907-a46f-372324484809.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.DataLoad" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 3 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/2fe93411-377e-4907-a46f-372324484809/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-EGFXYD(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 227413.00 ns, 227.4130 us/op
WorkloadJitting  1: 1 op, 2321256.00 ns, 2.3213 ms/op

OverheadJitting  2: 16 op, 377221.00 ns, 23.5763 us/op
WorkloadJitting  2: 16 op, 20285800.00 ns, 1.2679 ms/op

WorkloadPilot    1: 16 op, 20338866.00 ns, 1.2712 ms/op
WorkloadPilot    2: 32 op, 36715983.00 ns, 1.1474 ms/op
WorkloadPilot    3: 64 op, 75699233.00 ns, 1.1828 ms/op
WorkloadPilot    4: 128 op, 136279629.00 ns, 1.0647 ms/op
WorkloadPilot    5: 256 op, 140826868.00 ns, 550.1050 us/op
WorkloadPilot    6: 512 op, 223969825.00 ns, 437.4411 us/op
WorkloadPilot    7: 1024 op, 445749271.00 ns, 435.3020 us/op
WorkloadPilot    8: 2048 op, 982739988.00 ns, 479.8535 us/op

OverheadWarmup   1: 2048 op, 7617.00 ns, 3.7192 ns/op
OverheadWarmup   2: 2048 op, 7760.00 ns, 3.7891 ns/op
OverheadWarmup   3: 2048 op, 4552.00 ns, 2.2227 ns/op
OverheadWarmup   4: 2048 op, 4474.00 ns, 2.1846 ns/op
OverheadWarmup   5: 2048 op, 4459.00 ns, 2.1772 ns/op
OverheadWarmup   6: 2048 op, 4462.00 ns, 2.1787 ns/op
OverheadWarmup   7: 2048 op, 4508.00 ns, 2.2012 ns/op
OverheadWarmup   8: 2048 op, 4401.00 ns, 2.1489 ns/op

OverheadActual   1: 2048 op, 4877.00 ns, 2.3813 ns/op
OverheadActual   2: 2048 op, 6522.00 ns, 3.1846 ns/op
OverheadActual   3: 2048 op, 5571.00 ns, 2.7202 ns/op
OverheadActual   4: 2048 op, 5093.00 ns, 2.4868 ns/op
OverheadActual   5: 2048 op, 5176.00 ns, 2.5273 ns/op
OverheadActual   6: 2048 op, 4813.00 ns, 2.3501 ns/op
OverheadActual   7: 2048 op, 5057.00 ns, 2.4692 ns/op
OverheadActual   8: 2048 op, 4806.00 ns, 2.3467 ns/op
OverheadActual   9: 2048 op, 4830.00 ns, 2.3584 ns/op
OverheadActual  10: 2048 op, 4816.00 ns, 2.3516 ns/op
OverheadActual  11: 2048 op, 4951.00 ns, 2.4175 ns/op
OverheadActual  12: 2048 op, 4874.00 ns, 2.3799 ns/op
OverheadActual  13: 2048 op, 4813.00 ns, 2.3501 ns/op
OverheadActual  14: 2048 op, 4907.00 ns, 2.3960 ns/op
OverheadActual  15: 2048 op, 4778.00 ns, 2.3330 ns/op

WorkloadWarmup   1: 2048 op, 967339814.00 ns, 472.3339 us/op

// BeforeActualRun
WorkloadActual   1: 2048 op, 1127700251.00 ns, 550.6349 us/op
WorkloadActual   2: 2048 op, 1145995463.00 ns, 559.5681 us/op
WorkloadActual   3: 2048 op, 1000000723.00 ns, 488.2816 us/op

// AfterActualRun
WorkloadResult   1: 2048 op, 1127695374.00 ns, 550.6325 us/op
WorkloadResult   2: 2048 op, 1145990586.00 ns, 559.5657 us/op
WorkloadResult   3: 2048 op, 999995846.00 ns, 488.2792 us/op

// AfterAll
// Benchmark Process 543259 has exited with code 0

Mean = 532.826 μs, StdErr = 22.422 μs (4.21%), N = 3, StdDev = 38.836 μs
Min = 488.279 μs, Q1 = 519.456 μs, Median = 550.633 μs, Q3 = 555.099 μs, Max = 559.566 μs
IQR = 35.643 μs, LowerFence = 465.991 μs, UpperFence = 608.564 μs
ConfidenceInterval = [-175.691 μs; 1,241.343 μs] (CI 99.9%), Margin = 708.517 μs (132.97% of Mean)
Skewness = -0.36, Kurtosis = 0.67, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.csv
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report-github.md
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.html

// * Detailed results *
GetMostActiveVisistors.LinqJoin: Job-FBIWIB(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 7.342 μs, StdErr = 0.007 μs (0.10%), N = 3, StdDev = 0.013 μs
Min = 7.328 μs, Q1 = 7.337 μs, Median = 7.347 μs, Q3 = 7.349 μs, Max = 7.352 μs
IQR = 0.012 μs, LowerFence = 7.320 μs, UpperFence = 7.367 μs
ConfidenceInterval = [7.113 μs; 7.571 μs] (CI 99.9%), Margin = 0.229 μs (3.12% of Mean)
Skewness = -0.33, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[7.317 μs ; 7.363 μs) | @@@
---------------------------------------------------

GetMostActiveVisistors.MergeJoin: Job-FBIWIB(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 4.818 μs, StdErr = 0.012 μs (0.25%), N = 3, StdDev = 0.021 μs
Min = 4.794 μs, Q1 = 4.810 μs, Median = 4.826 μs, Q3 = 4.830 μs, Max = 4.834 μs
IQR = 0.020 μs, LowerFence = 4.780 μs, UpperFence = 4.860 μs
ConfidenceInterval = [4.430 μs; 5.206 μs] (CI 99.9%), Margin = 0.388 μs (8.05% of Mean)
Skewness = -0.32, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[4.775 μs ; 4.853 μs) | @@@
---------------------------------------------------

GetMostActiveVisistors.NestedLoop: Job-FBIWIB(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 2.168 μs, StdErr = 0.015 μs (0.69%), N = 3, StdDev = 0.026 μs
Min = 2.140 μs, Q1 = 2.156 μs, Median = 2.172 μs, Q3 = 2.181 μs, Max = 2.191 μs
IQR = 0.026 μs, LowerFence = 2.118 μs, UpperFence = 2.220 μs
ConfidenceInterval = [1.698 μs; 2.637 μs] (CI 99.9%), Margin = 0.470 μs (21.67% of Mean)
Skewness = -0.15, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[2.117 μs ; 2.205 μs) | @@@
---------------------------------------------------

GetMostActiveVisistors.DataLoad: Job-FBIWIB(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 532.826 μs, StdErr = 22.422 μs (4.21%), N = 3, StdDev = 38.836 μs
Min = 488.279 μs, Q1 = 519.456 μs, Median = 550.633 μs, Q3 = 555.099 μs, Max = 559.566 μs
IQR = 35.643 μs, LowerFence = 465.991 μs, UpperFence = 608.564 μs
ConfidenceInterval = [-175.691 μs; 1,241.343 μs] (CI 99.9%), Margin = 708.517 μs (132.97% of Mean)
Skewness = -0.36, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[452.937 μs ; 519.757 μs) | @
[519.757 μs ; 594.908 μs) | @@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.12.1, OS=ubuntu 20.04
Intel Core i5-6500 CPU 3.20GHz (Skylake), 1 CPU, 4 logical and 4 physical cores
.NET Core SDK=3.1.403
  [Host]     : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
  Job-FBIWIB : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT

IterationCount=3  LaunchCount=1  WarmupCount=1  

|     Method |       Mean |       Error |     StdDev |
|----------- |-----------:|------------:|-----------:|
|   LinqJoin |   7.342 μs |   0.2291 μs |  0.0126 μs |
|  MergeJoin |   4.818 μs |   0.3878 μs |  0.0213 μs |
| NestedLoop |   2.168 μs |   0.4697 μs |  0.0257 μs |
|   DataLoad | 532.826 μs | 708.5167 μs | 38.8362 μs |

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 μs   : 1 Microsecond (0.000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:22 (22.15 sec), executed benchmarks: 4

Global total time: 00:00:25 (25.86 sec), executed benchmarks: 4
