// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/82f6b084-a98a-4daa-9451-92bb488eddf1
// command took 1.39s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/82f6b084-a98a-4daa-9451-92bb488eddf1
// command took 2.3s and exited with 0
// ***** Done, took 00:00:03 (3.87 sec)   *****
// Found 4 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-ZQYYKO(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-ZQYYKO(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-ZQYYKO(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-ZQYYKO(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-ZQYYKO(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "82f6b084-a98a-4daa-9451-92bb488eddf1.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/82f6b084-a98a-4daa-9451-92bb488eddf1/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-VJNNYQ(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadActual  17: 2048 op, 4716.00 ns, 2.3027 ns/op

WorkloadWarmup   1: 2048 op, 770478040.00 ns, 376.2100 us/op

// BeforeActualRun
WorkloadActual   1: 2048 op, 790119367.00 ns, 385.8005 us/op
WorkloadActual   2: 2048 op, 767352554.00 ns, 374.6839 us/op
WorkloadActual   3: 2048 op, 795813976.00 ns, 388.5810 us/op

// AfterActualRun
WorkloadResult   1: 2048 op, 790114847.00 ns, 385.7983 us/op
WorkloadResult   2: 2048 op, 767348034.00 ns, 374.6817 us/op
WorkloadResult   3: 2048 op, 795809456.00 ns, 388.5788 us/op

// AfterAll
// Benchmark Process 165611 has exited with code 0

Mean = 383.020 μs, StdErr = 4.246 μs (1.11%), N = 3, StdDev = 7.353 μs
Min = 374.682 μs, Q1 = 380.240 μs, Median = 385.798 μs, Q3 = 387.189 μs, Max = 388.579 μs
IQR = 6.949 μs, LowerFence = 369.817 μs, UpperFence = 397.611 μs
ConfidenceInterval = [248.865 μs; 517.174 μs] (CI 99.9%), Margin = 134.155 μs (35.03% of Mean)
Skewness = -0.32, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.MergeJoin: Job-ZQYYKO(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "82f6b084-a98a-4daa-9451-92bb488eddf1.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.MergeJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/82f6b084-a98a-4daa-9451-92bb488eddf1/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-EVDPKJ(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 280294.00 ns, 280.2940 us/op
WorkloadJitting  1: 1 op, 3208116.00 ns, 3.2081 ms/op

OverheadJitting  2: 16 op, 277952.00 ns, 17.3720 us/op
WorkloadJitting  2: 16 op, 17221876.00 ns, 1.0764 ms/op

WorkloadPilot    1: 16 op, 17877661.00 ns, 1.1174 ms/op
WorkloadPilot    2: 32 op, 34585215.00 ns, 1.0808 ms/op
WorkloadPilot    3: 64 op, 68827655.00 ns, 1.0754 ms/op
WorkloadPilot    4: 128 op, 134790025.00 ns, 1.0530 ms/op
WorkloadPilot    5: 256 op, 121218564.00 ns, 473.5100 us/op
WorkloadPilot    6: 512 op, 216982656.00 ns, 423.7942 us/op
WorkloadPilot    7: 1024 op, 457777468.00 ns, 447.0483 us/op
WorkloadPilot    8: 2048 op, 876155244.00 ns, 427.8102 us/op

OverheadWarmup   1: 2048 op, 22657.00 ns, 11.0630 ns/op
OverheadWarmup   2: 2048 op, 3829.00 ns, 1.8696 ns/op
OverheadWarmup   3: 2048 op, 3717.00 ns, 1.8149 ns/op
OverheadWarmup   4: 2048 op, 3998.00 ns, 1.9521 ns/op
OverheadWarmup   5: 2048 op, 4026.00 ns, 1.9658 ns/op
OverheadWarmup   6: 2048 op, 4054.00 ns, 1.9795 ns/op
OverheadWarmup   7: 2048 op, 3980.00 ns, 1.9434 ns/op
OverheadWarmup   8: 2048 op, 3851.00 ns, 1.8804 ns/op
OverheadWarmup   9: 2048 op, 3893.00 ns, 1.9009 ns/op
OverheadWarmup  10: 2048 op, 3990.00 ns, 1.9482 ns/op

OverheadActual   1: 2048 op, 4208.00 ns, 2.0547 ns/op
OverheadActual   2: 2048 op, 4337.00 ns, 2.1177 ns/op
OverheadActual   3: 2048 op, 4145.00 ns, 2.0239 ns/op
OverheadActual   4: 2048 op, 4290.00 ns, 2.0947 ns/op
OverheadActual   5: 2048 op, 4425.00 ns, 2.1606 ns/op
OverheadActual   6: 2048 op, 4631.00 ns, 2.2612 ns/op
OverheadActual   7: 2048 op, 4478.00 ns, 2.1865 ns/op
OverheadActual   8: 2048 op, 4341.00 ns, 2.1196 ns/op
OverheadActual   9: 2048 op, 4396.00 ns, 2.1465 ns/op
OverheadActual  10: 2048 op, 4517.00 ns, 2.2056 ns/op
OverheadActual  11: 2048 op, 4665.00 ns, 2.2778 ns/op
OverheadActual  12: 2048 op, 4592.00 ns, 2.2422 ns/op
OverheadActual  13: 2048 op, 4521.00 ns, 2.2075 ns/op
OverheadActual  14: 2048 op, 4348.00 ns, 2.1230 ns/op
OverheadActual  15: 2048 op, 4458.00 ns, 2.1768 ns/op

WorkloadWarmup   1: 2048 op, 898792159.00 ns, 438.8634 us/op

// BeforeActualRun
WorkloadActual   1: 2048 op, 875958400.00 ns, 427.7141 us/op
WorkloadActual   2: 2048 op, 885969916.00 ns, 432.6025 us/op
WorkloadActual   3: 2048 op, 860577138.00 ns, 420.2037 us/op

// AfterActualRun
WorkloadResult   1: 2048 op, 875953975.00 ns, 427.7119 us/op
WorkloadResult   2: 2048 op, 885965491.00 ns, 432.6003 us/op
WorkloadResult   3: 2048 op, 860572713.00 ns, 420.2015 us/op

// AfterAll
// Benchmark Process 165629 has exited with code 0

Mean = 426.838 μs, StdErr = 3.606 μs (0.84%), N = 3, StdDev = 6.245 μs
Min = 420.202 μs, Q1 = 423.957 μs, Median = 427.712 μs, Q3 = 430.156 μs, Max = 432.600 μs
IQR = 6.199 μs, LowerFence = 414.658 μs, UpperFence = 439.455 μs
ConfidenceInterval = [312.898 μs; 540.778 μs] (CI 99.9%), Margin = 113.940 μs (26.69% of Mean)
Skewness = -0.14, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-ZQYYKO(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "82f6b084-a98a-4daa-9451-92bb488eddf1.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 2 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/82f6b084-a98a-4daa-9451-92bb488eddf1/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-UJRNDC(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 274918.00 ns, 274.9180 us/op
WorkloadJitting  1: 1 op, 2554012.00 ns, 2.5540 ms/op

OverheadJitting  2: 16 op, 374760.00 ns, 23.4225 us/op
WorkloadJitting  2: 16 op, 24717845.00 ns, 1.5449 ms/op

WorkloadPilot    1: 16 op, 23727293.00 ns, 1.4830 ms/op
WorkloadPilot    2: 32 op, 45627516.00 ns, 1.4259 ms/op
WorkloadPilot    3: 64 op, 93338344.00 ns, 1.4584 ms/op
WorkloadPilot    4: 128 op, 182657402.00 ns, 1.4270 ms/op
WorkloadPilot    5: 256 op, 380807216.00 ns, 1.4875 ms/op
WorkloadPilot    6: 512 op, 724503395.00 ns, 1.4150 ms/op

OverheadWarmup   1: 512 op, 20658.00 ns, 40.3477 ns/op
OverheadWarmup   2: 512 op, 1503.00 ns, 2.9355 ns/op
OverheadWarmup   3: 512 op, 1568.00 ns, 3.0625 ns/op
OverheadWarmup   4: 512 op, 1553.00 ns, 3.0332 ns/op
OverheadWarmup   5: 512 op, 2013.00 ns, 3.9316 ns/op
OverheadWarmup   6: 512 op, 1881.00 ns, 3.6738 ns/op

OverheadActual   1: 512 op, 2163.00 ns, 4.2246 ns/op
OverheadActual   2: 512 op, 1856.00 ns, 3.6250 ns/op
OverheadActual   3: 512 op, 1695.00 ns, 3.3105 ns/op
OverheadActual   4: 512 op, 1799.00 ns, 3.5137 ns/op
OverheadActual   5: 512 op, 1892.00 ns, 3.6953 ns/op
OverheadActual   6: 512 op, 1852.00 ns, 3.6172 ns/op
OverheadActual   7: 512 op, 1783.00 ns, 3.4824 ns/op
OverheadActual   8: 512 op, 1687.00 ns, 3.2949 ns/op
OverheadActual   9: 512 op, 1569.00 ns, 3.0645 ns/op
OverheadActual  10: 512 op, 1899.00 ns, 3.7090 ns/op
OverheadActual  11: 512 op, 2069.00 ns, 4.0410 ns/op
OverheadActual  12: 512 op, 1765.00 ns, 3.4473 ns/op
OverheadActual  13: 512 op, 1679.00 ns, 3.2793 ns/op
OverheadActual  14: 512 op, 1659.00 ns, 3.2402 ns/op
OverheadActual  15: 512 op, 1426.00 ns, 2.7852 ns/op
OverheadActual  16: 512 op, 1584.00 ns, 3.0938 ns/op
OverheadActual  17: 512 op, 1539.00 ns, 3.0059 ns/op
OverheadActual  18: 512 op, 1769.00 ns, 3.4551 ns/op
OverheadActual  19: 512 op, 1954.00 ns, 3.8164 ns/op
OverheadActual  20: 512 op, 1702.00 ns, 3.3242 ns/op

WorkloadWarmup   1: 512 op, 729880166.00 ns, 1.4255 ms/op

// BeforeActualRun
WorkloadActual   1: 512 op, 746270152.00 ns, 1.4576 ms/op
WorkloadActual   2: 512 op, 746008109.00 ns, 1.4570 ms/op
WorkloadActual   3: 512 op, 736583973.00 ns, 1.4386 ms/op

// AfterActualRun
WorkloadResult   1: 512 op, 746268385.00 ns, 1.4576 ms/op
WorkloadResult   2: 512 op, 746006342.00 ns, 1.4570 ms/op
WorkloadResult   3: 512 op, 736582206.00 ns, 1.4386 ms/op

// AfterAll
// Benchmark Process 165650 has exited with code 0

Mean = 1.451 ms, StdErr = 0.006 ms (0.43%), N = 3, StdDev = 0.011 ms
Min = 1.439 ms, Q1 = 1.448 ms, Median = 1.457 ms, Q3 = 1.457 ms, Max = 1.458 ms
IQR = 0.009 ms, LowerFence = 1.434 ms, UpperFence = 1.471 ms
ConfidenceInterval = [1.254 ms; 1.648 ms] (CI 99.9%), Margin = 0.197 ms (13.55% of Mean)
Skewness = -0.38, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.DataLoad: Job-ZQYYKO(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "82f6b084-a98a-4daa-9451-92bb488eddf1.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.DataLoad" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 3 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/82f6b084-a98a-4daa-9451-92bb488eddf1/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-KJFIDL(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 264348.00 ns, 264.3480 us/op

System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation.
 ---> Npgsql.NpgsqlException (0x80004005): Unknown message code: 139
   at Npgsql.Util.PGUtil.ValidateBackendMessageCode(BackendMessageCode code)
   at Npgsql.NpgsqlConnector.<ReadMessage>g__ReadMessageLong|200_0(NpgsqlConnector connector, Boolean async, DataRowLoadingMode dataRowLoadingMode, Boolean readingNotifications, Boolean isReadingPrependedMessage)
   at Npgsql.NpgsqlDataReader.<ReadMessage>g__ReadMessageSequential|45_0(NpgsqlConnector connector, Boolean async)
   at Npgsql.NpgsqlDataReader.Read(Boolean async, CancellationToken cancellationToken)
   at Npgsql.NpgsqlDataReader.Read()
   at Dapper.SqlMapper.QueryImpl[T](IDbConnection cnn, CommandDefinition command, Type effectiveType)+MoveNext() in /_/Dapper/SqlMapper.cs:line 1100
   at System.Collections.Generic.List`1..ctor(IEnumerable`1 collection)
   at System.Linq.Enumerable.ToList[TSource](IEnumerable`1 source)
   at Dapper.SqlMapper.Query[T](IDbConnection cnn, String sql, Object param, IDbTransaction transaction, Boolean buffered, Nullable`1 commandTimeout, Nullable`1 commandType) in /_/Dapper/SqlMapper.cs:line 725
   at CollectionsBenchmark.GetMostActiveVisistors.DataLoad() in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/Program.cs:line 308
   at BenchmarkDotNet.Autogenerated.Runnable_3.WorkloadActionNoUnroll(Int64 invokeCount) in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/82f6b084-a98a-4daa-9451-92bb488eddf1/82f6b084-a98a-4daa-9451-92bb488eddf1.notcs:line 3042
   at BenchmarkDotNet.Engines.Engine.RunIteration(IterationData data)
   at BenchmarkDotNet.Engines.EngineFactory.Jit(Engine engine, Int32 jitIndex, Int32 invokeCount, Int32 unrollFactor)
   at BenchmarkDotNet.Engines.EngineFactory.CreateReadyToRun(EngineParameters engineParameters)
   at BenchmarkDotNet.Autogenerated.Runnable_3.Run(IHost host, String benchmarkName) in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/82f6b084-a98a-4daa-9451-92bb488eddf1/82f6b084-a98a-4daa-9451-92bb488eddf1.notcs:line 2370
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle.InvokeMethod(Object target, Object[] arguments, Signature sig, Boolean constructor, Boolean wrapExceptions)
   at System.Reflection.RuntimeMethodInfo.Invoke(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo culture)
   at System.Reflection.MethodBase.Invoke(Object obj, Object[] parameters)
   at BenchmarkDotNet.Autogenerated.UniqueProgramName.AfterAssemblyLoadingAttached(String[] args) in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/82f6b084-a98a-4daa-9451-92bb488eddf1/82f6b084-a98a-4daa-9451-92bb488eddf1.notcs:line 52
// AfterAll
ExitCode != 0
// Benchmark Process 165671 has exited with code 255
No more Benchmark runs will be launched as NO measurements were obtained from the previous run!


// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.csv
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report-github.md
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.html

// * Detailed results *
GetMostActiveVisistors.LinqJoin: Job-ZQYYKO(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 383.020 μs, StdErr = 4.246 μs (1.11%), N = 3, StdDev = 7.353 μs
Min = 374.682 μs, Q1 = 380.240 μs, Median = 385.798 μs, Q3 = 387.189 μs, Max = 388.579 μs
IQR = 6.949 μs, LowerFence = 369.817 μs, UpperFence = 397.611 μs
ConfidenceInterval = [248.865 μs; 517.174 μs] (CI 99.9%), Margin = 134.155 μs (35.03% of Mean)
Skewness = -0.32, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[367.990 μs ; 380.497 μs) | @
[380.497 μs ; 395.271 μs) | @@
---------------------------------------------------

GetMostActiveVisistors.MergeJoin: Job-ZQYYKO(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 426.838 μs, StdErr = 3.606 μs (0.84%), N = 3, StdDev = 6.245 μs
Min = 420.202 μs, Q1 = 423.957 μs, Median = 427.712 μs, Q3 = 430.156 μs, Max = 432.600 μs
IQR = 6.199 μs, LowerFence = 414.658 μs, UpperFence = 439.455 μs
ConfidenceInterval = [312.898 μs; 540.778 μs] (CI 99.9%), Margin = 113.940 μs (26.69% of Mean)
Skewness = -0.14, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[414.518 μs ; 424.473 μs) | @
[424.473 μs ; 435.840 μs) | @@
---------------------------------------------------

GetMostActiveVisistors.NestedLoop: Job-ZQYYKO(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 1.451 ms, StdErr = 0.006 ms (0.43%), N = 3, StdDev = 0.011 ms
Min = 1.439 ms, Q1 = 1.448 ms, Median = 1.457 ms, Q3 = 1.457 ms, Max = 1.458 ms
IQR = 0.009 ms, LowerFence = 1.434 ms, UpperFence = 1.471 ms
ConfidenceInterval = [1.254 ms; 1.648 ms] (CI 99.9%), Margin = 0.197 ms (13.55% of Mean)
Skewness = -0.38, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[1.438 ms ; 1.458 ms) | @@@
---------------------------------------------------

GetMostActiveVisistors.DataLoad: Job-ZQYYKO(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = ; GC = 
There are not any results runs

// * Summary *

BenchmarkDotNet=v0.12.1, OS=ubuntu 20.04
Intel Core i5-6500 CPU 3.20GHz (Skylake), 1 CPU, 4 logical and 4 physical cores
.NET Core SDK=3.1.403
  [Host]     : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
  Job-ZQYYKO : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT

IterationCount=3  LaunchCount=1  WarmupCount=1  

|     Method |       Mean |    Error |   StdDev |
|----------- |-----------:|---------:|---------:|
|   LinqJoin |   383.0 μs | 134.2 μs |  7.35 μs |
|  MergeJoin |   426.8 μs | 113.9 μs |  6.25 μs |
| NestedLoop | 1,451.1 μs | 196.6 μs | 10.78 μs |
|   DataLoad |         NA |       NA |       NA |

Benchmarks with issues:
  GetMostActiveVisistors.DataLoad: Job-ZQYYKO(IterationCount=3, LaunchCount=1, WarmupCount=1)

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 μs   : 1 Microsecond (0.000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:17 (17.52 sec), executed benchmarks: 4

Global total time: 00:00:21 (21.4 sec), executed benchmarks: 4
// * Artifacts cleanup *
