// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/77d0a512-4760-462d-849e-6afb15fe059f
// command took 1.48s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/77d0a512-4760-462d-849e-6afb15fe059f
// command took 2.46s and exited with 0
// ***** Done, took 00:00:04 (4.06 sec)   *****
// Found 4 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-ECIBAY(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-ECIBAY(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-ECIBAY(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-ECIBAY(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-ECIBAY(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "77d0a512-4760-462d-849e-6afb15fe059f.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/77d0a512-4760-462d-849e-6afb15fe059f/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-VGPXJO(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadActual   9: 2048 op, 6170.00 ns, 3.0127 ns/op
OverheadActual  10: 2048 op, 5012.00 ns, 2.4473 ns/op
OverheadActual  11: 2048 op, 5308.00 ns, 2.5918 ns/op
OverheadActual  12: 2048 op, 5060.00 ns, 2.4707 ns/op
OverheadActual  13: 2048 op, 4905.00 ns, 2.3950 ns/op
OverheadActual  14: 2048 op, 5146.00 ns, 2.5127 ns/op
OverheadActual  15: 2048 op, 5062.00 ns, 2.4717 ns/op

WorkloadWarmup   1: 2048 op, 831140574.00 ns, 405.8304 us/op

// BeforeActualRun
WorkloadActual   1: 2048 op, 837366566.00 ns, 408.8704 us/op
WorkloadActual   2: 2048 op, 851725765.00 ns, 415.8817 us/op
WorkloadActual   3: 2048 op, 801216052.00 ns, 391.2188 us/op

// AfterActualRun
WorkloadResult   1: 2048 op, 837361568.00 ns, 408.8680 us/op
WorkloadResult   2: 2048 op, 851720767.00 ns, 415.8793 us/op
WorkloadResult   3: 2048 op, 801211054.00 ns, 391.2163 us/op

// AfterAll
// Benchmark Process 166708 has exited with code 0

Mean = 405.321 μs, StdErr = 7.337 μs (1.81%), N = 3, StdDev = 12.708 μs
Min = 391.216 μs, Q1 = 400.042 μs, Median = 408.868 μs, Q3 = 412.374 μs, Max = 415.879 μs
IQR = 12.331 μs, LowerFence = 381.545 μs, UpperFence = 430.871 μs
ConfidenceInterval = [173.475 μs; 637.167 μs] (CI 99.9%), Margin = 231.846 μs (57.20% of Mean)
Skewness = -0.26, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.MergeJoin: Job-ECIBAY(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "77d0a512-4760-462d-849e-6afb15fe059f.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.MergeJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/77d0a512-4760-462d-849e-6afb15fe059f/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-MBZECC(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 315565.00 ns, 315.5650 us/op
WorkloadJitting  1: 1 op, 3795542.00 ns, 3.7955 ms/op

OverheadJitting  2: 16 op, 407861.00 ns, 25.4913 us/op
WorkloadJitting  2: 16 op, 21601595.00 ns, 1.3501 ms/op

WorkloadPilot    1: 16 op, 22381063.00 ns, 1.3988 ms/op
WorkloadPilot    2: 32 op, 38060948.00 ns, 1.1894 ms/op
WorkloadPilot    3: 64 op, 72470205.00 ns, 1.1323 ms/op
WorkloadPilot    4: 128 op, 138890991.00 ns, 1.0851 ms/op
WorkloadPilot    5: 256 op, 137888232.00 ns, 538.6259 us/op
WorkloadPilot    6: 512 op, 235338314.00 ns, 459.6451 us/op
WorkloadPilot    7: 1024 op, 471299232.00 ns, 460.2532 us/op
WorkloadPilot    8: 2048 op, 954072236.00 ns, 465.8556 us/op

OverheadWarmup   1: 2048 op, 9740.00 ns, 4.7559 ns/op
OverheadWarmup   2: 2048 op, 4132.00 ns, 2.0176 ns/op
OverheadWarmup   3: 2048 op, 4081.00 ns, 1.9927 ns/op
OverheadWarmup   4: 2048 op, 4015.00 ns, 1.9604 ns/op
OverheadWarmup   5: 2048 op, 18093.00 ns, 8.8345 ns/op
OverheadWarmup   6: 2048 op, 3783.00 ns, 1.8472 ns/op
OverheadWarmup   7: 2048 op, 3722.00 ns, 1.8174 ns/op
OverheadWarmup   8: 2048 op, 4092.00 ns, 1.9980 ns/op
OverheadWarmup   9: 2048 op, 4130.00 ns, 2.0166 ns/op
OverheadWarmup  10: 2048 op, 4368.00 ns, 2.1328 ns/op

OverheadActual   1: 2048 op, 4127.00 ns, 2.0151 ns/op
OverheadActual   2: 2048 op, 4454.00 ns, 2.1748 ns/op
OverheadActual   3: 2048 op, 4718.00 ns, 2.3037 ns/op
OverheadActual   4: 2048 op, 4885.00 ns, 2.3853 ns/op
OverheadActual   5: 2048 op, 4681.00 ns, 2.2856 ns/op
OverheadActual   6: 2048 op, 4513.00 ns, 2.2036 ns/op
OverheadActual   7: 2048 op, 5043.00 ns, 2.4624 ns/op
OverheadActual   8: 2048 op, 4790.00 ns, 2.3389 ns/op
OverheadActual   9: 2048 op, 4692.00 ns, 2.2910 ns/op
OverheadActual  10: 2048 op, 4815.00 ns, 2.3511 ns/op
OverheadActual  11: 2048 op, 4668.00 ns, 2.2793 ns/op
OverheadActual  12: 2048 op, 5219.00 ns, 2.5483 ns/op
OverheadActual  13: 2048 op, 5684.00 ns, 2.7754 ns/op
OverheadActual  14: 2048 op, 5021.00 ns, 2.4517 ns/op
OverheadActual  15: 2048 op, 5057.00 ns, 2.4692 ns/op
OverheadActual  16: 2048 op, 5345.00 ns, 2.6099 ns/op
OverheadActual  17: 2048 op, 4977.00 ns, 2.4302 ns/op
OverheadActual  18: 2048 op, 5020.00 ns, 2.4512 ns/op
OverheadActual  19: 2048 op, 5076.00 ns, 2.4785 ns/op
OverheadActual  20: 2048 op, 5019.00 ns, 2.4507 ns/op

WorkloadWarmup   1: 2048 op, 954228589.00 ns, 465.9319 us/op

// BeforeActualRun
WorkloadActual   1: 2048 op, 956799473.00 ns, 467.1872 us/op
WorkloadActual   2: 2048 op, 958038888.00 ns, 467.7924 us/op
WorkloadActual   3: 2048 op, 938316811.00 ns, 458.1625 us/op

// AfterActualRun
WorkloadResult   1: 2048 op, 956794542.00 ns, 467.1848 us/op
WorkloadResult   2: 2048 op, 958033957.00 ns, 467.7900 us/op
WorkloadResult   3: 2048 op, 938311880.00 ns, 458.1601 us/op

// AfterAll
// Benchmark Process 166729 has exited with code 0

Mean = 464.378 μs, StdErr = 3.114 μs (0.67%), N = 3, StdDev = 5.394 μs
Min = 458.160 μs, Q1 = 462.672 μs, Median = 467.185 μs, Q3 = 467.487 μs, Max = 467.790 μs
IQR = 4.815 μs, LowerFence = 455.450 μs, UpperFence = 474.710 μs
ConfidenceInterval = [365.978 μs; 562.778 μs] (CI 99.9%), Margin = 98.400 μs (21.19% of Mean)
Skewness = -0.38, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.NestedLoop: Job-ECIBAY(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "77d0a512-4760-462d-849e-6afb15fe059f.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.NestedLoop" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 2 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/77d0a512-4760-462d-849e-6afb15fe059f/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-TZSTSW(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 317428.00 ns, 317.4280 us/op
WorkloadJitting  1: 1 op, 2437116.00 ns, 2.4371 ms/op

OverheadJitting  2: 16 op, 339128.00 ns, 21.1955 us/op
WorkloadJitting  2: 16 op, 26489900.00 ns, 1.6556 ms/op

WorkloadPilot    1: 16 op, 24205529.00 ns, 1.5128 ms/op
WorkloadPilot    2: 32 op, 49022985.00 ns, 1.5320 ms/op
WorkloadPilot    3: 64 op, 96676080.00 ns, 1.5106 ms/op
WorkloadPilot    4: 128 op, 191690387.00 ns, 1.4976 ms/op
WorkloadPilot    5: 256 op, 396073959.00 ns, 1.5472 ms/op
WorkloadPilot    6: 512 op, 760340719.00 ns, 1.4850 ms/op

OverheadWarmup   1: 512 op, 6205.00 ns, 12.1191 ns/op
OverheadWarmup   2: 512 op, 1380.00 ns, 2.6953 ns/op
OverheadWarmup   3: 512 op, 1239.00 ns, 2.4199 ns/op
OverheadWarmup   4: 512 op, 1222.00 ns, 2.3867 ns/op
OverheadWarmup   5: 512 op, 1304.00 ns, 2.5469 ns/op
OverheadWarmup   6: 512 op, 1196.00 ns, 2.3359 ns/op
OverheadWarmup   7: 512 op, 1487.00 ns, 2.9043 ns/op
OverheadWarmup   8: 512 op, 1314.00 ns, 2.5664 ns/op

OverheadActual   1: 512 op, 1454.00 ns, 2.8398 ns/op
OverheadActual   2: 512 op, 1834.00 ns, 3.5820 ns/op
OverheadActual   3: 512 op, 1834.00 ns, 3.5820 ns/op
OverheadActual   4: 512 op, 1794.00 ns, 3.5039 ns/op
OverheadActual   5: 512 op, 1636.00 ns, 3.1953 ns/op
OverheadActual   6: 512 op, 1450.00 ns, 2.8320 ns/op
OverheadActual   7: 512 op, 1473.00 ns, 2.8770 ns/op
OverheadActual   8: 512 op, 1577.00 ns, 3.0801 ns/op
OverheadActual   9: 512 op, 1423.00 ns, 2.7793 ns/op
OverheadActual  10: 512 op, 1696.00 ns, 3.3125 ns/op
OverheadActual  11: 512 op, 1609.00 ns, 3.1426 ns/op
OverheadActual  12: 512 op, 1543.00 ns, 3.0137 ns/op
OverheadActual  13: 512 op, 1704.00 ns, 3.3281 ns/op
OverheadActual  14: 512 op, 1838.00 ns, 3.5898 ns/op
OverheadActual  15: 512 op, 1677.00 ns, 3.2754 ns/op
OverheadActual  16: 512 op, 1693.00 ns, 3.3066 ns/op
OverheadActual  17: 512 op, 1628.00 ns, 3.1797 ns/op
OverheadActual  18: 512 op, 1781.00 ns, 3.4785 ns/op
OverheadActual  19: 512 op, 1641.00 ns, 3.2051 ns/op
OverheadActual  20: 512 op, 1701.00 ns, 3.3223 ns/op

WorkloadWarmup   1: 512 op, 793495966.00 ns, 1.5498 ms/op

// BeforeActualRun
WorkloadActual   1: 512 op, 788729855.00 ns, 1.5405 ms/op
WorkloadActual   2: 512 op, 770326298.00 ns, 1.5045 ms/op
WorkloadActual   3: 512 op, 774097671.00 ns, 1.5119 ms/op

// AfterActualRun
WorkloadResult   1: 512 op, 788728196.00 ns, 1.5405 ms/op
WorkloadResult   2: 512 op, 770324639.00 ns, 1.5045 ms/op
WorkloadResult   3: 512 op, 774096012.00 ns, 1.5119 ms/op

// AfterAll
// Benchmark Process 166761 has exited with code 0

Mean = 1.519 ms, StdErr = 0.011 ms (0.72%), N = 3, StdDev = 0.019 ms
Min = 1.505 ms, Q1 = 1.508 ms, Median = 1.512 ms, Q3 = 1.526 ms, Max = 1.540 ms
IQR = 0.018 ms, LowerFence = 1.481 ms, UpperFence = 1.553 ms
ConfidenceInterval = [1.173 ms; 1.865 ms] (CI 99.9%), Margin = 0.346 ms (22.80% of Mean)
Skewness = 0.32, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.DataLoad: Job-ECIBAY(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "77d0a512-4760-462d-849e-6afb15fe059f.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.DataLoad" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 3 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/77d0a512-4760-462d-849e-6afb15fe059f/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-GYBWLJ(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 298762.00 ns, 298.7620 us/op
WorkloadJitting  1: 1 op, 30530973.00 ns, 30.5310 ms/op

OverheadJitting  2: 16 op, 284457.00 ns, 17.7786 us/op

System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation.
 ---> Npgsql.NpgsqlException (0x80004005): Unknown message code: 139
   at Npgsql.Util.PGUtil.ValidateBackendMessageCode(BackendMessageCode code)
   at Npgsql.NpgsqlConnector.<ReadMessage>g__ReadMessageLong|200_0(NpgsqlConnector connector, Boolean async, DataRowLoadingMode dataRowLoadingMode, Boolean readingNotifications, Boolean isReadingPrependedMessage)
   at Npgsql.NpgsqlDataReader.<ReadMessage>g__ReadMessageSequential|45_0(NpgsqlConnector connector, Boolean async)
   at Npgsql.NpgsqlDataReader.Read(Boolean async, CancellationToken cancellationToken)
   at Npgsql.NpgsqlDataReader.Read()
   at Dapper.SqlMapper.QueryImpl[T](IDbConnection cnn, CommandDefinition command, Type effectiveType)+MoveNext() in /_/Dapper/SqlMapper.cs:line 1100
   at System.Collections.Generic.List`1..ctor(IEnumerable`1 collection)
   at System.Linq.Enumerable.ToList[TSource](IEnumerable`1 source)
   at Dapper.SqlMapper.Query[T](IDbConnection cnn, String sql, Object param, IDbTransaction transaction, Boolean buffered, Nullable`1 commandTimeout, Nullable`1 commandType) in /_/Dapper/SqlMapper.cs:line 725
   at CollectionsBenchmark.GetMostActiveVisistors.DataLoad() in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/Program.cs:line 308
   at BenchmarkDotNet.Autogenerated.Runnable_3.WorkloadActionUnroll(Int64 invokeCount) in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/77d0a512-4760-462d-849e-6afb15fe059f/77d0a512-4760-462d-849e-6afb15fe059f.notcs:line 3022
   at BenchmarkDotNet.Engines.Engine.RunIteration(IterationData data)
   at BenchmarkDotNet.Engines.EngineFactory.Jit(Engine engine, Int32 jitIndex, Int32 invokeCount, Int32 unrollFactor)
   at BenchmarkDotNet.Engines.EngineFactory.CreateReadyToRun(EngineParameters engineParameters)
   at BenchmarkDotNet.Autogenerated.Runnable_3.Run(IHost host, String benchmarkName) in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/77d0a512-4760-462d-849e-6afb15fe059f/77d0a512-4760-462d-849e-6afb15fe059f.notcs:line 2370
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle.InvokeMethod(Object target, Object[] arguments, Signature sig, Boolean constructor, Boolean wrapExceptions)
   at System.Reflection.RuntimeMethodInfo.Invoke(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo culture)
   at System.Reflection.MethodBase.Invoke(Object obj, Object[] parameters)
   at BenchmarkDotNet.Autogenerated.UniqueProgramName.AfterAssemblyLoadingAttached(String[] args) in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/77d0a512-4760-462d-849e-6afb15fe059f/77d0a512-4760-462d-849e-6afb15fe059f.notcs:line 52
// AfterAll
ExitCode != 0
// Benchmark Process 166782 has exited with code 255
No more Benchmark runs will be launched as NO measurements were obtained from the previous run!


// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.csv
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report-github.md
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.html

// * Detailed results *
GetMostActiveVisistors.LinqJoin: Job-ECIBAY(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 405.321 μs, StdErr = 7.337 μs (1.81%), N = 3, StdDev = 12.708 μs
Min = 391.216 μs, Q1 = 400.042 μs, Median = 408.868 μs, Q3 = 412.374 μs, Max = 415.879 μs
IQR = 12.331 μs, LowerFence = 381.545 μs, UpperFence = 430.871 μs
ConfidenceInterval = [173.475 μs; 637.167 μs] (CI 99.9%), Margin = 231.846 μs (57.20% of Mean)
Skewness = -0.26, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[379.651 μs ; 400.809 μs) | @
[400.809 μs ; 427.444 μs) | @@
---------------------------------------------------

GetMostActiveVisistors.MergeJoin: Job-ECIBAY(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 464.378 μs, StdErr = 3.114 μs (0.67%), N = 3, StdDev = 5.394 μs
Min = 458.160 μs, Q1 = 462.672 μs, Median = 467.185 μs, Q3 = 467.487 μs, Max = 467.790 μs
IQR = 4.815 μs, LowerFence = 455.450 μs, UpperFence = 474.710 μs
ConfidenceInterval = [365.978 μs; 562.778 μs] (CI 99.9%), Margin = 98.400 μs (21.19% of Mean)
Skewness = -0.38, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[458.067 μs ; 467.883 μs) | @@@
---------------------------------------------------

GetMostActiveVisistors.NestedLoop: Job-ECIBAY(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 1.519 ms, StdErr = 0.011 ms (0.72%), N = 3, StdDev = 0.019 ms
Min = 1.505 ms, Q1 = 1.508 ms, Median = 1.512 ms, Q3 = 1.526 ms, Max = 1.540 ms
IQR = 0.018 ms, LowerFence = 1.481 ms, UpperFence = 1.553 ms
ConfidenceInterval = [1.173 ms; 1.865 ms] (CI 99.9%), Margin = 0.346 ms (22.80% of Mean)
Skewness = 0.32, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[1.491 ms ; 1.526 ms) | @@
[1.526 ms ; 1.558 ms) | @
---------------------------------------------------

GetMostActiveVisistors.DataLoad: Job-ECIBAY(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = ; GC = 
There are not any results runs

// * Summary *

BenchmarkDotNet=v0.12.1, OS=ubuntu 20.04
Intel Core i5-6500 CPU 3.20GHz (Skylake), 1 CPU, 4 logical and 4 physical cores
.NET Core SDK=3.1.403
  [Host]     : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
  Job-ECIBAY : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT

IterationCount=3  LaunchCount=1  WarmupCount=1  

|     Method |       Mean |     Error |   StdDev |
|----------- |-----------:|----------:|---------:|
|   LinqJoin |   405.3 μs | 231.85 μs | 12.71 μs |
|  MergeJoin |   464.4 μs |  98.40 μs |  5.39 μs |
| NestedLoop | 1,519.0 μs | 346.39 μs | 18.99 μs |
|   DataLoad |         NA |        NA |       NA |

Benchmarks with issues:
  GetMostActiveVisistors.DataLoad: Job-ECIBAY(IterationCount=3, LaunchCount=1, WarmupCount=1)

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 μs   : 1 Microsecond (0.000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:18 (18.76 sec), executed benchmarks: 4

Global total time: 00:00:22 (22.83 sec), executed benchmarks: 4
// * Artifacts cleanup *
